"YEAR","SEASON","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
2009,"FALL",7.76515009337068,2.5466,204.922252940025,204.922252940025
2010,"FALL",4.85451198257081,1.611,201.335318595332,201.335318595332
2011,"FALL",5.33478094672212,1.8051,195.539357748719,195.539357748719
2012,"FALL",1.38659062342886,0.6593,110.312547160452,110.312547160452
2013,"FALL",2.63939620292561,1.0904,142.057612153853,142.057612153853
2014,"FALL",1.50002225334578,0.5844,156.677319189901,156.677319189901
2015,"FALL",4.41690336134454,1.7894,146.837116426989,146.837116426989
2016,"FALL",2.97988017429194,1.6189,84.0682052190956,84.0682052190956
2017,"FALL",1.08915577342048,0.4546,139.585519890119,139.585519890119
2018,"FALL",2.19058769063181,0.8931,145.279105434084,145.279105434084
2019,"FALL",1.35733333333333,0.5959,127.778710074397,127.778710074397
