"YEAR","SEASON","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
2009,"FALL",6.6674909309057,4.2201,57.9936714984407,57.9936714984407
2010,"FALL",3.91718080610022,2.4793,57.9954344411817,57.9954344411817
2011,"FALL",4.78514147276688,3.0287,57.9932470289855,57.9932470289855
2012,"FALL",2.54598552224736,1.6114,57.9983568479186,57.9983568479186
2013,"FALL",3.14827472455649,1.9927,57.9904011921759,57.9904011921759
2014,"FALL",2.14283119677871,1.3563,57.9909457184038,57.9909457184038
2015,"FALL",5.53488779575163,3.5032,57.9951985542256,57.9951985542256
2016,"FALL",5.67092480392157,3.5893,57.9952860981687,57.9952860981687
2017,"FALL",1.9345208496732,1.2244,57.9974558700754,57.9974558700754
2018,"FALL",2.67267663997821,1.6916,57.9969638199464,57.9969638199464
2019,"FALL",2.4744451503268,1.5662,57.9903684284764,57.9903684284764
