"YEAR","SEASON","AGE","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1970,"SPRING",1,0.22058864339295,0.3792,-41.8278894005933,41.8278894005933
1970,"SPRING",2,0.511257014755189,0.7931,-35.5368787346881,35.5368787346881
1970,"SPRING",3,0.273280950398188,0.4074,-32.920728915516,32.920728915516
1970,"SPRING",4,0.721308337106303,1.3585,-46.9040605736987,46.9040605736987
1970,"SPRING",5,0.133551038642653,0.1456,-8.27538554762836,8.27538554762836
1970,"SPRING",6,0.600066818471215,0.6989,-14.1412478936593,14.1412478936593
1970,"SPRING",7,0.168159820550283,0.2811,-40.1779364815783,40.1779364815783
1970,"SPRING",8,0.0185728187046037,0.0601,-69.0968074798607,69.0968074798607
1970,"SPRING",9,0.0511960966184748,0.1435,-64.3232776177876,64.3232776177876
1970,"SPRING",10,0.0289457715361313,0.0159,82.0488775857317,82.0488775857317
1970,"SPRING",12,0.0564717457426727,0.0582,-2.96950903320837,2.96950903320837
1971,"SPRING",1,0.131976730572451,0.2059,-35.9025106496109,35.9025106496109
1971,"SPRING",2,0.559141810779338,0.7455,-24.9977450329527,24.9977450329527
1971,"SPRING",3,0.259722724601556,0.578,-55.0652725602844,55.0652725602844
1971,"SPRING",4,0.178527361815676,0.2571,-30.5611194804839,30.5611194804839
1971,"SPRING",5,0.376343123973223,0.5483,-31.3618230944331,31.3618230944331
1971,"SPRING",6,0.0749878967203011,0.1311,-42.8009941111357,42.8009941111357
1971,"SPRING",7,0.206213387547944,0.3508,-41.2162521243032,41.2162521243032
1971,"SPRING",8,0.248043403972252,0.3784,-34.4494175549017,34.4494175549017
1971,"SPRING",9,0.0807583758696678,0.0957,-15.6129823723429,15.6129823723429
1971,"SPRING",10,0,0.0125,-100,100
1971,"SPRING",11,0.0581355835666181,0.0525,10.7344448887965,10.7344448887965
1971,"SPRING",15,0,0.0356,-100,100
1972,"SPRING",1,1.9183404788403,3.0619,-37.3480362245568,37.3480362245568
1972,"SPRING",2,1.24377063641193,1.9079,-34.8094430309801,34.8094430309801
1972,"SPRING",3,1.75551825785745,2.6294,-33.2350248019529,33.2350248019529
1972,"SPRING",4,0.219877916007709,0.526,-58.1981148274318,58.1981148274318
1972,"SPRING",5,0.11766519441481,0.1295,-9.13884601173003,9.13884601173003
1972,"SPRING",6,0.238249275094287,0.3359,-29.0713679385867,29.0713679385867
1972,"SPRING",7,0.0403945550376256,0.1318,-69.3516274373098,69.3516274373098
1972,"SPRING",8,0.169141243072648,0.19,-10.9782931196591,10.9782931196591
1972,"SPRING",9,0.0657636386753378,0.1187,-44.5967660696396,44.5967660696396
1972,"SPRING",10,0.0576151564363942,0.0615,-6.31681880261099,6.31681880261099
1972,"SPRING",11,0.0118451240651963,0.0165,-28.2113693018405,28.2113693018405
1972,"SPRING",12,0.0329768113328363,0.05,-34.0463773343274,34.0463773343274
1973,"SPRING",1,0.371587309366264,0.5829,-36.2519627095103,36.2519627095103
1973,"SPRING",2,27.0453474838037,42.1858,-35.8899262694942,35.8899262694942
1973,"SPRING",3,4.11455674906017,6.3479,-35.1823949800694,35.1823949800694
1973,"SPRING",4,4.02440624787667,6.3615,-36.7380924644082,36.7380924644082
1973,"SPRING",5,0.384092887355625,0.5435,-29.3297355371435,29.3297355371435
1973,"SPRING",6,0.284418012682885,0.4708,-39.5883575439922,39.5883575439922
1973,"SPRING",7,0.237437380296201,0.4072,-41.6902307720528,41.6902307720528
1973,"SPRING",8,0.0216729093671929,0.0462,-53.0889407636518,53.0889407636518
1973,"SPRING",9,0.160769602735956,0.2191,-26.622728098605,26.622728098605
1973,"SPRING",10,0.0957209691588279,0.1724,-44.4773960795662,44.4773960795662
1973,"SPRING",11,0.0319628157635479,0.0497,-35.6884994697226,35.6884994697226
1973,"SPRING",12,0.0499025773616323,0.0774,-35.5263858376844,35.5263858376844
1973,"SPRING",13,0.0204624595619447,0.031,-33.9920659292105,33.9920659292105
1973,"SPRING",14,0.0657664445563092,0.0821,-19.8947082139961,19.8947082139961
1974,"SPRING",1,0.232831216679396,0.4302,-45.8783782707123,45.8783782707123
1974,"SPRING",2,3.12214550959322,4.7387,-34.1138812418338,34.1138812418338
