"YEAR","SEASON","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
2009,"SPRING",6.46775547255939,2.2556,186.742129480377,186.742129480377
2010,"SPRING",4.35408660130719,1.9391,124.541622469557,124.541622469557
2011,"SPRING",2.46968300653595,1.0156,143.174774176442,143.174774176442
2012,"SPRING",3.76158260711692,1.7222,118.41729224927,118.41729224927
2013,"SPRING",7.41075396825397,3.5191,110.586626360546,110.586626360546
2014,"SPRING",3.81442265795207,1.8341,107.972447410287,107.972447410287
2015,"SPRING",1.64373793962029,0.7,134.819705660042,134.819705660042
2016,"SPRING",5.05279512916277,2.3197,117.821060014777,117.821060014777
2017,"SPRING",8.44825365701836,4.7471,77.9666250346182,77.9666250346182
2018,"SPRING",2.94056506238859,1.4395,104.27683656746,104.27683656746
2019,"SPRING",7.92643666355431,3.6414,117.675527641959,117.675527641959
