"YEAR","SEASON","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
2009,"SPRING",5.50848118554829,3.4865,57.9945844126859,57.9945844126859
2010,"SPRING",5.96688938920012,3.7766,57.996329746336,57.996329746336
2011,"SPRING",2.92675075708061,1.8524,57.9977735413847,57.9977735413847
2012,"SPRING",5.49981395352215,3.481,57.9952299201997,57.9952299201997
2013,"SPRING",9.03546188320884,5.7188,57.9957663007771,57.9957663007771
2014,"SPRING",5.56105494008715,3.5198,57.9934922463533,57.9934922463533
2015,"SPRING",2.31725986111111,1.4667,57.9913998166708,57.9913998166708
2016,"SPRING",6.56835224704326,4.1573,57.9956281010094,57.9956281010094
2017,"SPRING",20.1597081661998,12.7598,57.9939197025016,57.9939197025016
2018,"SPRING",4.64942774331551,2.9428,57.9933309540406,57.9933309540406
2019,"SPRING",9.87671177458761,6.2513,57.9945255320911,57.9945255320911
