"YEAR","SEASON","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
2009,"FALL",10.4834061608709,3.4414,204.626203314667,204.626203314667
2010,"FALL",1.56677053059095,0.7188,117.970301974256,117.970301974256
2011,"FALL",2.169941873463,0.9956,117.953181344215,117.953181344215
2012,"FALL",1.07368017629587,0.4524,137.329835609167,137.329835609167
2013,"FALL",1.33281168492436,0.5869,127.093488656391,127.093488656391
2014,"FALL",3.15498103257996,1.2688,148.658656413931,148.658656413931
2015,"FALL",0.728602434714105,0.3756,93.9836088163219,93.9836088163219
2016,"FALL",2.64258500739889,1.5266,73.1026468884378,73.1026468884378
2017,"FALL",1.58427773430708,0.9421,68.1644978566051,68.1644978566051
2018,"FALL",1.60867414875404,0.6229,158.255602625468,158.255602625468
2019,"FALL",0.352628735375214,0.1559,126.189054121369,126.189054121369
