"YEAR","SEASON","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
2009,"FALL",9.12568119745409,5.7759,57.9958309086737,57.9958309086737
2010,"FALL",3.13653097520307,1.9852,57.9957170664452,57.9957170664452
2011,"FALL",4.21356286315778,2.6669,57.9947828249197,57.9947828249197
2012,"FALL",1.61781616684232,1.024,57.9898600431956,57.9898600431956
2013,"FALL",1.68805363042452,1.0684,57.9982806462488,57.9982806462488
2014,"FALL",4.20520670318206,2.6616,57.995442710477,57.995442710477
2015,"FALL",2.02590383504732,1.2823,57.9898491029651,57.9898491029651
2016,"FALL",6.93401637204177,4.3888,57.993446318852,57.993446318852
2017,"FALL",5.15333813638001,3.2617,57.9954666701416,57.9954666701416
2018,"FALL",2.20994326901605,1.3987,57.999804748413,57.999804748413
2019,"FALL",0.593348675385647,0.3755,58.015625934926,58.015625934926
