"YEAR","SEASON","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
2009,"SPRING",3.65842417016126,1.5348,138.364879473629,138.364879473629
2010,"SPRING",11.0338198503188,3.5397,211.716242910949,211.716242910949
2011,"SPRING",1.74938952498057,0.8936,95.7687472001534,95.7687472001534
2012,"SPRING",2.61584939531368,1.0613,146.475962999499,146.475962999499
2013,"SPRING",2.32256679406243,0.9092,155.45169314369,155.45169314369
2014,"SPRING",1.29708602141952,0.5818,122.943626919822,122.943626919822
2015,"SPRING",8.51660159368912,4.0883,108.316454117582,108.316454117582
2016,"SPRING",4.17910239213056,1.8644,124.152670678533,124.152670678533
2017,"SPRING",2.35297774300122,1.2642,86.1238524759704,86.1238524759704
2018,"SPRING",1.0211919666145,0.4979,105.09981253555,105.09981253555
2019,"SPRING",0.40032004194479,0.1863,114.879249567789,114.879249567789
