"YEAR","SEASON","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
2009,"SPRING",5.11023955566008,3.2344,57.9965234868934,57.9965234868934
2010,"SPRING",9.00517361044574,5.6997,57.9938174017184,57.9938174017184
2011,"SPRING",3.36982383720311,2.1329,57.9925846126454,57.9925846126454
2012,"SPRING",3.04933677064592,1.93,57.9967238676643,57.9967238676643
2013,"SPRING",2.65085931373071,1.6778,57.996144578061,57.996144578061
2014,"SPRING",2.08966217476819,1.3226,57.9965352161036,57.9965352161036
2015,"SPRING",12.6669422473997,8.0173,57.9951136592087,57.9951136592087
2016,"SPRING",5.31510395042211,3.3641,57.994826266226,57.994826266226
2017,"SPRING",5.90823305931267,3.7395,57.9952683330036,57.9952683330036
2018,"SPRING",2.65696074595722,1.6817,57.9925519389442,57.9925519389442
2019,"SPRING",0.893443959923562,0.5655,57.9918585187555,57.9918585187555
