"YEAR","SEASON","LENGTH","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1968,"FALL",18,0.0148119026687998,0.01051,40.9315192083712,40.9315192083712
1968,"FALL",19,0.0148119026687998,0.01051,40.9315192083712,40.9315192083712
1968,"FALL",20,0.0592476106751993,0.04205,40.898003983827,40.898003983827
1968,"FALL",22,0.0288393460048087,0.02047,40.8859111128905,40.8859111128905
1968,"FALL",23,0.0140274433360089,0.00996,40.837784498081,40.837784498081
1968,"FALL",24,0.0122037118941144,0.00866,40.9204606710666,40.9204606710666
1968,"FALL",25,0.0101397284059823,0.0072,40.8295611941983,40.8295611941983
1968,"FALL",26,0.0342067951287078,0.02428,40.8846586849578,40.8846586849578
1968,"FALL",27,0.0815036865948459,0.05785,40.8879629988693,40.8879629988693
1968,"FALL",28,0.166826444677936,0.1184,40.900713410419,40.900713410419
1968,"FALL",29,0.25812963261978,0.1763,46.4149929777536,46.4149929777536
1968,"FALL",30,0.202214999060053,0.14352,40.8967384755106,40.8967384755106
1968,"FALL",31,0.142228041313991,0.10094,40.903547963138,40.903547963138
1968,"FALL",32,0.0258364554398758,0.01834,40.8748933471961,40.8748933471961
1968,"FALL",33,0.0132889413075172,0.00943,40.9219650850176,40.9219650850176
1969,"FALL",11,0.0159439994321315,0.01132,40.8480515205965,40.8480515205965
1969,"FALL",12,0.00797199971606576,0.00566,40.8480515205965,40.8480515205965
1969,"FALL",16,0.0179446437444373,0.01274,40.8527766439352,40.8527766439352
1969,"FALL",18,0.0159439994321315,0.01132,40.8480515205965,40.8480515205965
1969,"FALL",21,0.0232709588058745,0.01652,40.865368074301,40.865368074301
1969,"FALL",22,0.00665716579029272,0.00472,41.0416480994221,41.0416480994221
1969,"FALL",23,0.0172835865990321,0.01227,40.860526479479,40.860526479479
1969,"FALL",24,0.020756320721921,0.01473,40.9118854169789,40.9118854169789
1969,"FALL",25,0.0293264024258176,0.02081,40.9245671591429,40.9245671591429
1969,"FALL",26,0.0552142884444226,0.03919,40.888717643334,40.888717643334
1969,"FALL",27,0.0547858389619655,0.03888,40.9100796346851,40.9100796346851
1969,"FALL",28,0.0375630434109966,0.02666,40.896636950475,40.896636950475
1969,"FALL",29,0.0423083853424411,0.03003,40.8870640773928,40.8870640773928
1969,"FALL",30,0.0497036761423218,0.03528,40.883435777556,40.883435777556
1969,"FALL",31,0.0450432544687791,0.03197,40.8922567055961,40.8922567055961
1969,"FALL",32,0.0413405128133125,0.02934,40.90154333099,40.90154333099
1969,"FALL",33,0.0184047628148075,0.01306,40.9246769893379,40.9246769893379
1969,"FALL",34,0.0305725279065492,0.0217,40.8872253758029,40.8872253758029
1970,"FALL",4,0.00554763815857727,0.00394,40.8029989486617,40.8029989486617
1970,"FALL",10,0.00797199971606576,0.00566,40.8480515205965,40.8480515205965
1970,"FALL",13,0.00797199971606576,0.00566,40.8480515205965,40.8480515205965
1970,"FALL",21,0.0237208853651922,0.01684,40.8603644013789,40.8603644013789
1970,"FALL",22,0.0178660158020323,0.01268,40.8991782494662,40.8991782494662
1970,"FALL",23,0.0105205825020067,0.00747,40.837784498081,40.837784498081
1970,"FALL",24,0.0181008075744918,0.01285,40.8623157547999,40.8623157547999
1970,"FALL",25,0.0188707061772077,0.01339,40.9313381419546,40.9313381419546
1970,"FALL",26,0.0539488699963416,0.03829,40.8954557230129,40.8954557230129
1970,"FALL",27,0.118210637081343,0.0839,40.8946806690623,40.8946806690623
1970,"FALL",28,0.0437654594001343,0.03106,40.9061796527184,40.9061796527184
1970,"FALL",29,0.0376963650957459,0.02675,40.9209910121342,40.9209910121342
1970,"FALL",30,0.0520705358166658,0.03696,40.8834843524509,40.8834843524509
1970,"FALL",31,0.0358439672165162,0.02544,40.896097549199,40.896097549199
1970,"FALL",32,0.0118597146460924,0.00842,40.8517178870826,40.8517178870826
1970,"FALL",33,0.0105205825020067,0.00747,40.837784498081,40.837784498081
1970,"FALL",34,0.0105205825020067,0.00747,40.837784498081,40.837784498081
1971,"FALL",9,0.00664406113322522,0.00472,40.7640070598563,40.7640070598563
1971,"FALL",10,0.00956639965927892,0.00679,40.8895384282609,40.8895384282609
1971,"FALL",11,0.0191327993185578,0.01358,40.8895384282609,40.8895384282609
1971,"FALL",13,0.0209936606221436,0.0149,40.8970511553261,40.8970511553261
1971,"FALL",17,0.00604042786705325,0.00429,40.8025143835257,40.8025143835257
1971,"FALL",18,0.00760665776145652,0.0054,40.8640326195652,40.8640326195652
1971,"FALL",19,0.00604042786705325,0.00429,40.8025143835257,40.8025143835257
1971,"FALL",20,0.00478319982963946,0.00339,41.0973401073587,41.0973401073587
1971,"FALL",21,0.0199321833996757,0.01415,40.8634869235029,40.8634869235029
1971,"FALL",22,0.0132881222664504,0.00943,40.9132796018074,40.9132796018074
1971,"FALL",23,0.0863727947319279,0.0613,40.9017858595887,40.9017858595887
