"YEAR","SEASON","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1968,"FALL",2.15663328359284,0.7584,184.366203005385,184.366203005385
1969,"FALL",1.0600707339466,0.3762,181.783820825784,181.783820825784
1970,"FALL",0.970014698536985,0.3442,181.817169824807,181.817169824807
1971,"FALL",4.91228910490299,1.7432,181.797218041704,181.797218041704
1972,"FALL",1.42726782720886,0.5065,181.790291650317,181.790291650317
1973,"FALL",0.199177994784658,0.0613,224.923319387697,224.923319387697
1974,"FALL",0.301270059680792,0.1069,181.82419053395,181.82419053395
1975,"FALL",1.48901517722099,0.5284,181.796967679975,181.796967679975
1976,"FALL",0.339148524907039,0.1204,181.684821351361,181.684821351361
1977,"FALL",0.262830254672606,0.055,377.873190313829,377.873190313829
1978,"FALL",2.36302262269739,0.4948,377.571265702786,377.571265702786
1979,"FALL",0.144769827122768,0.0403,259.230340255008,259.230340255008
1980,"FALL",0.0335809270828209,0.007,379.727529754585,379.727529754585
1981,"FALL",0.0335233508608122,0.007,378.905012297317,378.905012297317
1982,"FALL",0.279733647845103,0.0993,181.705586953779,181.705586953779
1983,"FALL",0.464987970496841,0.165,181.810891210206,181.810891210206
1984,"FALL",2.93471977790641,1.04,182.184594029462,182.184594029462
1985,"FALL",6.17882833445269,2.1783,183.653690237924,183.653690237924
1986,"FALL",3.17742387403304,1.0511,202.295107414427,202.295107414427
1987,"FALL",30.2720954488853,10.7334,182.036404577164,182.036404577164
1988,"FALL",36.7398098940681,12.9778,183.097365455378,183.097365455378
1989,"FALL",76.8367344629144,16.041,379.002147390527,379.002147390527
1990,"FALL",75.2190445195614,15.7216,378.44395302998,378.44395302998
1991,"FALL",111.423548990746,23.3289,377.620243520896,377.620243520896
1992,"FALL",179.807215118598,63.6435,182.522512304631,182.522512304631
1993,"FALL",90.8393991069135,18.8948,380.76401500367,380.76401500367
1994,"FALL",43.4355887264187,15.4138,181.796758271281,181.796758271281
1995,"FALL",398.415318793357,141.3843,181.796011858005,181.796011858005
1996,"FALL",119.301186335483,42.3222,181.887960303299,181.887960303299
1997,"FALL",117.425110317031,41.6703,181.795692176517,181.795692176517
1998,"FALL",65.3693409622104,23.1974,181.795981283292,181.795981283292
1999,"FALL",42.8300434143768,15.199,181.795140564358,181.795140564358
2000,"FALL",65.4177564983108,23.2146,181.79575137332,181.79575137332
2001,"FALL",80.3288271427088,28.478,182.073274607447,182.073274607447
2002,"FALL",247.097411726224,87.6866,181.79609167903,181.79609167903
2003,"FALL",300.532018937823,106.544,182.07315187887,182.07315187887
2004,"FALL",128.952285813611,45.754,181.838278213076,181.838278213076
2005,"FALL",81.6343648368976,29.3438,178.1997043222,178.1997043222
2006,"FALL",89.3020852606966,31.6633,182.036569974376,182.036569974376
2007,"FALL",72.7636685343403,25.8214,181.795985246115,181.795985246115
2008,"FALL",72.3209776698204,25.6643,181.796026658901,181.796026658901
2009,"FALL",82.6984051958547,117.3876,-29.5509873309833,29.5509873309833
2010,"FALL",46.0062718979729,60.025,-23.3548156635186,23.3548156635186
2011,"FALL",53.6360242389826,76.1164,-29.5342078198882,29.5342078198882
2012,"FALL",50.5452835795187,71.7473,-29.5509606918746,29.5509606918746
2013,"FALL",54.7056638509855,77.6529,-29.5510356329442,29.5510356329442
2014,"FALL",68.974779118925,97.9074,-29.5510052162298,29.5510052162298
2015,"FALL",57.3391524056016,81.385,-29.5457978674183,29.5457978674183
2016,"FALL",227.337637979168,322.6982,-29.551005249125,29.551005249125
2018,"FALL",8.13371397129051,11.5954,-29.8539595762931,29.8539595762931
2019,"FALL",21.9542669309439,31.1634,-29.5511178788454,29.5511178788454
