"YEAR","SEASON","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1968,"FALL",0.349872959490814,0.1306,167.896599916396,167.896599916396
1969,"FALL",0.185147794892811,0.0691,167.941816053272,167.941816053272
1970,"FALL",0.126696536070569,0.0473,167.857370128052,167.857370128052
1971,"FALL",0.963236409539892,0.3596,167.863295200193,167.863295200193
1972,"FALL",0.173209605947642,0.0647,167.711910274563,167.711910274563
1973,"FALL",0.0186448965551133,0.007,166.355665073047,166.355665073047
1974,"FALL",0.0539742244704899,0.0201,168.528479952686,168.528479952686
1975,"FALL",0.338075939542484,0.1262,167.889017070114,167.889017070114
1976,"FALL",0.0714319622585876,0.0267,167.53543917074,167.53543917074
1977,"FALL",0.0279010749967185,0.0104,168.27956727614,168.27956727614
1978,"FALL",0.503870285178075,0.1881,167.873623167504,167.873623167504
1979,"FALL",0.013531361910793,0.0051,165.320821780255,165.320821780255
1980,"FALL",0.00638457376162133,0.0024,166.023906734222,166.023906734222
1981,"FALL",0.00769413423264042,0.0029,165.314973539325,165.314973539325
1982,"FALL",0.0618190439333628,0.0231,167.614908802436,167.614908802436
1983,"FALL",0.100698903245509,0.0376,167.816232035927,167.816232035927
1984,"FALL",0.706671304267717,0.2634,168.288270412952,168.288270412952
1985,"FALL",1.24972526782643,0.4665,167.893948087123,167.893948087123
1986,"FALL",0.518682943791552,0.1936,167.914743693983,167.914743693983
1987,"FALL",4.75500657542187,1.7735,168.114269829257,168.114269829257
1988,"FALL",6.80058951861446,2.5386,167.887399299396,167.887399299396
1989,"FALL",14.06197847195,5.2342,168.655734820031,168.655734820031
1990,"FALL",9.13422159819993,3.4039,168.345768036662,168.345768036662
1991,"FALL",16.4790355715532,6.1516,167.882105006066,167.882105006066
1992,"FALL",27.9302107686431,10.3995,168.572631074985,168.572631074985
1993,"FALL",14.0384787608571,5.2316,168.340063476893,168.340063476893
1994,"FALL",6.48624730396545,2.4213,167.88284409059,167.88284409059
1995,"FALL",39.5229228843731,14.7538,167.883005628198,167.883005628198
1996,"FALL",13.9866787279385,5.2205,167.918374254162,167.918374254162
1997,"FALL",14.6576492923046,5.4717,167.881084348642,167.881084348642
1998,"FALL",8.56513902162805,3.1974,167.878245500346,167.878245500346
1999,"FALL",5.5306673035296,2.0646,167.880814856611,167.880814856611
2000,"FALL",9.57198252941527,3.5732,167.882641033675,167.882641033675
2001,"FALL",11.1193193892412,4.1467,168.148633593971,168.148633593971
2002,"FALL",32.346727845405,12.075,167.881804102733,167.881804102733
2003,"FALL",18.8000548510261,7.0111,168.147007616866,168.147007616866
2004,"FALL",15.1729101657429,5.6635,167.906950926863,167.906950926863
2005,"FALL",10.1951600231719,3.8563,164.376734776129,164.376734776129
2006,"FALL",10.4732015878963,3.9063,168.110528835375,168.110528835375
2007,"FALL",9.5243439411225,3.5554,167.883893264401,167.883893264401
2008,"FALL",9.23273625882195,3.4466,167.879540962744,167.879540962744
2009,"FALL",6.5244710418103,9.2613,-29.5512396552287,29.5512396552287
2010,"FALL",3.1565681012626,4.3984,-28.2337190509595,28.2337190509595
2011,"FALL",4.67831655336126,6.6395,-29.5381195366932,29.5381195366932
2012,"FALL",5.26314900780025,7.4709,-29.5513390916724,29.5513390916724
2013,"FALL",6.21990953235095,8.8289,-29.5505721850859,29.5505721850859
2014,"FALL",8.76965648665574,12.4482,-29.5508066495097,29.5508066495097
2015,"FALL",7.77464273703633,11.0355,-29.5487949160769,29.5487949160769
2016,"FALL",31.5218324319006,44.7442,-29.551020172669,29.551020172669
2018,"FALL",1.46321961850703,2.086,-29.8552435998547,29.8552435998547
2019,"FALL",2.80908636596939,3.9874,-29.5509262685111,29.5509262685111
