"YEAR","SEASON","AGE","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1987,"SPRING",2,2.18835109845421,1.4301,53.0208445880853,53.0208445880853
1987,"SPRING",3,2.46982765617612,2.1327,15.8075517501815,15.8075517501815
1987,"SPRING",5,0.252663111356138,0.2283,10.6715336645369,10.6715336645369
1987,"SPRING",6,0.114358748233351,0.1411,-18.9519856602759,18.9519856602759
1988,"SPRING",2,3.42693031598675,3.2382,5.82824766804854,5.82824766804854
1988,"SPRING",3,3.72247066896755,3.9697,-6.22790969172616,6.22790969172616
1988,"SPRING",4,3.63001796707402,3.4938,3.89884844793678,3.89884844793678
1988,"SPRING",5,3.19372927307273,3.2951,-3.07640820998676,3.07640820998676
1988,"SPRING",6,0.341920692347676,0.3137,8.99607661704687,8.99607661704687
1988,"SPRING",7,0.008550339581003,0.0131,-34.730232206084,34.730232206084
1988,"SPRING",8,0,1e-04,-100,100
1989,"SPRING",2,2.83228758689961,1.658,70.8255480639088,70.8255480639088
1989,"SPRING",3,3.01963988324374,1.6592,81.9937248820964,81.9937248820964
1989,"SPRING",4,5.03664049498351,2.8882,74.3868324556302,74.3868324556302
1989,"SPRING",5,3.00932178505612,1.9899,51.2297997415006,51.2297997415006
1989,"SPRING",6,2.27305879867726,1.3729,65.5662319671686,65.5662319671686
1989,"SPRING",7,0.265870779260872,0.1297,104.989035667596,104.989035667596
1990,"SPRING",2,5.06970772616499,2.9868,69.7371007822751,69.7371007822751
1990,"SPRING",3,4.10164688517768,2.381,72.2657238629853,72.2657238629853
1990,"SPRING",4,4.50530202725578,2.6662,68.978397241609,68.978397241609
1990,"SPRING",5,1.90587789994239,1.1604,64.2431833800753,64.2431833800753
1990,"SPRING",6,0.268711659431833,0.1559,72.3615519126577,72.3615519126577
1990,"SPRING",7,0,0.0019,-100,100
1991,"SPRING",2,8.13503343181512,4.875,66.8724806526179,66.8724806526179
1991,"SPRING",3,11.7261151294754,6.8097,72.1972352596357,72.1972352596357
1991,"SPRING",4,18.3855751878181,10.9049,68.5992094179504,68.5992094179504
