"YEAR","SEASON","LENGTH","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1968,"SPRING",13,0.755340908293142,0.76742,-1.57398708749553,1.57398708749553
1968,"SPRING",14,0.361140655092446,0.37322,-3.23652132992701,3.23652132992701
1968,"SPRING",15,0.267659071425841,0.28981,-7.64325888484136,7.64325888484136
1968,"SPRING",16,0.543148448463206,0.56127,-3.22866918538211,3.22866918538211
1968,"SPRING",17,0.923717050172896,0.95392,-3.16619316369343,3.16619316369343
1968,"SPRING",18,1.73182274859261,1.76202,-1.71378596198598,1.71378596198598
1973,"SPRING",12,0.0024161711468213,0.00143,68.9630172602309,68.9630172602309
1973,"SPRING",13,0.00744713089914328,0.00547,36.1449890154165,36.1449890154165
1973,"SPRING",14,0.0287592619893961,0.01984,44.9559576078435,44.9559576078435
1973,"SPRING",15,0.00966468458728521,0.0057,69.555869952372,69.555869952372
1973,"SPRING",16,0.0270901928022671,0.01697,59.6357855171898,59.6357855171898
1973,"SPRING",17,0.0313638125815628,0.02034,54.1977019742519,54.1977019742519
1973,"SPRING",18,0.071322973633898,0.04446,60.4205434860504,60.4205434860504
1973,"SPRING",19,0.206268296792401,0.15326,34.587170032886,34.587170032886
1973,"SPRING",20,0.652392808975442,0.45568,43.1690679809169,43.1690679809169
1973,"SPRING",21,1.25655525368042,0.9084,38.3262058212703,38.3262058212703
1973,"SPRING",22,2.61863291125417,1.85251,41.3559393068955,41.3559393068955
1973,"SPRING",23,2.23778408699412,1.58115,41.5288927043052,41.5288927043052
1973,"SPRING",24,0.937625056520334,0.6728,39.3616314685395,39.3616314685395
1973,"SPRING",25,0.180610704320715,0.1504,20.0869044685603,20.0869044685603
1973,"SPRING",26,0.229940728728138,0.1841,24.8999069680274,24.8999069680274
1973,"SPRING",27,0.56222613801856,0.50198,12.0017008682737,12.0017008682737
1973,"SPRING",28,0.661913829859429,0.57402,15.3119803943119,15.3119803943119
1973,"SPRING",29,0.559498263242919,0.49547,12.9227326059941,12.9227326059941
1973,"SPRING",30,0.402763639568888,0.36566,10.147032644776,10.147032644776
1973,"SPRING",31,0.167941640593859,0.14883,12.8412555223136,12.8412555223136
1973,"SPRING",32,0.0851644751467839,0.08101,5.12834853324758,5.12834853324758
1973,"SPRING",33,0.022010090585942,0.02095,5.06009826225286,5.06009826225286
1973,"SPRING",34,0.00921994528805674,0.00816,12.9895255889307,12.9895255889307
1976,"SPRING",14,0.00189081480545435,0.0016,18.1759253408966,18.1759253408966
1976,"SPRING",15,0.00720522126979447,0.00522,38.0310588083231,38.0310588083231
1976,"SPRING",17,0.0337398117141593,0.02185,54.4156142524455,54.4156142524455
1976,"SPRING",19,0.0178305240224745,0.01189,49.962355109121,49.962355109121
1976,"SPRING",20,0.0360394450177732,0.02811,28.2086268864219,28.2086268864219
1976,"SPRING",21,0.0905157449594523,0.08457,7.0305604344948,7.0305604344948
1976,"SPRING",22,0.0835901612106831,0.08161,2.42637080098409,2.42637080098409
1976,"SPRING",25,0.019883352951317,0.0179,11.0801840855697,11.0801840855697
1976,"SPRING",26,0.0296243253636737,0.02385,24.2110078141456,24.2110078141456
1976,"SPRING",27,0.21875185421797,0.17378,25.8786133145186,25.8786133145186
1976,"SPRING",28,0.283059058581197,0.22294,26.9664746484243,26.9664746484243
1976,"SPRING",29,0.266177062117895,0.21247,25.2774801703274,25.2774801703274
1976,"SPRING",30,0.0364720287075194,0.02739,33.1581917032471,33.1581917032471
1976,"SPRING",31,0.0327078199700933,0.02315,41.2864793524549,41.2864793524549
1976,"SPRING",32,0.0083596791543128,0.00654,27.8238402800122,27.8238402800122
1977,"SPRING",25,0.169824102480498,0.16802,1.07374269759455,1.07374269759455
1977,"SPRING",26,0.140424272373017,0.13699,2.50695114462136,2.50695114462136
1977,"SPRING",28,0.123702911964006,0.11459,7.95262410682073,7.95262410682073
1977,"SPRING",29,0.108060508153879,0.10316,4.75039565129781,4.75039565129781
1977,"SPRING",30,0.0499114265589277,0.04828,3.37909394972589,3.37909394972589
1977,"SPRING",31,0.0103263917652831,0.00658,56.9360450650929,56.9360450650929
1978,"SPRING",18,0.0277803389061928,0.02832,-1.90558295835891,1.90558295835891
1979,"SPRING",8,0.0558039980124603,0.03292,69.513967231046,69.513967231046
1979,"SPRING",9,0.0757339973026248,0.04468,69.5031273559193,69.5031273559193
1979,"SPRING",10,0.604543311801654,0.35668,69.4917886625697,69.4917886625697
1979,"SPRING",11,1.7339099382443,1.02301,69.4910057814004,69.4910057814004
1979,"SPRING",12,1.2330026227515,0.72747,69.4918859542668,69.4918859542668
1979,"SPRING",13,0.69622130853641,0.41077,69.4917614568761,69.4917614568761
1979,"SPRING",14,0.100737500978299,0.05944,69.4776261411492,69.4776261411492
1979,"SPRING",15,0.0279065492343786,0.01646,69.5416113874764,69.5416113874764
1979,"SPRING",16,0.0334623778036231,0.01974,69.5155917103499,69.5155917103499
1979,"SPRING",17,0.049524683167614,0.02922,69.48899099115,69.48899099115
1979,"SPRING",18,0.0714181189044819,0.04214,69.4782128725246,69.4782128725246
1979,"SPRING",19,0.0696958445496457,0.04112,69.4937853833797,69.4937853833797
1979,"SPRING",20,0.0550108022416244,0.03317,65.8450474574145,65.8450474574145
1979,"SPRING",21,0.111952214284024,0.06748,65.9042890990281,65.9042890990281
1979,"SPRING",22,0.135263774125635,0.09262,46.0416477279579,46.0416477279579
1979,"SPRING",23,0.428810107538792,0.26882,59.5157010411398,59.5157010411398
1979,"SPRING",24,0.54716420681333,0.35941,52.2395611734035,52.2395611734035
1979,"SPRING",25,0.491714151547559,0.31391,56.6417608701725,56.6417608701725
1979,"SPRING",26,0.880648399710761,0.53105,65.8315412316658,65.8315412316658
1979,"SPRING",27,0.641312704419,0.38256,67.6371561111981,67.6371561111981
1979,"SPRING",28,0.487315706009499,0.28752,69.4893245720295,69.4893245720295
1979,"SPRING",29,0.398817694719213,0.23622,68.8331617641238,68.8331617641238
1979,"SPRING",30,0.11199091722459,0.06607,69.5034315492503,69.5034315492503
1979,"SPRING",31,0.0495466022666376,0.02923,69.5059947541486,69.5059947541486
1979,"SPRING",32,0.0235509408441739,0.0139,69.4312290947765,69.4312290947765
1980,"SPRING",10,0.005685108580756,0.00335,69.7047337539105,69.7047337539105
1980,"SPRING",11,0.00398599985803288,0.00235,69.6170152354418,69.6170152354418
1980,"SPRING",12,0.0395856198229779,0.02336,69.4589889682274,69.4589889682274
1980,"SPRING",13,0.0645953198387485,0.03811,69.4970344758554,69.4970344758554
1980,"SPRING",14,0.0740235275396708,0.04367,69.5065892825071,69.5065892825071
1980,"SPRING",15,0.0483214797213462,0.02851,69.4895816252058,69.4895816252058
1980,"SPRING",16,0.0463323100137888,0.02734,69.4671178265867,69.4671178265867
1980,"SPRING",17,0.146468153060253,0.09487,54.388271382158,54.388271382158
1980,"SPRING",18,0.27486759371409,0.18573,47.9931048910192,47.9931048910192
1980,"SPRING",19,0.71093386901831,0.46218,53.8218592362954,53.8218592362954
1980,"SPRING",20,0.628923113410789,0.42889,46.6397242674785,46.6397242674785
1980,"SPRING",21,0.880379800125531,0.61943,42.1274074755067,42.1274074755067
1980,"SPRING",22,1.11675190505817,0.77191,44.673848642739,44.673848642739
1980,"SPRING",23,0.941868831009069,0.66644,41.3283762993021,41.3283762993021
1980,"SPRING",24,1.39237123508196,1.02377,36.0043012670778,36.0043012670778
1980,"SPRING",25,1.21460643616083,0.85189,42.5778488021724,42.5778488021724
1980,"SPRING",26,0.608280074251158,0.41349,47.1087751218066,47.1087751218066
1980,"SPRING",27,0.266922887719473,0.17349,53.8549125133855,53.8549125133855
1980,"SPRING",28,0.291317728406196,0.18598,56.6392775600583,56.6392775600583
1980,"SPRING",29,0.103074053838942,0.07339,40.4470007343532,40.4470007343532
1980,"SPRING",30,0.0930370221704093,0.06017,54.6236034076936,54.6236034076936
1980,"SPRING",31,0.0829604234003352,0.04953,67.4953026455384,67.4953026455384
1980,"SPRING",32,0.00474986004033536,0.00339,40.1138654966184,40.1138654966184
1980,"SPRING",35,0.001421277145189,0.00084,69.1996601415477,69.1996601415477
1981,"SPRING",11,0.00500041067761807,0.00295,69.5054466989177,69.5054466989177
1981,"SPRING",14,0.026009582477755,0.01535,69.4435340570356,69.4435340570356
1981,"SPRING",15,0.00299794661190965,0.00177,69.3755147971554,69.3755147971554
1981,"SPRING",17,0.00899383983572895,0.00531,69.3755147971554,69.3755147971554
1981,"SPRING",20,0.00174127310061602,0.00103,69.0556408365064,69.0556408365064
1981,"SPRING",21,0.0110746064339494,0.00653,69.5958106270957,69.5958106270957
1981,"SPRING",22,0.0298973305954825,0.01764,69.4860011081777,69.4860011081777
1981,"SPRING",23,0.040945106091718,0.02416,69.4747768696937,69.4747768696937
1981,"SPRING",24,0.415599126495225,0.2452,69.4939341334523,69.4939341334523
1981,"SPRING",25,0.866011459861152,0.51095,69.4904510932874,69.4904510932874
1981,"SPRING",26,0.933436517714546,0.55073,69.4907700169859,69.4907700169859
1981,"SPRING",27,0.668112845083276,0.39419,69.490054309667,69.490054309667
1981,"SPRING",28,0.37838998728855,0.22325,69.4915956499664,69.4915956499664
1981,"SPRING",29,0.162746377236726,0.09602,69.4921654204607,69.4921654204607
1981,"SPRING",30,0.110811303412535,0.06538,69.48807496564,69.48807496564
1981,"SPRING",31,0.0383192203643949,0.02261,69.4790816647276,69.4790816647276
1981,"SPRING",32,0.00433310517910107,0.00256,69.2619210586357,69.2619210586357
1981,"SPRING",33,0.00704722792607803,0.00416,69.4045174537988,69.4045174537988
1982,"SPRING",10,0.0119579995740986,0.00706,69.3767645056465,69.3767645056465
1982,"SPRING",11,0.0518179981544275,0.03057,69.5060456474565,69.5060456474565
1982,"SPRING",12,0.0876919968767234,0.05174,69.4858849569451,69.4858849569451
1982,"SPRING",13,0.175383993753447,0.10348,69.4858849569451,69.4858849569451
1982,"SPRING",14,0.199299992901644,0.11759,69.4871952560967,69.4871952560967
1982,"SPRING",15,0.0837059970186905,0.04939,69.4796457151053,69.4796457151053
1982,"SPRING",16,0.0547381525709699,0.0323,69.4679646160059,69.4679646160059
1982,"SPRING",17,0.0202896948252985,0.01197,69.5045515897956,69.5045515897956
1982,"SPRING",20,0.0202896948252985,0.01197,69.5045515897956,69.5045515897956
1982,"SPRING",21,0.0369530853276983,0.0218,69.5095657233869,69.5095657233869
1982,"SPRING",22,0.061131860151468,0.03607,69.4811759120266,69.4811759120266
1982,"SPRING",23,0.039209133945976,0.02313,69.5163594724429,69.5163594724429
1982,"SPRING",24,0.00588773521104348,0.00347,69.6753663124923,69.6753663124923
1982,"SPRING",25,0.0081794901196346,0.00483,69.3476215245258,69.3476215245258
1982,"SPRING",26,0.0107692199686892,0.00635,69.5940152549485,69.5940152549485
1982,"SPRING",27,0.0613330127372586,0.03619,69.4750282875343,69.4750282875343
1982,"SPRING",28,0.0641888334281081,0.03787,69.4978437499554,69.4978437499554
1982,"SPRING",29,0.0216699415308684,0.01279,69.4287844477589,69.4287844477589
1982,"SPRING",30,0.00960852177128161,0.00567,69.4624651019685,69.4624651019685
1987,"SPRING",10,0.0298949989352466,0.01764,69.4727830796293,69.4727830796293
1987,"SPRING",11,0.191327993185578,0.11288,69.4968047356293,69.4968047356293
1987,"SPRING",12,0.0657689976575425,0.0388,69.5077259215014,69.5077259215014
1987,"SPRING",13,0.0198474126492702,0.01171,69.4911413259627,69.4911413259627
1987,"SPRING",14,0.136458794043933,0.0846,61.2988109266352,61.2988109266352
1987,"SPRING",15,0.250401915152026,0.14774,69.4882328090061,69.4882328090061
1987,"SPRING",16,0.350077379879827,0.21484,62.9479519083165,62.9479519083165
1987,"SPRING",17,0.420758498331106,0.25234,66.7426877748697,66.7426877748697
1987,"SPRING",18,0.3203105803725,0.19103,67.6755380686279,67.6755380686279
1987,"SPRING",19,0.342534206665122,0.20855,64.2456037713364,64.2456037713364
1987,"SPRING",20,0.369555229499207,0.27927,32.3290111717002,32.3290111717002
1987,"SPRING",21,0.324843212138657,0.29088,11.6760217748407,11.6760217748407
1987,"SPRING",22,0.498558585227463,0.45763,8.94359749742442,8.94359749742442
1987,"SPRING",23,0.438213648032312,0.42159,3.94308404665961,3.94308404665961
1987,"SPRING",24,0.792858429921676,0.78059,1.57168679097557,1.57168679097557
1987,"SPRING",31,0.063396976724413,0.0621,2.08852934688078,2.08852934688078
1989,"SPRING",8,0.00478319982963946,0.00282,69.6170152354418,69.6170152354418
1989,"SPRING",9,0.0167411994037381,0.00988,69.4453380945152,69.4453380945152
1989,"SPRING",10,0.0509880365401521,0.03008,69.5081001999738,69.5081001999738
1989,"SPRING",11,0.0394777794158599,0.02329,69.5052787284668,69.5052787284668
1989,"SPRING",12,0.0656195226628663,0.03872,69.4719077036837,69.4719077036837
1989,"SPRING",13,0.0860323856638172,0.05076,69.4885454369921,69.4885454369921
1989,"SPRING",14,0.450576910426289,0.26584,69.491765884099,69.491765884099
1989,"SPRING",15,0.572994051421738,0.33807,69.4897658537399,69.4897658537399
1989,"SPRING",16,0.473456127090212,0.27934,69.4909884335263,69.4909884335263
1989,"SPRING",17,0.585043900601176,0.34518,69.4895128921653,69.4895128921653
1989,"SPRING",18,0.322516595982123,0.19028,69.495793557979,69.495793557979
1989,"SPRING",19,0.328115755723992,0.19359,69.490033433541,69.490033433541
1989,"SPRING",20,0.360364808691508,0.21262,69.4877286668741,69.4877286668741
1989,"SPRING",21,0.383786783069303,0.22643,69.4946707897819,69.4946707897819
1989,"SPRING",22,0.398697490692183,0.23523,69.4926202832051,69.4926202832051
1989,"SPRING",23,0.230283341406738,0.13587,69.4879969137692,69.4879969137692
1989,"SPRING",24,0.437135711984599,0.25791,69.4915714724512,69.4915714724512
1989,"SPRING",25,1.26396816036356,0.74574,69.4918014808862,69.4918014808862
1989,"SPRING",26,2.47997873613383,1.46319,69.4912305396995,69.4912305396995
1989,"SPRING",27,2.77809782782509,1.63908,69.4912894931966,69.4912894931966
1989,"SPRING",28,2.26485514283686,1.33626,69.4921005520529,69.4921005520529
1989,"SPRING",29,1.50565044731343,0.88833,69.4922435709059,69.4922435709059
1989,"SPRING",30,1.09552230248825,0.64636,69.49104252866,69.49104252866
1989,"SPRING",31,0.242133110554163,0.14286,69.4897875921624,69.4897875921624
1990,"SPRING",4,0.026221492128679,0.01547,69.4989795001874,69.4989795001874
1990,"SPRING",8,0.0119917864476386,0.00708,69.3755147971554,69.3755147971554
1990,"SPRING",9,0.0597125256673511,0.03523,69.4934024051977,69.4934024051977
1990,"SPRING",10,0.174636550308008,0.10304,69.4842297243869,69.4842297243869
1990,"SPRING",11,0.482348841302435,0.28459,69.4890338038704,69.4890338038704
1990,"SPRING",12,0.615433890681529,0.36311,69.4896562147915,69.4896562147915
1990,"SPRING",13,0.759665441152505,0.4482,69.4925125284482,69.4925125284482
1990,"SPRING",14,0.817095296763469,0.48209,69.4901982541578,69.4901982541578
1990,"SPRING",15,0.747176865160849,0.44083,69.4931980946961,69.4931980946961
1990,"SPRING",16,0.524202177243245,0.30928,69.491133355938,69.491133355938
1990,"SPRING",17,0.438458544375998,0.25869,69.4918800015455,69.4918800015455
1990,"SPRING",18,0.436212848342623,0.25737,69.4886149677983,69.4886149677983
1990,"SPRING",19,0.323064919657117,0.19061,69.4900160836875,69.4900160836875
1990,"SPRING",20,0.468721404126332,0.27655,69.4888461856201,69.4888461856201
1990,"SPRING",21,0.657480531925296,0.38791,69.4930607422587,69.4930607422587
1990,"SPRING",22,0.849484495290245,0.5012,69.4901227634168,69.4901227634168
1990,"SPRING",23,0.750619758156514,0.44287,69.4898634264037,69.4898634264037
1990,"SPRING",24,0.808611505491998,0.47708,69.491805460719,69.491805460719
