"YEAR","SEASON","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1968,"SPRING",140.768479252662,27.0748,419.924354945049,419.924354945049
1969,"SPRING",58.3055979633296,11.1475,423.037434073376,423.037434073376
1970,"SPRING",43.0352013403681,8.2279,423.039917115766,423.039917115766
1971,"SPRING",9.49107107700052,1.8146,423.039296649428,423.039296649428
1972,"SPRING",14.9393221616213,2.8563,423.030569674798,423.030569674798
1973,"SPRING",57.3698886862751,8.2686,593.828322645612,593.828322645612
1974,"SPRING",29.6032599509801,5.6599,423.035035088608,423.035035088608
1975,"SPRING",6.04081350297035,1.155,423.014156101329,423.014156101329
1976,"SPRING",6.92474548589893,1.101,528.950543678377,528.950543678377
1977,"SPRING",5.53047775811409,1.0327,435.53575657152,435.53575657152
1978,"SPRING",16.0529682612854,3.0638,423.956141434994,423.956141434994
1979,"SPRING",47.6751192705331,5.4856,769.095801198284,769.095801198284
1980,"SPRING",47.2901910796777,6.2321,658.816307178603,658.816307178603
1981,"SPRING",19.412343334622,2.1898,786.489329373549,786.489329373549
1982,"SPRING",5.35645413028731,0.6042,786.536598855893,786.536598855893
1983,"SPRING",2.08739867326113,0.3991,423.026477890536,423.026477890536
1984,"SPRING",14.8026844174955,2.8301,423.044571481415,423.044571481415
1985,"SPRING",20.7577590303173,3.9687,423.036738234619,423.036738234619
1986,"SPRING",180.227728320937,34.4579,423.037469842726,423.037469842726
1987,"SPRING",46.1620522502844,7.7634,494.611281787418,494.611281787418
1988,"SPRING",74.9178141297712,14.3236,423.037603184753,423.037603184753
1989,"SPRING",85.9706302724055,9.6977,786.505359749275,786.505359749275
1990,"SPRING",82.9078667252442,9.3522,786.50656236227,786.50656236227
1991,"SPRING",211.934663539855,23.9068,786.50368740214,786.50368740214
1992,"SPRING",190.019100621914,36.33,423.036335320434,423.036335320434
1993,"SPRING",378.858566469232,72.4372,423.016580526624,423.016580526624
1994,"SPRING",307.685815481239,34.7078,786.503366624331,786.503366624331
1995,"SPRING",146.975759614941,28.1005,423.03610119016,423.03610119016
1996,"SPRING",339.558877403179,64.9206,423.037182963772,423.037182963772
1997,"SPRING",351.854778366184,67.2715,423.036915136698,423.036915136698
1998,"SPRING",270.358883468451,51.6902,423.037023397957,423.037023397957
1999,"SPRING",454.801397305028,86.954,423.036774967256,423.036774967256
2000,"SPRING",174.380656081548,33.34,423.037360772489,423.037360772489
2001,"SPRING",183.446614531263,35.0734,423.036302529163,423.036302529163
2002,"SPRING",220.131980805479,42.0873,423.036594900312,423.036594900312
2003,"SPRING",174.738708729292,19.711,786.503519503283,786.503519503283
2004,"SPRING",251.051674745243,47.9988,423.037398320881,423.037398320881
2005,"SPRING",103.938481133361,19.8721,423.037228744626,423.037228744626
2006,"SPRING",144.969651415271,27.7169,423.037033056622,423.037033056622
2007,"SPRING",90.6681741665863,17.3349,423.038345572148,423.038345572148
2008,"SPRING",100.297643952719,19.176,423.037358952433,423.037358952433
