"YEAR","SEASON","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1968,"SPRING",97.7840673558709,3.3618,2808.68187744277,2808.68187744277
1969,"SPRING",59.280528013557,2.0375,2809.47376753654,2809.47376753654
1970,"SPRING",19.0291462102167,0.654,2809.65538382518,2809.65538382518
1971,"SPRING",6.66858736103279,0.2292,2809.50582942094,2809.50582942094
1972,"SPRING",7.42293155743822,0.2551,2809.81244901538,2809.81244901538
1973,"SPRING",43.3931352501269,1.4914,2809.55714430246,2809.55714430246
1974,"SPRING",24.2342801261074,0.8329,2809.6266209758,2809.6266209758
1975,"SPRING",5.89653347826222,0.2027,2808.99530254673,2808.99530254673
1976,"SPRING",7.0060806384075,0.2408,2809.50192624896,2809.50192624896
1977,"SPRING",5.28730636043802,0.1817,2809.90993970172,2809.90993970172
1978,"SPRING",10.231575350789,0.3511,2814.14849068329,2814.14849068329
1979,"SPRING",23.1349115378552,0.7951,2809.68576755819,2809.68576755819
1980,"SPRING",30.9651732164915,1.0643,2809.4403097333,2809.4403097333
1981,"SPRING",19.6446864871289,0.6752,2809.4618612454,2809.4618612454
1982,"SPRING",2.08365126354598,0.0716,2810.12746305304,2810.12746305304
1983,"SPRING",1.59839696519075,0.0549,2811.46988195037,2811.46988195037
1984,"SPRING",4.04052954638265,0.1389,2808.94855751091,2808.94855751091
1985,"SPRING",8.4656602225957,0.291,2809.16158852086,2809.16158852086
1986,"SPRING",98.84431032262,3.3973,2809.49607990522,2809.49607990522
1987,"SPRING",31.1733697794966,1.0714,2809.59210187574,2809.59210187574
1988,"SPRING",50.8451281726317,1.7475,2809.59245623071,2809.59245623071
1989,"SPRING",71.7995617683369,2.4677,2809.57416899692,2809.57416899692
1990,"SPRING",51.515566692951,1.7706,2809.49772353727,2809.49772353727
1991,"SPRING",132.061685262481,4.5389,2809.55265069689,2809.55265069689
1992,"SPRING",81.3873148494194,2.7973,2809.49540090156,2809.49540090156
1993,"SPRING",222.666446739001,7.6542,2809.07536697501,2809.07536697501
1994,"SPRING",200.697315130147,6.8979,2809.5422538765,2809.5422538765
1995,"SPRING",89.6513729559287,3.0813,2809.5308134855,2809.5308134855
1996,"SPRING",113.294202781008,3.8939,2809.53036238753,2809.53036238753
1997,"SPRING",123.810188629663,4.2553,2809.55252578346,2809.55252578346
1998,"SPRING",142.765420329521,4.9068,2809.54227458875,2809.54227458875
1999,"SPRING",282.786617226275,9.7193,2809.5368722673,2809.5368722673
2000,"SPRING",84.8552676239772,2.9165,2809.48971794881,2809.48971794881
2001,"SPRING",97.5193832795119,3.3517,2809.54987855452,2809.54987855452
2002,"SPRING",78.3825958703754,2.694,2809.52471679196,2809.52471679196
2003,"SPRING",100.802356241644,3.4646,2809.49478270635,2809.49478270635
2004,"SPRING",64.7004663787211,2.2238,2809.45527379805,2809.45527379805
2005,"SPRING",43.2650800696455,1.487,2809.55481302256,2809.55481302256
2006,"SPRING",84.118515108091,2.8911,2809.56781529837,2809.56781529837
2007,"SPRING",50.0655609500298,1.7208,2809.43520165213,2809.43520165213
2008,"SPRING",58.8095645210734,2.0213,2809.49213481786,2809.49213481786
