"YEAR","SEASON","AGE","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1979,"FALL",0,0.0401193363995017,0.0395,1.56794025190304,1.56794025190304
1979,"FALL",1,0.12191364838292,0.1166,4.55715984813072,4.55715984813072
1979,"FALL",2,0.00810455112248659,0.0091,-10.9389986539936,10.9389986539936
1979,"FALL",3,0,0.0025,-100,100
1979,"FALL",5,0.0262119455563349,0.0105,149.637576726999,149.637576726999
1979,"FALL",6,0,0.0032,-100,100
1979,"FALL",7,0,5e-04,-100,100
1979,"FALL",8,0,0.0025,-100,100
1979,"FALL",9,0.0061521805093945,0.0044,39.8222843044204,39.8222843044204
1979,"FALL",10,0.00999003235059517,0.0046,117.174616317286,117.174616317286
1979,"FALL",11,0.00641343824256114,0.0027,137.534749724486,137.534749724486
1979,"FALL",12,0,5e-04,-100,100
1979,"FALL",13,0.0131633022932003,0.0071,85.398623847892,85.398623847892
1979,"FALL",14,0,0.0043,-100,100
1980,"FALL",1,0.0883162626607588,0.0837,5.51524810126498,5.51524810126498
1980,"FALL",2,0.0784109379124035,0.0753,4.1313916499382,4.1313916499382
1980,"FALL",6,0,0.0025,-100,100
1980,"FALL",7,0.00982319403351267,0.0089,10.3729666686817,10.3729666686817
1980,"FALL",12,0.0152912574362926,0.0122,25.3381757073163,25.3381757073163
1982,"FALL",0,0.258097094702972,0.2994,-13.7952255501095,13.7952255501095
1982,"FALL",1,1.22735603785352,1.1052,11.052844539768,11.052844539768
1982,"FALL",2,0.0261642621176102,0.0587,-55.4271514180405,55.4271514180405
1982,"FALL",4,0.00957944675198601,0.0065,47.3761038767079,47.3761038767079
1982,"FALL",5,0,9e-04,-100,100
1982,"FALL",6,0,0.0026,-100,100
1982,"FALL",8,0.0141682104748123,0.0103,37.5554415030323,37.5554415030323
1982,"FALL",10,0.00356614207241684,0.0026,37.1593104775708,37.1593104775708
1982,"FALL",11,0.0108201283260967,0.0094,15.1077481499653,15.1077481499653
1982,"FALL",12,0.00356613658459794,0.0026,37.159099407613,37.159099407613
1982,"FALL",13,0.0129035515536791,0.0127,1.60276813920571,1.60276813920571
1982,"FALL",14,0.00356613503727194,0.0026,37.1590398950745,37.1590398950745
1982,"FALL",15,0.0035663309603395,0.0051,-30.0719419541274,30.0719419541274
1982,"FALL",16,0.00542966848737778,0.0056,-3.04163415396824,3.04163415396824
1984,"FALL",0,0.36084401741746,0.2026,78.1066226147385,78.1066226147385
1984,"FALL",1,0.0328292025049206,0.0281,16.8299021527423,16.8299021527423
1984,"FALL",2,0.217757297223744,0.2154,1.09438125522003,1.09438125522003
1984,"FALL",3,0.0393309319946101,0.0372,5.72831181346793,5.72831181346793
1985,"FALL",1,0.7791481044773,0.747,4.30362844408301,4.30362844408301
1985,"FALL",2,0.335578848630695,0.3668,-8.51176427734594,8.51176427734594
1985,"FALL",3,1.72477543952271,1.6707,3.23669357291618,3.23669357291618
1985,"FALL",7,0.0742625851200561,0.0347,114.013213602467,114.013213602467
1985,"FALL",11,0,0.0496,-100,100
1985,"FALL",16,0.0532506953679952,0.0389,36.8912477326355,36.8912477326355
1986,"FALL",2,0.0234747281137181,0.005,369.494562274362,369.494562274362
1986,"FALL",4,0.0743840965481398,0.0675,10.1986615527997,10.1986615527997
1986,"FALL",5,0.00773103722112352,0.005,54.6207444224704,54.6207444224704
1987,"FALL",0,3.39681156409991,0.4334,683.759013405608,683.759013405608
