"YEAR","SEASON","LENGTH","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1968,"FALL",21,0.00358926635990805,0.00331,8.43705014827951,8.43705014827951
1968,"FALL",22,0.0143570654396322,0.01324,8.43705014827951,8.43705014827951
1968,"FALL",23,0.0700197791814389,0.06457,8.4401102391805,8.4401102391805
1968,"FALL",24,0.0925894728066031,0.08538,8.44398314195728,8.44398314195728
1968,"FALL",25,0.0694883067797889,0.06408,8.4399294316306,8.4399294316306
1968,"FALL",26,0.0479638710343376,0.04423,8.44194219836682,8.44194219836682
1968,"FALL",27,0.0311110627637654,0.02869,8.43869907203007,8.43869907203007
1968,"FALL",28,0.024548742461718,0.02264,8.43084126200545,8.43084126200545
1968,"FALL",29,0.0455323513881555,0.04199,8.43617858574783,8.43617858574783
1968,"FALL",30,0.0256078354461035,0.02361,8.46181891615215,8.46181891615215
1968,"FALL",31,0.0314923928362997,0.02904,8.4448789128777,8.4448789128777
1968,"FALL",32,0.022985139808084,0.02119,8.47163665919762,8.47163665919762
1968,"FALL",33,0.0497934064101699,0.04591,8.45873755210168,8.45873755210168
1968,"FALL",34,0.0126013434915694,0.01162,8.44529682934108,8.44529682934108
1968,"FALL",35,0.00763249709188069,0.00704,8.41615187330526,8.41615187330526
1968,"FALL",36,0.00602298704546989,0.00555,8.5222891075655,8.5222891075655
1968,"FALL",37,0.00799307450740628,0.00737,8.45419955775137,8.45419955775137
1968,"FALL",39,0.00851719700969902,0.00785,8.49932496431878,8.49932496431878
1969,"FALL",12,0.131847341433508,0.12161,8.4181740264024,8.4181740264024
1969,"FALL",13,0.390658789432616,0.36032,8.41995710274649,8.41995710274649
1969,"FALL",14,1.17685960316576,1.08547,8.41935780498368,8.41935780498368
1969,"FALL",15,4.83440251922862,4.45898,8.41947080338158,8.41947080338158
1969,"FALL",16,8.623792776725,7.9541,8.41946639751828,8.41946639751828
1969,"FALL",17,4.57559107122952,4.22027,8.41939191638254,8.41939191638254
1969,"FALL",18,1.44275863894772,1.33072,8.41939994497119,8.41939994497119
1969,"FALL",19,0.42241085163304,0.38961,8.41889367137386,8.41889367137386
1969,"FALL",20,0.302306074135707,0.27883,8.41949364692001,8.41949364692001
1969,"FALL",21,0.171584918069335,0.15826,8.41963734950998,8.41963734950998
1969,"FALL",22,0.0132228068219819,0.0122,8.38366247526182,8.38366247526182
1969,"FALL",23,0.00491397678233037,0.00453,8.47630866071447,8.47630866071447
1969,"FALL",24,0.0028361386690447,0.00262,8.24956752079006,8.24956752079006
1969,"FALL",25,0.00493289488351354,0.00455,8.41527216513282,8.41527216513282
1969,"FALL",26,0.0352696466391707,0.03253,8.42190789785016,8.42190789785016
1969,"FALL",27,0.0762115706164307,0.07029,8.42448515639595,8.42448515639595
1969,"FALL",28,0.163758039794895,0.15104,8.42031236420459,8.42031236420459
1969,"FALL",29,0.0935945073013042,0.08633,8.41481211780865,8.41481211780865
1969,"FALL",30,0.0761329422583882,0.07022,8.42059563997173,8.42059563997173
1969,"FALL",31,0.0526939666703823,0.0486,8.42379973329702,8.42379973329702
1969,"FALL",32,0.0757726312562702,0.06989,8.41698562923193,8.41698562923193
1969,"FALL",33,0.0626916313677405,0.05782,8.42551256959614,8.42551256959614
1969,"FALL",34,0.0533927934455468,0.04925,8.41176334121169,8.41176334121169
1969,"FALL",35,0.00654684539070338,0.00604,8.39147997853274,8.39147997853274
1969,"FALL",38,0.0103830815962546,0.00958,8.38289766445301,8.38289766445301
1969,"FALL",39,0.00563227343662914,0.00519,8.5216461778254,8.5216461778254
1970,"FALL",17,0.0071785327198161,0.00662,8.43705014827951,8.43705014827951
1970,"FALL",18,0.00358926635990805,0.00331,8.43705014827951,8.43705014827951
1970,"FALL",20,0.00669597448795264,0.00617,8.5247080705453,8.5247080705453
1970,"FALL",23,0.00717735359157697,0.00662,8.41923854345884,8.41923854345884
1970,"FALL",24,0.0103190228719117,0.00952,8.39309739403085,8.39309739403085
1970,"FALL",27,0.00669597448795264,0.00617,8.5247080705453,8.5247080705453
1970,"FALL",28,0.0196525303615596,0.01812,8.45767307703988,8.45767307703988
1970,"FALL",29,0.019973646285349,0.01842,8.43456180971248,8.43456180971248
1970,"FALL",30,0.0330480560264569,0.03047,8.46096497032143,8.46096497032143
1970,"FALL",31,0.032280993802629,0.02977,8.4346449534062,8.4346449534062
1970,"FALL",32,0.0228532084595503,0.02107,8.46325799501826,8.46325799501826
1970,"FALL",33,0.00661412333601979,0.0061,8.42825141016045,8.42825141016045
1970,"FALL",34,0.00382980852069033,0.00353,8.49315922635484,8.49315922635484
1970,"FALL",35,0.0140481338409805,0.01295,8.47979799984915,8.47979799984915
1970,"FALL",36,0.0116258900036128,0.01072,8.45046645161211,8.45046645161211
1970,"FALL",39,0.00450112553150099,0.00415,8.46085618074668,8.46085618074668
1971,"FALL",14,0.00447211183058667,0.00412,8.54640365501616,8.54640365501616
1971,"FALL",15,0.00447211183058667,0.00412,8.54640365501616,8.54640365501616
1971,"FALL",17,0.00913087430175361,0.00842,8.44268766928274,8.44268766928274
1971,"FALL",18,0.0249403309499327,0.023,8.43622152144656,8.43622152144656
