"YEAR","SEASON","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1968,"FALL",0.0860626240735903,0.1308,-34.2028867938912,34.2028867938912
1969,"FALL",0.607717199996284,0.8961,-32.1819886177565,32.1819886177565
1970,"FALL",0.0321822428571517,0.058,-44.5133743842212,44.5133743842212
1971,"FALL",0.026330705940263,0.0425,-38.0453977876164,38.0453977876164
1972,"FALL",0.0923577721886788,0.1496,-38.2635212642521,38.2635212642521
1973,"FALL",0.0288030923275619,0.0506,-43.0768926332769,43.0768926332769
1974,"FALL",0.0587856464596174,0.0967,-39.2082249642013,39.2082249642013
1975,"FALL",0.00858910847306148,0.0143,-39.9363043841855,39.9363043841855
1976,"FALL",0.0219304266970855,0.0335,-34.5360397101926,34.5360397101926
1977,"FALL",0.0278301104093567,0.0433,-35.7272276920168,35.7272276920168
1978,"FALL",0.10060582417883,0.1391,-27.6737425026382,27.6737425026382
1979,"FALL",0.0515062802551873,0.0671,-23.2395227195421,23.2395227195421
1980,"FALL",0.050446262857125,0.0752,-32.9172036474402,32.9172036474402
1981,"FALL",0.0287498679563716,0.0214,34.3451773662222,34.3451773662222
1982,"FALL",0.249990043473809,0.3733,-33.032401962548,33.032401962548
1983,"FALL",0.0421881125313083,0.0576,-26.7567490775898,26.7567490775898
1984,"FALL",0.0783604508272694,0.1069,-26.6974267284664,26.6974267284664
1985,"FALL",0.586432268878814,0.9053,-35.2223275291269,35.2223275291269
1986,"FALL",0.042827497299443,0.0488,-12.2387350421251,12.2387350421251
1987,"FALL",0.0908694209464839,0.0366,148.277106411158,148.277106411158
1988,"FALL",0.0428728866239944,0.0519,-17.3932820346929,17.3932820346929
1989,"FALL",0.027137243841534,0.0409,-33.6497705585966,33.6497705585966
1990,"FALL",0.0213117484536325,0.0287,-25.7430367469251,25.7430367469251
1991,"FALL",0.296565210427105,0.4765,-37.7617606658752,37.7617606658752
1992,"FALL",0.210830564071184,0.3276,-35.643905961177,35.643905961177
1993,"FALL",1.098145339997,0.1728,535.500775461224,535.500775461224
1994,"FALL",0.0806516818517595,0.0773,4.33594029981819,4.33594029981819
1995,"FALL",0.173462409447724,0.2411,-28.0537497106081,28.0537497106081
1996,"FALL",0.897418553497868,1.4017,-35.9764176715511,35.9764176715511
1997,"FALL",1.60712433728998,2.263,-28.9825745784365,28.9825745784365
1998,"FALL",0.285600016979608,0.4431,-35.545019864679,35.545019864679
1999,"FALL",0.200703407875358,0.3023,-33.6078703687205,33.6078703687205
2000,"FALL",0.176907140669611,0.2681,-34.0144943418086,34.0144943418086
2001,"FALL",0.399982555886364,0.6145,-34.9092667394037,34.9092667394037
2002,"FALL",0.0773655104043289,0.0432,79.0868296396503,79.0868296396503
2003,"FALL",1.20544870876484,1.8732,-35.6476239181702,35.6476239181702
2004,"FALL",0.118155535817216,0.178,-33.620485495946,33.620485495946
2005,"FALL",0.450635052026091,0.6898,-34.6716364125701,34.6716364125701
2006,"FALL",0.0248231369382868,0.0068,265.046131445394,265.046131445394
2007,"FALL",0.0609474100209209,0.0892,-31.6733071514339,31.6733071514339
2008,"FALL",0.176545594542442,0.2422,-27.1075167041942,27.1075167041942
2009,"FALL",0.204694663956579,0.2896,-29.3181408989712,29.3181408989712
2010,"FALL",0.308381994885038,0.4373,-29.4804493745626,29.4804493745626
2011,"FALL",0.541026612043882,0.7655,-29.3237606735621,29.3237606735621
2012,"FALL",0.960563681464178,1.3591,-29.3235463568407,29.3235463568407
2013,"FALL",0.0775594719561792,0.1097,-29.2985670408576,29.2985670408576
2014,"FALL",0.673349341450738,0.9527,-29.321996278919,29.321996278919
2015,"FALL",1.17049099328617,1.6562,-29.3267121551642,29.3267121551642
2016,"FALL",2.17450488829729,3.0768,-29.3257641609045,29.3257641609045
2017,"FALL",7.61459432675642,7.7797,-2.12226272534388,2.12226272534388
2018,"FALL",0.27324454694756,0.393,-30.472125458636,30.472125458636
2019,"FALL",2.78728332623885,3.9438,-29.3249321406042,29.3249321406042
