"YEAR","SEASON","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1981,"SPRING",11.3283265214534,11.4493,-1.05660152626436,1.05660152626436
1983,"SPRING",0.637746935183676,0.6445,-1.04779904054678,1.04779904054678
1984,"SPRING",9.6354268464725,9.7349,-1.02181998302503,1.02181998302503
2009,"SPRING",72.96104350961,86.7552,-15.900091856615,15.900091856615
2010,"SPRING",21.8662600970431,26.0003,-15.8999700117186,15.8999700117186
2011,"SPRING",61.8520706800687,73.5458,-15.8999280991318,15.8999280991318
2012,"SPRING",34.0452741052987,40.4819,-15.900009373822,15.900009373822
2013,"SPRING",18.324933214515,21.7894,-15.8997805606623,15.8997805606623
2014,"SPRING",2.91288151625685,3.4605,-15.8248369814522,15.8248369814522
2015,"SPRING",85.6452730462494,101.8373,-15.899898125491,15.899898125491
2016,"SPRING",17.0902918960392,20.3214,-15.900027084555,15.900027084555
2017,"SPRING",57.6301347434237,68.5257,-15.8999692911949,15.8999692911949
2018,"SPRING",15.756139704758,18.735,-15.8999748878678,15.8999748878678
2019,"SPRING",27.6801349549161,32.9133,-15.8998491341916,15.8998491341916
2020,"SPRING",1.83476645259105,2.1861,-16.0712477658362,16.0712477658362
