"YEAR","SEASON","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1981,"SPRING",4.68817390328733,4.7386,-1.0641560104813,1.0641560104813
1983,"SPRING",0.109431744114072,0.1106,-1.05628922778321,1.05628922778321
1984,"SPRING",1.60769567136487,1.6243,-1.02224519085919,1.02224519085919
2009,"SPRING",9.92837181404768,8.6255,15.1048845173924,15.1048845173924
2010,"SPRING",4.40540373536549,3.8273,15.1047405577166,15.1047405577166
2011,"SPRING",6.35353433987339,5.5198,15.1044302306856,15.1044302306856
2012,"SPRING",3.91088540794937,3.3977,15.1039058171519,15.1039058171519
2013,"SPRING",3.45938735348708,3.0054,15.105721484231,15.105721484231
2014,"SPRING",0.692036205636931,0.6007,15.2049618173683,15.2049618173683
2015,"SPRING",15.8779892204823,13.7944,15.104602015907,15.104602015907
2016,"SPRING",3.13973017754655,2.7277,15.1054066629961,15.1054066629961
2017,"SPRING",8.5744898701575,7.4493,15.1046389614795,15.1046389614795
2018,"SPRING",2.8660030476706,2.4899,15.10514669949,15.10514669949
2019,"SPRING",4.28777848572419,3.7251,15.1050571991139,15.1050571991139
2020,"SPRING",0.476710560357059,0.415,14.8700145438697,14.8700145438697
