"YEAR","SEASON","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1968,"FALL",0.0965269335023005,0.1463,-34.0212347899518,34.0212347899518
1969,"FALL",0.689537551878327,1.0304,-33.0805947323053,33.0805947323053
1970,"FALL",0.0354576059073405,0.063,-43.7180858613643,43.7180858613643
1971,"FALL",0.0301675701478511,0.0494,-38.9320442351193,38.9320442351193
1972,"FALL",0.0876280962041088,0.1357,-35.4251317582101,35.4251317582101
1973,"FALL",0.0294789157280284,0.0469,-37.1451690233936,37.1451690233936
1974,"FALL",0.0637579047649372,0.1042,-38.811991588352,38.811991588352
1975,"FALL",0.00762983787432538,0.0125,-38.961297005397,38.961297005397
1976,"FALL",0.024485770224635,0.0361,-32.1723816492105,32.1723816492105
1977,"FALL",0.0307096105158699,0.0453,-32.2083653071306,32.2083653071306
1978,"FALL",0.101463402751356,0.1498,-32.2674213942881,32.2674213942881
1979,"FALL",0.0461536325335829,0.0681,-32.2266776305684,32.2266776305684
1980,"FALL",0.0547469327471905,0.0806,-32.0757658223443,32.0757658223443
1981,"FALL",0.0132798624488561,0.0196,-32.245599750734,32.245599750734
1982,"FALL",0.273273172257972,0.4029,-32.1734494271601,32.1734494271601
1983,"FALL",0.0375125499099443,0.0553,-32.1653708680934,32.1653708680934
1984,"FALL",0.0516462641163561,0.0762,-32.2227505034697,32.2227505034697
1985,"FALL",0.662690981951719,0.9771,-32.1777728019937,32.1777728019937
1986,"FALL",0.0188352801409475,0.028,-32.7311423537591,32.7311423537591
1987,"FALL",0.0230433203966674,0.0345,-33.2077669661815,33.2077669661815
1988,"FALL",0.0350519156581315,0.0516,-32.0699308950939,32.0699308950939
1989,"FALL",0.0274847975650889,0.0404,-31.9683228586908,31.9683228586908
1990,"FALL",0.0159774828810424,0.0235,-32.0107111445006,32.0107111445006
1991,"FALL",0.31238851836566,0.4818,-35.1622004222374,35.1622004222374
1992,"FALL",0.188671312755068,0.2777,-32.0593040132992,32.0593040132992
1993,"FALL",0.11809369664753,0.1754,-32.6717807026627,32.6717807026627
1994,"FALL",0.049781265012822,0.0736,-32.3624116673614,32.3624116673614
1995,"FALL",0.133643824316515,0.1969,-32.1260414847564,32.1260414847564
1996,"FALL",0.965606175617648,1.4228,-32.1333865885825,32.1333865885825
1997,"FALL",1.55919663673862,2.2972,-32.1262129227487,32.1262129227487
1998,"FALL",0.236871487798931,0.3492,-32.1673860827802,32.1673860827802
1999,"FALL",0.202929896579842,0.2993,-32.1984976345333,32.1984976345333
2000,"FALL",0.183931490422337,0.271,-32.128601320171,32.128601320171
2001,"FALL",0.419545821902896,0.6174,-32.046352137529,32.046352137529
2002,"FALL",0.0260364194120755,0.0384,-32.1968244477201,32.1968244477201
2003,"FALL",0.348227818416593,0.5125,-32.0531086016404,32.0531086016404
2004,"FALL",0.122645925905396,0.1807,-32.1273237933615,32.1273237933615
2005,"FALL",0.0101991261634563,0.015,-32.0058255769579,32.0058255769579
2006,"FALL",0.00304798718380889,0.0045,-32.2669514709135,32.2669514709135
2007,"FALL",0.0459178391477746,0.0676,-32.0742024441203,32.0742024441203
2008,"FALL",0.145104021123382,0.2138,-32.1309536373329,32.1309536373329
2009,"FALL",0.187850840002881,0.2085,-9.90367385952943,9.90367385952943
2010,"FALL",0.316607417726981,0.3514,-9.90113325925415,9.90113325925415
2011,"FALL",0.378015610374166,0.4196,-9.91048370491761,9.91048370491761
2012,"FALL",0.984523449965877,1.0927,-9.89993136580241,9.89993136580241
2013,"FALL",0.07549993115412,0.0838,-9.90461676119328,9.90461676119328
2014,"FALL",0.465526364200844,0.5167,-9.90393570721037,9.90393570721037
2015,"FALL",1.03483377181707,1.1485,-9.89692887966348,9.89692887966348
2016,"FALL",1.23318493199856,1.3687,-9.90100591812942,9.90100591812942
2018,"FALL",0.0914259519790573,0.102,-10.3667137460222,10.3667137460222
2019,"FALL",2.76552306547462,3.0694,-9.90020637666568,9.90020637666568
