"YEAR","SEASON","AGE","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1970,"FALL",1,0,0.0864,-100,100
1970,"FALL",2,0,0.0874,-100,100
1970,"FALL",3,0,0.0049,-100,100
1970,"FALL",4,0,0.1124,-100,100
1970,"FALL",5,0,0.0909,-100,100
1970,"FALL",6,0,0.0682,-100,100
1970,"FALL",7,0,0.0407,-100,100
1970,"FALL",8,0,0.0314,-100,100
1970,"FALL",9,0,0.0097,-100,100
1970,"FALL",10,0,0.0122,-100,100
1970,"FALL",11,0,0.0097,-100,100
1970,"FALL",13,0,0.0129,-100,100
1971,"FALL",1,0,0.0304,-100,100
1971,"FALL",2,0,0.3463,-100,100
1971,"FALL",3,0,0.1752,-100,100
1971,"FALL",4,0,0.019,-100,100
1971,"FALL",5,0,0.0442,-100,100
1971,"FALL",6,0,0.1199,-100,100
1971,"FALL",7,0,0.0118,-100,100
1971,"FALL",8,0,0.0601,-100,100
1971,"FALL",9,0,0.0276,-100,100
1971,"FALL",10,0,0.0122,-100,100
1971,"FALL",11,0,0.007,-100,100
1971,"FALL",12,0,0.0066,-100,100
1971,"FALL",13,0,0.0235,-100,100
1971,"FALL",14,0,0.014,-100,100
1971,"FALL",15,0,0.0271,-100,100
1971,"FALL",16,0,0.028,-100,100
1971,"FALL",17,0,0.0032,-100,100
1971,"FALL",18,0,0.0054,-100,100
1972,"FALL",1,0,0.3846,-100,100
1972,"FALL",2,0,0.2932,-100,100
1972,"FALL",3,0,0.2101,-100,100
1972,"FALL",4,0,0.1015,-100,100
1972,"FALL",5,0,0.0731,-100,100
1972,"FALL",6,0,0.1056,-100,100
1972,"FALL",7,0,0.0683,-100,100
1972,"FALL",8,0,0.0769,-100,100
1972,"FALL",9,0,0.0551,-100,100
1972,"FALL",10,0,0.0261,-100,100
1972,"FALL",11,0,0.0308,-100,100
1972,"FALL",12,0,0.013,-100,100
1972,"FALL",13,0,0.0379,-100,100
1972,"FALL",14,0,0.0132,-100,100
1972,"FALL",15,0,0.0131,-100,100
1972,"FALL",18,0,0.0125,-100,100
1972,"FALL",19,0,0.0139,-100,100
1973,"FALL",1,0,0.0122,-100,100
1973,"FALL",2,0,0.2586,-100,100
1973,"FALL",3,0,0.0678,-100,100
1973,"FALL",4,0,0.0498,-100,100
1973,"FALL",5,0,0.0823,-100,100
1973,"FALL",6,0,0.0677,-100,100
1973,"FALL",7,0,0.0858,-100,100
1973,"FALL",8,0,0.0678,-100,100
1973,"FALL",10,0,0.1506,-100,100
1973,"FALL",11,0,0.0078,-100,100
1973,"FALL",12,0,0.0111,-100,100
1973,"FALL",13,0,0.0424,-100,100
1973,"FALL",14,0,0.0421,-100,100
1973,"FALL",15,0,0.0106,-100,100
1973,"FALL",16,0,0.0122,-100,100
1974,"FALL",1,0,0.0017,-100,100
1974,"FALL",2,0,0.0778,-100,100
1974,"FALL",3,0,0.3198,-100,100
1974,"FALL",4,0,0.2415,-100,100
1974,"FALL",5,0,0.0868,-100,100
1974,"FALL",6,0,0.0997,-100,100
1974,"FALL",7,0,0.104,-100,100
1974,"FALL",9,0,0.0131,-100,100
1974,"FALL",11,0,0.0355,-100,100
1974,"FALL",14,0,0.018,-100,100
1975,"FALL",1,0,0.2522,-100,100
1975,"FALL",2,0,0.0408,-100,100
1975,"FALL",3,0,0.0414,-100,100
1975,"FALL",4,0,0.1356,-100,100
1975,"FALL",5,0,0.0659,-100,100
1975,"FALL",6,0,0.0488,-100,100
1975,"FALL",7,0,0.0723,-100,100
1975,"FALL",8,0,0.0093,-100,100
1975,"FALL",9,0,0.0098,-100,100
1975,"FALL",10,0,0.0136,-100,100
1975,"FALL",13,0,0.0136,-100,100
1975,"FALL",14,0,0.0135,-100,100
1976,"FALL",1,0,0.0379,-100,100
1976,"FALL",2,0,0.0337,-100,100
1976,"FALL",3,0,0.1346,-100,100
1976,"FALL",4,0,0.6023,-100,100
1976,"FALL",5,0,1.9536,-100,100
1976,"FALL",6,0,0.7221,-100,100
1976,"FALL",7,0,0.2857,-100,100
1976,"FALL",8,0,0.1931,-100,100
1976,"FALL",9,0,0.0512,-100,100
1976,"FALL",10,0,0.0107,-100,100
1976,"FALL",12,0,0.0269,-100,100
1976,"FALL",13,0,0.0402,-100,100
1976,"FALL",14,0,0.0903,-100,100
1976,"FALL",16,0,0.0057,-100,100
1976,"FALL",17,0,0.047,-100,100
1976,"FALL",18,0,0.0255,-100,100
1976,"FALL",19,0,0.0244,-100,100
1976,"FALL",22,0,0.0107,-100,100
1977,"FALL",1,0,0.0597,-100,100
1977,"FALL",2,0,0.2234,-100,100
1977,"FALL",3,0,0.2782,-100,100
1977,"FALL",4,0,0.2885,-100,100
1977,"FALL",5,0,0.4614,-100,100
1977,"FALL",6,0,0.405,-100,100
1977,"FALL",7,0,0.2274,-100,100
1977,"FALL",8,0,0.0947,-100,100
1977,"FALL",9,0,0.0909,-100,100
1977,"FALL",10,0,0.0325,-100,100
1977,"FALL",12,0,0.0155,-100,100
1977,"FALL",13,0,0.0155,-100,100
1977,"FALL",14,0,0.0156,-100,100
1977,"FALL",15,0,0.0402,-100,100
1977,"FALL",16,0,0.0369,-100,100
1977,"FALL",17,0,0.0131,-100,100
1977,"FALL",18,0,0.0237,-100,100
1977,"FALL",19,0,0.0192,-100,100
1978,"FALL",0,0,0.0103,-100,100
1978,"FALL",1,0,0.0263,-100,100
1978,"FALL",2,0,0.2254,-100,100
1978,"FALL",3,0,0.0537,-100,100
1978,"FALL",4,0,0.0418,-100,100
1978,"FALL",5,0,0.1106,-100,100
1978,"FALL",6,0,0.093,-100,100
1978,"FALL",7,0,0.1616,-100,100
1978,"FALL",8,0,0.0796,-100,100
1978,"FALL",9,0,0.0682,-100,100
1978,"FALL",10,0,0.0415,-100,100
1978,"FALL",11,0,0.0333,-100,100
1978,"FALL",12,0,0.0193,-100,100
1978,"FALL",13,0,0.0333,-100,100
1978,"FALL",14,0,0.0158,-100,100
1978,"FALL",15,0,0.0318,-100,100
1978,"FALL",16,0,0.0075,-100,100
1978,"FALL",17,0,0.0127,-100,100
1978,"FALL",18,0,0.0051,-100,100
1978,"FALL",19,0,0.0022,-100,100
1979,"FALL",1,0,0.0183,-100,100
1979,"FALL",2,0,0.0109,-100,100
1979,"FALL",3,0,0.1885,-100,100
1979,"FALL",4,0,0.1554,-100,100
1979,"FALL",5,0,0.0711,-100,100
1979,"FALL",6,0,0.0949,-100,100
1979,"FALL",7,0,0.0715,-100,100
1979,"FALL",8,0,0.0836,-100,100
1979,"FALL",9,0,0.0526,-100,100
1979,"FALL",10,0,0.0374,-100,100
1979,"FALL",11,0,0.0127,-100,100
1979,"FALL",12,0,0.0156,-100,100
1979,"FALL",13,0,0.02,-100,100
1979,"FALL",14,0,0.0111,-100,100
1979,"FALL",15,0,0.0296,-100,100
1979,"FALL",17,0,0.0039,-100,100
1980,"FALL",1,0,0.0563,-100,100
1980,"FALL",2,0,0.0083,-100,100
1980,"FALL",3,0,0.0041,-100,100
1980,"FALL",4,0,0.0523,-100,100
1980,"FALL",5,0,0.0656,-100,100
1980,"FALL",6,0,0.0431,-100,100
1980,"FALL",7,0,0.0701,-100,100
1980,"FALL",8,0,0.0601,-100,100
1980,"FALL",9,0,0.0228,-100,100
1980,"FALL",10,0,0.0407,-100,100
1980,"FALL",11,0,0.0211,-100,100
1980,"FALL",12,0,0.0017,-100,100
1980,"FALL",13,0,0.0174,-100,100
1980,"FALL",14,0,0.0129,-100,100
1980,"FALL",16,0,0.0112,-100,100
1980,"FALL",18,0,0.0061,-100,100
1981,"FALL",2,0,0.1752,-100,100
1981,"FALL",3,0,0.5538,-100,100
1981,"FALL",4,0,0.0982,-100,100
1981,"FALL",5,0,0.1629,-100,100
1981,"FALL",6,0,0.0203,-100,100
1981,"FALL",12,0,0.0432,-100,100
1981,"FALL",13,0,0.02,-100,100
1981,"FALL",17,0,0.0258,-100,100
1982,"FALL",1,0,0.0807,-100,100
1982,"FALL",2,0,0.2211,-100,100
1982,"FALL",3,0,0.2311,-100,100
1982,"FALL",4,0,0.04,-100,100
1982,"FALL",5,0,0.0143,-100,100
1982,"FALL",6,0,0.0686,-100,100
1982,"FALL",7,0,0.0405,-100,100
1982,"FALL",9,0,0.0107,-100,100
1982,"FALL",11,0,0.0302,-100,100
1982,"FALL",12,0,0.0088,-100,100
1982,"FALL",13,0,0.0063,-100,100
1982,"FALL",14,0,0.0211,-100,100
1982,"FALL",17,0,0.019,-100,100
1983,"FALL",1,0,0.5033,-100,100
1983,"FALL",2,0,0.0118,-100,100
1983,"FALL",3,0,0.0714,-100,100
1983,"FALL",4,0,0.0458,-100,100
1983,"FALL",5,0,0.0633,-100,100
1983,"FALL",6,0,0.0208,-100,100
1983,"FALL",7,0,0.0514,-100,100
1983,"FALL",8,0,0.0819,-100,100
1983,"FALL",9,0,0.0412,-100,100
1983,"FALL",10,0,0.0098,-100,100
1983,"FALL",11,0,0.0284,-100,100
1983,"FALL",12,0,0.0337,-100,100
1983,"FALL",13,0,0.0197,-100,100
1983,"FALL",15,0,0.0075,-100,100
1983,"FALL",16,0,0.0047,-100,100
1983,"FALL",17,0,0.0072,-100,100
1984,"FALL",1,0,0.1039,-100,100
1984,"FALL",2,0,0.1221,-100,100
1984,"FALL",3,0,0.0228,-100,100
1984,"FALL",6,0,0.0232,-100,100
1984,"FALL",9,0,0.0083,-100,100
1985,"FALL",1,0,0.6913,-100,100
1985,"FALL",2,0,0.0487,-100,100
1985,"FALL",3,0,0.0995,-100,100
1985,"FALL",4,0,0.0817,-100,100
1985,"FALL",5,0,0.0729,-100,100
1985,"FALL",6,0,0.0693,-100,100
1985,"FALL",7,0,0.007,-100,100
1985,"FALL",10,0,0.0123,-100,100
1985,"FALL",13,0,0.0243,-100,100
1985,"FALL",14,0,0.0183,-100,100
1986,"FALL",1,0,0.1353,-100,100
1986,"FALL",2,0,0.0833,-100,100
1986,"FALL",3,0,0.0353,-100,100
1986,"FALL",4,0,0.035,-100,100
1986,"FALL",5,0,0.0577,-100,100
1986,"FALL",6,0,0.0411,-100,100
1986,"FALL",7,0,0.0211,-100,100
