"YEAR","SEASON","LENGTH","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1968,"FALL",20,0,0.00733,-100,100
1968,"FALL",21,0,0.01362,-100,100
1968,"FALL",24,0,0.0058,-100,100
1968,"FALL",27,0,0.02095,-100,100
1968,"FALL",30,0,0.01656,-100,100
1968,"FALL",31,0,0.0233,-100,100
1968,"FALL",34,0,0.01362,-100,100
1968,"FALL",35,0,0.02248,-100,100
1968,"FALL",38,0,0.00319,-100,100
1968,"FALL",41,0,0.00342,-100,100
1968,"FALL",42,0,0.00764,-100,100
1968,"FALL",43,0,0.00612,-100,100
1968,"FALL",44,0,0.00612,-100,100
1968,"FALL",48,0,0.00612,-100,100
1968,"FALL",50,0,0.00968,-100,100
1968,"FALL",51,0,0.00968,-100,100
1968,"FALL",54,0,0.0129,-100,100
1968,"FALL",57,0,0.00764,-100,100
1968,"FALL",67,0,0.01936,-100,100
1968,"FALL",68,0,0.0127,-100,100
1968,"FALL",69,0,0.0127,-100,100
1968,"FALL",70,0,0.0254,-100,100
1968,"FALL",71,0,0.0127,-100,100
1968,"FALL",72,0,0.0233,-100,100
1968,"FALL",73,0,0.02492,-100,100
1968,"FALL",74,0,0.00968,-100,100
1968,"FALL",75,0,0.04476,-100,100
1968,"FALL",76,0,0.02154,-100,100
1968,"FALL",77,0,0.05031,-100,100
1968,"FALL",78,0,0.0254,-100,100
1968,"FALL",79,0,0.00764,-100,100
1968,"FALL",80,0,0.01652,-100,100
1968,"FALL",81,0,0.00542,-100,100
1968,"FALL",82,0,0.02896,-100,100
1968,"FALL",83,0,0.0254,-100,100
1968,"FALL",84,0,0.00342,-100,100
1968,"FALL",85,0,0.0127,-100,100
1968,"FALL",87,0,0.01085,-100,100
1968,"FALL",88,0,0.0131,-100,100
1968,"FALL",89,0,0.0127,-100,100
1968,"FALL",90,0,0.02238,-100,100
1968,"FALL",91,0,0.01812,-100,100
1968,"FALL",92,0,0.00542,-100,100
1968,"FALL",95,0,0.03198,-100,100
1968,"FALL",97,0,0.00294,-100,100
1968,"FALL",105,0,0.0129,-100,100
1969,"FALL",26,0,0.0127,-100,100
1969,"FALL",30,0,0.00587,-100,100
1969,"FALL",31,0,0.00968,-100,100
1969,"FALL",36,0,0.01826,-100,100
1969,"FALL",37,0,0.00587,-100,100
1969,"FALL",39,0,0.02685,-100,100
1969,"FALL",40,0,0.00294,-100,100
1969,"FALL",42,0,0.00294,-100,100
1969,"FALL",45,0,0.00611,-100,100
1969,"FALL",46,0,0.00611,-100,100
1969,"FALL",47,0,0.00836,-100,100
1969,"FALL",49,0,0.00542,-100,100
1969,"FALL",50,0,0.00294,-100,100
1969,"FALL",52,0,0.00542,-100,100
1969,"FALL",56,0,0.00884,-100,100
1969,"FALL",57,0,0.00294,-100,100
1969,"FALL",58,0,0.00542,-100,100
1969,"FALL",61,0,0.02075,-100,100
1969,"FALL",62,0,0.01532,-100,100
1969,"FALL",63,0,0.00968,-100,100
1969,"FALL",64,0,0.01222,-100,100
1969,"FALL",65,0,0.0129,-100,100
1969,"FALL",66,0,0.02075,-100,100
1969,"FALL",67,0,0.04597,-100,100
1969,"FALL",68,0,0.04355,-100,100
1969,"FALL",69,0,0.03749,-100,100
1969,"FALL",70,0,0.03065,-100,100
1969,"FALL",71,0,0.04597,-100,100
1969,"FALL",72,0,0.06129,-100,100
1969,"FALL",73,0,0.05139,-100,100
1969,"FALL",74,0,0.07519,-100,100
1969,"FALL",75,0,0.15107,-100,100
1969,"FALL",76,0,0.14312,-100,100
1969,"FALL",77,0,0.10482,-100,100
1969,"FALL",78,0,0.08544,-100,100
1969,"FALL",79,0,0.00968,-100,100
1969,"FALL",80,0,0.07693,-100,100
1969,"FALL",81,0,0.03665,-100,100
1969,"FALL",82,0,0.04897,-100,100
1969,"FALL",83,0,0.05139,-100,100
1969,"FALL",84,0,0.05682,-100,100
1969,"FALL",87,0,0.00542,-100,100
1969,"FALL",88,0,0.02307,-100,100
1969,"FALL",89,0,0.01532,-100,100
1969,"FALL",92,0,0.02355,-100,100
1969,"FALL",93,0,0.0151,-100,100
1969,"FALL",109,0,0.00611,-100,100
1970,"FALL",28,0,0.01287,-100,100
1970,"FALL",29,0,0.01224,-100,100
1970,"FALL",30,0,0.01362,-100,100
1970,"FALL",31,0,0.03094,-100,100
1970,"FALL",33,0,0.00271,-100,100
1970,"FALL",35,0,0.00613,-100,100
1970,"FALL",36,0,0.03199,-100,100
1970,"FALL",38,0,0.03707,-100,100
1970,"FALL",39,0,0.00611,-100,100
1970,"FALL",40,0,0.00859,-100,100
1970,"FALL",41,0,0.00813,-100,100
1970,"FALL",42,0,0.00319,-100,100
1970,"FALL",46,0,0.0051,-100,100
1970,"FALL",54,0,0.00319,-100,100
1970,"FALL",56,0,0.01395,-100,100
1970,"FALL",61,0,0.00173,-100,100
1970,"FALL",63,0,0.01362,-100,100
1970,"FALL",64,0,0.02872,-100,100
1970,"FALL",65,0,0.0307,-100,100
1970,"FALL",68,0,0.00542,-100,100
1970,"FALL",69,0,0.0233,-100,100
1970,"FALL",70,0,0.01362,-100,100
1970,"FALL",71,0,0.03214,-100,100
1970,"FALL",72,0,0.0233,-100,100
1970,"FALL",73,0,0.01904,-100,100
1970,"FALL",74,0,0.02478,-100,100
1970,"FALL",75,0,0.02253,-100,100
1970,"FALL",76,0,0.01285,-100,100
1970,"FALL",77,0,0.03616,-100,100
1970,"FALL",78,0,0.03856,-100,100
1970,"FALL",80,0,0.00967,-100,100
1970,"FALL",81,0,0.00968,-100,100
1970,"FALL",83,0,0.01222,-100,100
1970,"FALL",86,0,0.01285,-100,100
1971,"FALL",30,0,0.0152,-100,100
1971,"FALL",33,0,0.0152,-100,100
1971,"FALL",35,0,0.00587,-100,100
1971,"FALL",36,0,0.01781,-100,100
1971,"FALL",37,0,0.01106,-100,100
1971,"FALL",38,0,0.01543,-100,100
1971,"FALL",39,0,0.04251,-100,100
1971,"FALL",40,0,0.06634,-100,100
1971,"FALL",41,0,0.0244,-100,100
1971,"FALL",42,0,0.04359,-100,100
1971,"FALL",43,0,0.04679,-100,100
1971,"FALL",44,0,0.04067,-100,100
1971,"FALL",45,0,0.04067,-100,100
1971,"FALL",46,0,0.0244,-100,100
1971,"FALL",47,0,0.0244,-100,100
1971,"FALL",48,0,0.03026,-100,100
1971,"FALL",49,0,0.00813,-100,100
1971,"FALL",50,0,0.02733,-100,100
1971,"FALL",51,0,0.01627,-100,100
1971,"FALL",52,0,0.01133,-100,100
1971,"FALL",53,0,0.01627,-100,100
1971,"FALL",54,0,0.00271,-100,100
1971,"FALL",55,0,0.00813,-100,100
1971,"FALL",56,0,0.00813,-100,100
1971,"FALL",59,0,0.00813,-100,100
1971,"FALL",67,0,0.00342,-100,100
1971,"FALL",68,0,0.02332,-100,100
1971,"FALL",70,0,0.02284,-100,100
1971,"FALL",71,0,0.01768,-100,100
1971,"FALL",74,0,0.00611,-100,100
1971,"FALL",75,0,0.03278,-100,100
1971,"FALL",78,0,0.02143,-100,100
1971,"FALL",79,0,0.0342,-100,100
1971,"FALL",80,0,0.04311,-100,100
1971,"FALL",81,0,0.00542,-100,100
1971,"FALL",83,0,0.01226,-100,100
1971,"FALL",85,0,0.01106,-100,100
1971,"FALL",88,0,0.02259,-100,100
1971,"FALL",89,0,0.01085,-100,100
1971,"FALL",90,0,0.00542,-100,100
1971,"FALL",92,0,0.02569,-100,100
1971,"FALL",94,0,0.00542,-100,100
1971,"FALL",95,0,0.01648,-100,100
1971,"FALL",96,0,0.01085,-100,100
1971,"FALL",97,0,0.00542,-100,100
1971,"FALL",98,0,0.01085,-100,100
1971,"FALL",99,0,0.00542,-100,100
1971,"FALL",101,0,0.00542,-100,100
1971,"FALL",103,0,0.00542,-100,100
1971,"FALL",105,0,0.00542,-100,100
1971,"FALL",106,0,0.01085,-100,100
1971,"FALL",107,0,0.00542,-100,100
1971,"FALL",110,0,0.00542,-100,100
1972,"FALL",23,0,0.01222,-100,100
1972,"FALL",24,0,0.02154,-100,100
1972,"FALL",25,0,0.01086,-100,100
1972,"FALL",26,0,0.05472,-100,100
1972,"FALL",27,0,0.01517,-100,100
1972,"FALL",28,0,0.0673,-100,100
1972,"FALL",29,0,0.06754,-100,100
1972,"FALL",30,0,0.05071,-100,100
1972,"FALL",31,0,0.02155,-100,100
1972,"FALL",32,0,0.01543,-100,100
1972,"FALL",33,0,0.02311,-100,100
1972,"FALL",34,0,0.02448,-100,100
1972,"FALL",35,0,0.0129,-100,100
1972,"FALL",37,0,0.00612,-100,100
1972,"FALL",38,0,0.01698,-100,100
1972,"FALL",39,0,0.01837,-100,100
1972,"FALL",40,0,0.04213,-100,100
1972,"FALL",41,0,0.04213,-100,100
1972,"FALL",42,0,0.07762,-100,100
1972,"FALL",43,0,0.04147,-100,100
1972,"FALL",44,0,0.01698,-100,100
1972,"FALL",45,0,0.01902,-100,100
1972,"FALL",46,0,0.02173,-100,100
1972,"FALL",47,0,0.02173,-100,100
1972,"FALL",48,0,0.01566,-100,100
1972,"FALL",49,0,0.0233,-100,100
1972,"FALL",50,0,0.02054,-100,100
1972,"FALL",51,0,0.01561,-100,100
1972,"FALL",52,0,0.02054,-100,100
1972,"FALL",53,0,0.03298,-100,100
1972,"FALL",54,0,0.00968,-100,100
1972,"FALL",55,0,0.01362,-100,100
1972,"FALL",57,0,0.0381,-100,100
1972,"FALL",59,0,0.00294,-100,100
1972,"FALL",63,0,0.01362,-100,100
1972,"FALL",64,0,0.01362,-100,100
1972,"FALL",66,0,0.01362,-100,100
1972,"FALL",67,0,0.01362,-100,100
1972,"FALL",68,0,0.01943,-100,100
1972,"FALL",69,0,0.00611,-100,100
1972,"FALL",70,0,0.0127,-100,100
1972,"FALL",71,0,0.01086,-100,100
1972,"FALL",74,0,0.0058,-100,100
1972,"FALL",75,0,0.02121,-100,100
1972,"FALL",76,0,0.04361,-100,100
1972,"FALL",77,0,0.02817,-100,100
1972,"FALL",78,0,0.04505,-100,100
1972,"FALL",79,0,0.04683,-100,100
1972,"FALL",80,0,0.02413,-100,100
1972,"FALL",82,0,0.04991,-100,100
1972,"FALL",83,0,0.06453,-100,100
1972,"FALL",84,0,0.04264,-100,100
1972,"FALL",85,0,0.00611,-100,100
1972,"FALL",86,0,0.01973,-100,100
1972,"FALL",87,0,0.01153,-100,100
1972,"FALL",88,0,0.01802,-100,100
1972,"FALL",89,0,0.02154,-100,100
1972,"FALL",90,0,0.01881,-100,100
1972,"FALL",92,0,0.00611,-100,100
1972,"FALL",93,0,0.01222,-100,100
1972,"FALL",94,0,0.01362,-100,100
1972,"FALL",96,0,0.01191,-100,100
1973,"FALL",26,0,0.00611,-100,100
1973,"FALL",28,0,0.00611,-100,100
1973,"FALL",30,0,0.0058,-100,100
1973,"FALL",31,0,0.009,-100,100
1973,"FALL",32,0,0.01464,-100,100
1973,"FALL",33,0,0.02414,-100,100
1973,"FALL",34,0,0.02477,-100,100
1973,"FALL",35,0,0.03574,-100,100
1973,"FALL",36,0,0.02703,-100,100
1973,"FALL",37,0,0.01533,-100,100
1973,"FALL",38,0,0.04169,-100,100
1973,"FALL",39,0,0.03055,-100,100
1973,"FALL",40,0,0.00611,-100,100
1973,"FALL",42,0,0.0233,-100,100
1973,"FALL",44,0,0.00271,-100,100
1973,"FALL",45,0,0.01285,-100,100
1973,"FALL",46,0,0.00612,-100,100
1973,"FALL",48,0,0.00271,-100,100
1973,"FALL",49,0,0.00612,-100,100
1973,"FALL",50,0,0.00612,-100,100
1973,"FALL",51,0,0.00883,-100,100
1973,"FALL",52,0,0.01764,-100,100
1973,"FALL",53,0,0.00542,-100,100
1973,"FALL",61,0,0.00612,-100,100
1973,"FALL",62,0,0.01839,-100,100
1973,"FALL",64,0,0.00611,-100,100
1973,"FALL",65,0,0.01222,-100,100
1973,"FALL",67,0,0.0127,-100,100
1973,"FALL",68,0,0.01285,-100,100
1973,"FALL",69,0,0.01106,-100,100
1973,"FALL",70,0,0.01106,-100,100
1973,"FALL",71,0,0.02452,-100,100
1973,"FALL",73,0,0.03332,-100,100
1973,"FALL",74,0,0.02375,-100,100
1973,"FALL",75,0,0.05,-100,100
1973,"FALL",76,0,0.01226,-100,100
