"YEAR","SEASON","LENGTH","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1974,"SPRING",23,0.0108416657089223,0.01213,-10.6210576346056,10.6210576346056
1974,"SPRING",27,0.0216833314178447,0.02426,-10.6210576346056,10.6210576346056
1974,"SPRING",29,0.012623070145194,0.01213,4.0648816586483,4.0648816586483
1974,"SPRING",31,0.0108416657089223,0.01213,-10.6210576346056,10.6210576346056
1976,"SPRING",9,0.0333162107318637,0.03733,-10.7521812701213,10.7521812701213
1976,"SPRING",32,0.0170333453555854,0.01909,-10.7734659215011,10.7734659215011
1976,"SPRING",37,0.0162828653762783,0.01825,-10.7788198560094,10.7788198560094
1977,"SPRING",21,0.0173844660843958,0.01909,-8.93417451861806,8.93417451861806
1978,"SPRING",10,0.0147602000227299,0.0167,-11.6155687261685,11.6155687261685
1978,"SPRING",11,0.0147602000227299,0.0167,-11.6155687261685,11.6155687261685
1979,"SPRING",24,0.0168937595525349,0.01909,-11.5046644707445,11.5046644707445
1979,"SPRING",25,0.0168937595525349,0.01909,-11.5046644707445,11.5046644707445
1979,"SPRING",26,0.0168937595525349,0.01909,-11.5046644707445,11.5046644707445
1981,"SPRING",11,0.016868800025977,0.01909,-11.6354110739813,11.6354110739813
1981,"SPRING",26,0.00973595484335341,0.01102,-11.6519524196605,11.6519524196605
1981,"SPRING",28,0.0194719096867068,0.02203,-11.6118489028288,11.6118489028288
1981,"SPRING",30,0.00973595484335341,0.01102,-11.6519524196605,11.6519524196605
1981,"SPRING",38,0.0107209152555215,0.01213,-11.6165271597571,11.6165271597571
1983,"SPRING",21,0.0169110825371507,0.01909,-11.4139207063873,11.4139207063873
1983,"SPRING",23,0.0169110825371507,0.01909,-11.4139207063873,11.4139207063873
1983,"SPRING",24,0.0169110825371507,0.01909,-11.4139207063873,11.4139207063873
1983,"SPRING",25,0.0222659874021387,0.02513,-11.3967870985328,11.3967870985328
1983,"SPRING",31,0.0181867380653982,0.02053,-11.4138428378071,11.4138428378071
1983,"SPRING",32,0.0169110825371507,0.01909,-11.4139207063873,11.4139207063873
1983,"SPRING",33,0.0169110825371507,0.01909,-11.4139207063873,11.4139207063873
1984,"SPRING",25,0.017102036113443,0.01909,-10.4136400553014,10.4136400553014
1985,"SPRING",9,0.0474564658863831,0.05344,-11.1967329970376,11.1967329970376
1985,"SPRING",10,0.0711846988295747,0.08016,-11.1967329970376,11.1967329970376
1985,"SPRING",19,0.0237282329431916,0.02672,-11.1967329970376,11.1967329970376
1985,"SPRING",22,0.0237282329431916,0.02672,-11.1967329970376,11.1967329970376
1985,"SPRING",26,0.0107717194785422,0.01213,-11.1976959724468,11.1976959724468
1985,"SPRING",27,0.0344999524217338,0.03885,-11.197033663491,11.197033663491
1985,"SPRING",28,0.0107717194785422,0.01213,-11.1976959724468,11.1976959724468
1985,"SPRING",30,0.0205538110191265,0.02315,-11.2146392262356,11.2146392262356
1985,"SPRING",31,0.00978209154058426,0.01102,-11.233289105406,11.233289105406
1985,"SPRING",32,0.0205538110191265,0.02315,-11.2146392262356,11.2146392262356
1985,"SPRING",37,0.00978209154058426,0.01102,-11.233289105406,11.233289105406
1985,"SPRING",41,0.0107717194785422,0.01213,-11.1976959724468,11.1976959724468
1986,"SPRING",5,0.0204907685667049,0.02311,-11.3337578247298,11.3337578247298
1986,"SPRING",20,0.016923615692215,0.01909,-11.3482677201939,11.3482677201939
1986,"SPRING",21,0.03384723138443,0.03817,-11.3250422205136,11.3250422205136
1986,"SPRING",22,0.10154169415329,0.11452,-11.3327854057895,11.3327854057895
1986,"SPRING",23,0.23693061969101,0.26722,-11.334997496067,11.334997496067
1986,"SPRING",24,0.376149348058019,0.42423,-11.3336284425856,11.3336284425856
1986,"SPRING",25,0.23693061969101,0.26722,-11.334997496067,11.334997496067
1986,"SPRING",26,0.23693061969101,0.26722,-11.334997496067,11.334997496067
1986,"SPRING",27,0.272054452018536,0.30683,-11.3338161136342,11.3338161136342
1986,"SPRING",28,0.156062938258936,0.17601,-11.3329138918606,11.3329138918606
1986,"SPRING",29,0.0507708470766449,0.05726,-11.3327854057895,11.3327854057895
1986,"SPRING",31,0.0520474480197415,0.0587,-11.3331379561474,11.3331379561474
1986,"SPRING",32,0.087171280347268,0.09831,-11.3302000332946,11.3302000332946
1986,"SPRING",33,0.0545212441056464,0.06149,-11.333153186459,11.333153186459
1986,"SPRING",34,0.0702476646550531,0.07923,-11.3370381736046,11.3370381736046
1986,"SPRING",36,0.0351238323275265,0.03961,-11.3258461814528,11.3258461814528
1987,"SPRING",21,0.0169487378165654,0.01909,-11.2166693736753,11.2166693736753
1987,"SPRING",22,0.00807878960890665,0.0091,-11.222092209817,11.222092209817
1987,"SPRING",24,0.0716773377920966,0.08072,-11.2025052129626,11.2025052129626
1987,"SPRING",25,0.088626075608662,0.09981,-11.2052142985052,11.2052142985052
1987,"SPRING",27,0.025027527425472,0.02818,-11.1869147428245,11.1869147428245
1987,"SPRING",28,0.0169487378165654,0.01909,-11.2166693736753,11.2166693736753
1987,"SPRING",30,0.00978209154058426,0.01102,-11.233289105406,11.233289105406
1987,"SPRING",33,0.0178608811494909,0.02011,-11.184081802631,11.184081802631
1987,"SPRING",34,0.00978209154058426,0.01102,-11.233289105406,11.233289105406
1987,"SPRING",40,0.00978209154058426,0.01102,-11.233289105406,11.233289105406
1989,"SPRING",8,0.0172140993248561,0.01937,-11.130101575343,11.130101575343
1990,"SPRING",22,0.0183614194513142,0.02053,-10.5629836760146,10.5629836760146
1990,"SPRING",33,0.0183614194513142,0.02053,-10.5629836760146,10.5629836760146
1991,"SPRING",27,0.024152363398994,0.02729,-11.4973858593112,11.4973858593112
1992,"SPRING",24,0.0170951421167373,0.01931,-11.4700045741208,11.4700045741208
1992,"SPRING",33,0.0170951421167373,0.01931,-11.4700045741208,11.4700045741208
1993,"SPRING",22,0.0170646782511579,0.01931,-11.6277666951947,11.6277666951947
1993,"SPRING",24,0.0170646782511579,0.01931,-11.6277666951947,11.6277666951947
1994,"SPRING",28,0.0162438296406842,0.0184,-11.7183171701946,11.7183171701946
1994,"SPRING",31,0.0162438296406842,0.0184,-11.7183171701946,11.7183171701946
1994,"SPRING",32,0.0324876592813684,0.03681,-11.7423002407814,11.7423002407814
1994,"SPRING",33,0.0162438296406842,0.0184,-11.7183171701946,11.7183171701946
1994,"SPRING",34,0.0162438296406842,0.0184,-11.7183171701946,11.7183171701946
1995,"SPRING",6,0.0340784230119553,0.03861,-11.7367961358318,11.7367961358318
1995,"SPRING",7,0.0340784230119553,0.03861,-11.7367961358318,11.7367961358318
1995,"SPRING",26,0.0170392115059777,0.01931,-11.7596504092301,11.7596504092301
1995,"SPRING",32,0.0170392115059777,0.01931,-11.7596504092301,11.7596504092301
1995,"SPRING",41,0.0170392115059777,0.01931,-11.7596504092301,11.7596504092301
1996,"SPRING",4,0.016923615692215,0.01909,-11.3482677201939,11.3482677201939
1997,"SPRING",20,0.0342949564298917,0.03861,-11.1759740225544,11.1759740225544
1997,"SPRING",22,0.0857373910747293,0.09653,-11.1805748733769,11.1805748733769
1997,"SPRING",23,0.0171474782149459,0.01931,-11.1989735114145,11.1989735114145
1997,"SPRING",24,0.0171474782149459,0.01931,-11.1989735114145,11.1989735114145
1997,"SPRING",25,0.0514424346448376,0.05792,-11.1836418424765,11.1836418424765
1997,"SPRING",26,0.0171474782149459,0.01931,-11.1989735114145,11.1989735114145
1997,"SPRING",27,0.0514424346448376,0.05792,-11.1836418424765,11.1836418424765
1997,"SPRING",28,0.0171474782149459,0.01931,-11.1989735114145,11.1989735114145
1997,"SPRING",29,0.0342949564298917,0.03861,-11.1759740225544,11.1759740225544
1997,"SPRING",30,0.0342949564298917,0.03861,-11.1759740225544,11.1759740225544
1997,"SPRING",31,0.0171474782149459,0.01931,-11.1989735114145,11.1989735114145
1997,"SPRING",32,0.0342949564298917,0.03861,-11.1759740225544,11.1759740225544
1997,"SPRING",35,0.0171474782149459,0.01931,-11.1989735114145,11.1989735114145
1997,"SPRING",40,0.0171474782149459,0.01931,-11.1989735114145,11.1989735114145
1999,"SPRING",20,0.0196802666969731,0.02227,-11.6287979480326,11.6287979480326
