"YEAR","SEASON","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1973,"SPRING",0.403327920450495,0,Inf,Inf
1974,"SPRING",0.875823681058371,0.0607,1342.87262118348,1342.87262118348
1975,"SPRING",0.0178184915722088,0,Inf,Inf
1976,"SPRING",0.812354471017265,0.0747,987.489251696472,987.489251696472
1977,"SPRING",0.202860308268915,0.0191,962.095854811075,962.095854811075
1978,"SPRING",0.344475201272872,0.0334,931.362878062491,931.362878062491
1979,"SPRING",0.591402678807193,0.0573,932.116367900861,932.116367900861
1981,"SPRING",0.77638354176611,0.0753,931.053840326839,931.053840326839
1983,"SPRING",1.45872696456648,0.1411,933.824921733863,933.824921733863
1984,"SPRING",0.236538812305565,0.0191,1138.42310107626,1138.42310107626
1985,"SPRING",3.42585451476639,0.3306,936.253634230608,936.253634230608
1986,"SPRING",23.7785514604641,2.2982,934.659797252809,934.659797252809
1987,"SPRING",3.20332346110952,0.3091,936.338874509714,936.338874509714
1989,"SPRING",0.200872289011308,0.0194,935.424170161379,935.424170161379
1990,"SPRING",0.428520863633749,0.0411,942.629838524938,942.629838524938
1991,"SPRING",0.338964054218024,0.0273,1141.62657222719,1141.62657222719
1992,"SPRING",0.398968341376332,0.0386,933.596739316921,933.596739316921
1993,"SPRING",0.398257372269487,0.0386,931.754850439086,931.754850439086
1994,"SPRING",1.13730094638962,0.1104,930.163900715238,930.163900715238
1995,"SPRING",1.39182059281368,0.1351,930.215094606724,930.215094606724
1996,"SPRING",0.197482619234935,0.0191,933.940414842593,933.940414842593
1997,"SPRING",5.20246697227357,0.5019,936.554487402584,936.554487402584
1999,"SPRING",0.993245513656855,0.0927,971.462258529509,971.462258529509
2000,"SPRING",1.53489236265757,0.1407,990.897201604526,990.897201604526
2001,"SPRING",4.48403491063378,0.4348,931.286777974651,931.286777974651
2002,"SPRING",5.72014018477483,0.5496,940.782420810559,940.782420810559
2003,"SPRING",5.20323635066774,0.5052,929.935936395039,929.935936395039
2004,"SPRING",2.76718394900979,0.2679,932.916740951768,932.916740951768
2005,"SPRING",9.53006085346197,0.8926,967.674305787807,967.674305787807
2006,"SPRING",1.99154700111248,0.1896,950.393987928522,950.393987928522
2007,"SPRING",12.2935601197605,1.1941,929.525175425884,929.525175425884
2008,"SPRING",1.622230639654,0.1571,932.610209837043,932.610209837043
2009,"SPRING",1.8822087267596,2.091,-9.98523544908655,9.98523544908655
2010,"SPRING",1.13094751192911,1.2458,-9.21917547526832,9.21917547526832
2011,"SPRING",1.03745610988926,1.1525,-9.982116278589,9.982116278589
2012,"SPRING",4.19671974820719,4.615,-9.06349408001761,9.06349408001761
2013,"SPRING",2.1018062238979,2.32,-9.40490414233185,9.40490414233185
2014,"SPRING",9.95492823243431,11.0234,-9.6927605599515,9.6927605599515
2015,"SPRING",1.68934483157773,1.8767,-9.98322419258653,9.98322419258653
2016,"SPRING",8.0810617961735,8.1969,-1.41319527902623,1.41319527902623
2017,"SPRING",8.20981195464643,9.0224,-9.00634027923361,9.00634027923361
2018,"SPRING",0.34693444457306,0.3561,-2.57387122351584,2.57387122351584
2019,"SPRING",7.13444558361215,7.8662,-9.30251476428069,9.30251476428069
2020,"SPRING",4.65687719298246,4.9634,-6.17566198608904,6.17566198608904
