"YEAR","SEASON","AGE","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1984,"SPRING",1,0.00691775196199108,0.0066,4.81442366653147,4.81442366653147
1984,"SPRING",2,0.0555604707663126,0.0697,-20.286268627959,20.286268627959
1984,"SPRING",3,0.0693081527493299,0.0914,-24.1705112151751,24.1705112151751
1984,"SPRING",4,0.0661829856690212,0.0735,-9.95512153874666,9.95512153874666
1984,"SPRING",5,0.00894596974098442,0.0172,-47.9885480175325,47.9885480175325
1985,"SPRING",1,0.0808560088104577,0.0928,-12.8706801611447,12.8706801611447
1985,"SPRING",2,0.0853470688047806,0.107,-20.2363842945976,20.2363842945976
1985,"SPRING",3,0.119224265774749,0.1549,-23.0314617335381,23.0314617335381
1985,"SPRING",4,0.129529769783853,0.1479,-12.4207100852921,12.4207100852921
1985,"SPRING",5,0.0259434742720403,0.0238,9.0061944203376,9.0061944203376
1985,"SPRING",6,0.00405700064970294,0.0099,-59.020195457546,59.020195457546
1986,"SPRING",1,0.146218628922397,0.1815,-19.4387719435827,19.4387719435827
1986,"SPRING",2,1.13676201445221,1.4095,-19.3499812378711,19.3499812378711
1986,"SPRING",3,0.454767417272722,0.5228,-13.0131183487526,13.0131183487526
1986,"SPRING",4,0.0180929395112033,0.0613,-70.4846011236488,70.4846011236488
1987,"SPRING",1,0.0209341674916482,0.0253,-17.2562549737224,17.2562549737224
1987,"SPRING",2,0.676730624420561,0.7446,-9.11487719304846,9.11487719304846
1987,"SPRING",3,0.180411724235704,0.2971,-39.2757575780194,39.2757575780194
1987,"SPRING",4,0.0260436665844361,0.0223,16.7877425311035,16.7877425311035
1987,"SPRING",5,0,0.0055,-100,100
1988,"SPRING",1,0.474334098941247,0.5713,-16.9728515768865,16.9728515768865
1988,"SPRING",2,0.693181506694421,0.8539,-18.8216996493242,18.8216996493242
1988,"SPRING",3,0.628688283283374,0.7617,-17.4624808607885,17.4624808607885
1988,"SPRING",4,0.157887692662149,0.1755,-10.0355027566104,10.0355027566104
1988,"SPRING",5,0.0313498349081386,0.0569,-44.9036293354331,44.9036293354331
1988,"SPRING",6,0.0390928820053984,0.0342,14.3066725304046,14.3066725304046
1988,"SPRING",8,0.0156968525611631,0.0149,5.34800376619502,5.34800376619502
1989,"SPRING",1,0.200465510646788,0.0753,166.222457698257,166.222457698257
1989,"SPRING",2,0.429941062920411,0.5193,-17.2075750201404,17.2075750201404
1989,"SPRING",3,0.0987204927827624,0.1233,-19.9347179377434,19.9347179377434
1989,"SPRING",4,0.0269242104668222,0.0339,-20.5775502453622,20.5775502453622
1989,"SPRING",6,0.00964789892971925,0.011,-12.2918279116432,12.2918279116432
1989,"SPRING",8,0.0198297415814423,0.0249,-20.3624836086656,20.3624836086656
1990,"SPRING",1,0.358525915400188,0.4176,-14.1460930555106,14.1460930555106
1990,"SPRING",2,0.201616804438177,0.2455,-17.8750287420869,17.8750287420869
1990,"SPRING",3,0.213112998587217,0.2747,-22.4197311295169,22.4197311295169
