"YEAR","SEASON","LENGTH","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1968,"SPRING",20,0.01247144980604,0.01278,-2.41432076651055,2.41432076651055
1968,"SPRING",22,0.00963153633276535,0.00987,-2.41604526073608,2.41604526073608
1968,"SPRING",23,0.0311786245150999,0.03194,-2.38376795522893,2.38376795522893
1968,"SPRING",24,0.01247144980604,0.01278,-2.41432076651055,2.41432076651055
1968,"SPRING",25,0.01247144980604,0.01278,-2.41432076651055,2.41432076651055
1968,"SPRING",26,0.0187071747090599,0.01916,-2.36338878361206,2.36338878361206
1968,"SPRING",27,0.00623572490301998,0.00639,-2.41432076651055,2.41432076651055
1968,"SPRING",28,0.01247144980604,0.01278,-2.41432076651055,2.41432076651055
1968,"SPRING",30,0.00670702969220172,0.00687,-2.37220244247862,2.37220244247862
1968,"SPRING",31,0.0249428996120799,0.02555,-2.37612676289667,2.37612676289667
1968,"SPRING",32,0.0129427545952217,0.01326,-2.39249928188767,2.39249928188767
1968,"SPRING",33,0.0191784794982417,0.01965,-2.39959542879557,2.39959542879557
1968,"SPRING",34,0.0191784794982417,0.01965,-2.39959542879557,2.39959542879557
1968,"SPRING",35,0.0249428996120799,0.02555,-2.37612676289667,2.37612676289667
1968,"SPRING",36,0.00623572490301998,0.00639,-2.41432076651055,2.41432076651055
1968,"SPRING",37,0.00440488706812167,0.00451,-2.33066367801177,2.33066367801177
1968,"SPRING",38,0.00623572490301998,0.00639,-2.41432076651055,2.41432076651055
1968,"SPRING",39,0.00623572490301998,0.00639,-2.41432076651055,2.41432076651055
1968,"SPRING",40,0.00623572490301998,0.00639,-2.41432076651055,2.41432076651055
1968,"SPRING",41,0.00623572490301998,0.00639,-2.41432076651055,2.41432076651055
1968,"SPRING",42,0.00623572490301998,0.00639,-2.41432076651055,2.41432076651055
1968,"SPRING",55,0.00623572490301998,0.00639,-2.41432076651055,2.41432076651055
1968,"SPRING",57,0.00623572490301998,0.00639,-2.41432076651055,2.41432076651055
1968,"SPRING",58,0.00623572490301998,0.00639,-2.41432076651055,2.41432076651055
1969,"SPRING",17,0.0313095939807912,0.03204,-2.27966922349801,2.27966922349801
1969,"SPRING",18,0.047709857494539,0.04882,-2.27395023650344,2.27395023650344
1969,"SPRING",19,0.0969106480357824,0.09917,-2.27826153495774,2.27826153495774
1969,"SPRING",20,0.0521826566346521,0.0534,-2.27966922349803,2.27966922349803
1969,"SPRING",21,0.0730557192885129,0.07476,-2.279669223498,2.279669223498
1969,"SPRING",22,0.244200963905551,0.24988,-2.272705336341,2.272705336341
1969,"SPRING",23,0.119552026628758,0.12233,-2.27088479624157,2.27088479624157
1969,"SPRING",24,0.0888838805866648,0.09095,-2.2717090855802,2.2717090855802
1969,"SPRING",25,0.0709406747338858,0.07259,-2.27211085013667,2.27211085013667
1969,"SPRING",26,0.114489788842273,0.11715,-2.27077350211425,2.27077350211425
1969,"SPRING",27,0.0903228043410423,0.09243,-2.27977459586468,2.27977459586468
1969,"SPRING",28,0.0774938455670747,0.0793,-2.27762223571922,2.27762223571922
1969,"SPRING",29,0.0426129468465032,0.0436,-2.26388337957972,2.26388337957972
1969,"SPRING",30,0.0393536978606844,0.04027,-2.27539642243745,2.27539642243745
1969,"SPRING",31,0.0184806352068236,0.01891,-2.27057003266198,2.27057003266198
1969,"SPRING",32,0.00629312437155439,0.00644,-2.28067746033564,2.28067746033564
1969,"SPRING",33,0.0280676814257481,0.02872,-2.2713042278967,2.2713042278967
1969,"SPRING",34,0.00149093304670434,0.00153,-2.55339564023892,2.55339564023892
1969,"SPRING",35,0.00149093304670434,0.00153,-2.55339564023892,2.55339564023892
1969,"SPRING",37,0.0057036857251829,0.00584,-2.33414854138871,2.33414854138871
1969,"SPRING",54,0.00149093304670434,0.00153,-2.55339564023892,2.55339564023892
1970,"SPRING",23,0.00601574147914427,0.00616,-2.34185910480075,2.34185910480075
1970,"SPRING",26,0.00805855090553957,0.00825,-2.32059508436888,2.32059508436888
1970,"SPRING",27,0.00324769136530171,0.00332,-2.17797092464724,2.17797092464724
1970,"SPRING",28,0.00120488193890642,0.00123,-2.0421187880961,2.0421187880961
1970,"SPRING",33,0.0263444402066503,0.02696,-2.2832336548581,2.2832336548581
1970,"SPRING",34,0.0456988315245657,0.04676,-2.2693936600391,2.2693936600391
1970,"SPRING",35,0.00882771055095177,0.00903,-2.24019323419967,2.24019323419967
1970,"SPRING",40,0.0155265074026559,0.01589,-2.28755567869138,2.28755567869138
1970,"SPRING",47,0.00710100204569883,0.00727,-2.3245935942389,2.3245935942389
1971,"SPRING",16,0.0107558955642897,0.01101,-2.30794219537034,2.30794219537034
1971,"SPRING",17,0.0064921392476137,0.00665,-2.37384590054584,2.37384590054584
1971,"SPRING",18,0.0122648792813026,0.01255,-2.27187823663235,2.27187823663235
1971,"SPRING",19,0.0165286355979787,0.01692,-2.31302838074077,2.31302838074077
1971,"SPRING",20,0.0144932622122403,0.01483,-2.27065264841323,2.27065264841323
1971,"SPRING",21,0.0178621560920831,0.01828,-2.28579818335284,2.28579818335284
1971,"SPRING",22,0.0367244525547445,0.03759,-2.30260028000924,2.30260028000924
1971,"SPRING",23,0.0317412970241437,0.03249,-2.30441051356188,2.30441051356188
1971,"SPRING",24,0.0129842784952274,0.01329,-2.30038754531676,2.30038754531676
1971,"SPRING",25,0.0154319904548007,0.0158,-2.3291743367046,2.3291743367046
1971,"SPRING",26,0.00426375631667602,0.00436,-2.20742392944898,2.20742392944898
1971,"SPRING",27,0.0064921392476137,0.00665,-2.37384590054584,2.37384590054584
1971,"SPRING",28,0.0122648792813026,0.01255,-2.27187823663235,2.27187823663235
1971,"SPRING",29,0.00301796743402583,0.00309,-2.33115100240038,2.33115100240038
1971,"SPRING",34,0.0324606962380685,0.03323,-2.3150880587767,2.3150880587767
1971,"SPRING",37,0.00426375631667602,0.00436,-2.20742392944898,2.20742392944898
1971,"SPRING",38,0.0129842784952274,0.01329,-2.30038754531676,2.30038754531676
1971,"SPRING",39,0.00426375631667602,0.00436,-2.20742392944898,2.20742392944898
1971,"SPRING",43,0.00426375631667602,0.00436,-2.20742392944898,2.20742392944898
1972,"SPRING",5,0.0498053886558591,0.05107,-2.47623133765591,2.47623133765591
1972,"SPRING",6,0.116212573530338,0.11917,-2.48168706021821,2.48168706021821
1972,"SPRING",7,0.0830089810930985,0.08512,-2.48005040754401,2.48005040754401
1972,"SPRING",8,0.0166017962186197,0.01702,-2.45713150047173,2.45713150047173
1972,"SPRING",9,0.0166017962186197,0.01702,-2.45713150047173,2.45713150047173
1972,"SPRING",15,0.0214034689944451,0.02195,-2.48989068589943,2.48989068589943
1972,"SPRING",18,0.0354608321052035,0.03636,-2.47295900659105,2.47295900659105
1972,"SPRING",19,0.0619506480746703,0.06353,-2.48599390103842,2.48599390103842
1972,"SPRING",20,0.118739371953293,0.12176,-2.4808049003833,2.4808049003833
1972,"SPRING",21,0.0812379548803991,0.0833,-2.47544432124963,2.47544432124963
1972,"SPRING",22,0.0443638287420172,0.04549,-2.47564576386644,2.47564576386644
1972,"SPRING",23,0.0586252503495446,0.06012,-2.48627686369819,2.48627686369819
1972,"SPRING",24,0.020481426897933,0.021,-2.46939572412873,2.46939572412873
1972,"SPRING",25,0.0451347163964781,0.04628,-2.47468367225993,2.47468367225993
1972,"SPRING",26,0.0172316063938329,0.01767,-2.48100512828014,2.48100512828014
1972,"SPRING",27,0.0260080111854287,0.02667,-2.48214778616904,2.48214778616904
1972,"SPRING",28,0.0313739938782451,0.03217,-2.47437401851072,2.47437401851072
1972,"SPRING",29,0.0310433435362582,0.03183,-2.4714309259875,2.4714309259875
1972,"SPRING",30,0.0139817858897328,0.01434,-2.4980063477487,2.4980063477487
1972,"SPRING",31,0.0172316063938329,0.01767,-2.48100512828014,2.48100512828014
1972,"SPRING",32,0.0102407134489665,0.0105,-2.46939572412873,2.46939572412873
1972,"SPRING",33,0.0644730378263991,0.06611,-2.47611885282236,2.47611885282236
1972,"SPRING",36,0.0139817858897328,0.01434,-2.4980063477487,2.4980063477487
1972,"SPRING",38,0.00699089294486642,0.00717,-2.4980063477487,2.4980063477487
1972,"SPRING",42,0.0193477685825492,0.01984,-2.48100512828013,2.48100512828013
1972,"SPRING",44,0.00699089294486642,0.00717,-2.4980063477487,2.4980063477487
1972,"SPRING",49,0.0193477685825492,0.01984,-2.48100512828013,2.48100512828013
1972,"SPRING",53,0.00699089294486642,0.00717,-2.4980063477487,2.4980063477487
1973,"SPRING",16,0.0106438064553248,0.0131,-18.7495690433223,18.7495690433223
1973,"SPRING",17,0.026609516138312,0.03275,-18.7495690433223,18.7495690433223
1973,"SPRING",18,0.0319314193659743,0.0393,-18.7495690433223,18.7495690433223
1973,"SPRING",19,0.0159369426385133,0.01767,-9.80790810122626,9.80790810122626
1973,"SPRING",20,0.0587734691137832,0.06868,-14.4241859147012,14.4241859147012
1973,"SPRING",21,0.0882254680342547,0.10143,-13.0183692849702,13.0183692849702
1973,"SPRING",22,0.108945591929885,0.12473,-12.6548609557563,12.6548609557563
1973,"SPRING",23,0.0573215324524225,0.06056,-5.34753558054406,5.34753558054406
1973,"SPRING",24,0.0373396237270583,0.0364,2.58138386554473,2.58138386554473
1973,"SPRING",25,0.0505662104797092,0.05731,-11.7672125637598,11.7672125637598
1973,"SPRING",26,0.0344629192796732,0.03779,-8.80412998234133,8.80412998234133
1973,"SPRING",27,0.0473379088220882,0.04979,-4.92486679636835,4.92486679636835
1973,"SPRING",28,0.0739830849778494,0.07695,-3.85564005477665,3.85564005477665
1973,"SPRING",29,0.0230567861457914,0.01264,82.4112827989824,82.4112827989824
1973,"SPRING",30,0.0564601192873444,0.05925,-4.70865943064232,4.70865943064232
1973,"SPRING",31,0.00749221691630069,0.00152,392.909007651361,392.909007651361
1973,"SPRING",32,0.00584783984510823,0.00703,-16.8159339244918,16.8159339244918
1973,"SPRING",33,0.0314567631321558,0.03263,-3.59557728422983,3.59557728422983
1973,"SPRING",34,0.00279040331396352,0.00152,83.5791653923371,83.5791653923371
1973,"SPRING",35,0.00530272519801316,0.00304,74.4317499346433,74.4317499346433
1973,"SPRING",36,0.0189774594224856,0.02012,-5.6786311009662,5.6786311009662
1973,"SPRING",37,0.0388067429952247,0.04666,-16.8308122691284,16.8308122691284
1973,"SPRING",38,0.00247396582475116,0.00304,-18.6195452384485,18.6195452384485
1973,"SPRING",39,0.0265136259900658,0.03263,-18.7446338030469,18.7446338030469
1973,"SPRING",40,0.00247396582475116,0.00304,-18.6195452384485,18.6195452384485
1973,"SPRING",42,0.00408492031528681,0.00457,-10.6144351140742,10.6144351140742
1973,"SPRING",47,0.00123698291237558,0.00152,-18.6195452384485,18.6195452384485
1973,"SPRING",52,0.0173705003547935,0.02138,-18.7535062918917,18.7535062918917
1973,"SPRING",54,0.00123698291237558,0.00152,-18.6195452384485,18.6195452384485
1974,"SPRING",17,0.0314788752620846,0.03342,-5.8082727047139,5.8082727047139
1974,"SPRING",21,0.0297699399718528,0.03342,-10.9217834474781,10.9217834474781
1974,"SPRING",22,0.0256340293534768,0.0316,-18.8796539446938,18.8796539446938
1974,"SPRING",23,0.0366176484667452,0.04514,-18.8798217395986,18.8798217395986
1974,"SPRING",24,0.0647065769276184,0.07881,-17.8954740164721,17.8954740164721
1974,"SPRING",25,0.180718710208615,0.21936,-17.6154676291874,17.6154676291874
1974,"SPRING",26,0.156719418674785,0.1928,-18.7139944632856,18.7139944632856
1974,"SPRING",27,0.176001187159529,0.2144,-17.909894048727,17.909894048727
1974,"SPRING",28,0.17736306976477,0.21123,-16.0332008877668,16.0332008877668
1974,"SPRING",29,0.109218676700079,0.12822,-14.8193131336145,14.8193131336145
1974,"SPRING",30,0.162983121272175,0.19615,-16.9089363894084,16.9089363894084
1974,"SPRING",31,0.158504944902394,0.19539,-18.877657555456,18.877657555456
1974,"SPRING",32,0.162241146566333,0.19594,-17.1985574327179,17.1985574327179
1974,"SPRING",33,0.0781112674842749,0.09629,-18.879148941453,18.879148941453
1974,"SPRING",34,0.0544274348737686,0.06344,-14.2064393540848,14.2064393540848
1974,"SPRING",35,0.0523594795645805,0.06344,-17.4661419221618,17.4661419221618
1974,"SPRING",36,0.0870580463566649,0.101,-13.8039144983516,13.8039144983516
1974,"SPRING",37,0.105670761090527,0.12527,-15.6455966388383,15.6455966388383
1974,"SPRING",38,0.00735272998822414,0.00906,-18.8440398650757,18.8440398650757
1974,"SPRING",39,0.0324266881121291,0.03997,-18.8724340452111,18.8724340452111
1974,"SPRING",40,0.0130396070884913,0.01561,-16.4663223030669,16.4663223030669
