"YEAR","SEASON","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1968,"SPRING",3.31468653165597,0.291,1039.06753665154,1039.06753665154
1969,"SPRING",14.6100902243334,1.2812,1040.34422606411,1040.34422606411
1970,"SPRING",1.42392072914716,0.1249,1040.0486222155,1040.0486222155
1971,"SPRING",3.02874983997754,0.2657,1039.9133759795,1039.9133759795
1972,"SPRING",12.3092453203744,1.0817,1037.95371363357,1037.95371363357
1973,"SPRING",10.4590981879813,0.9686,979.816042533685,979.816042533685
1974,"SPRING",29.4732377395615,2.3987,1128.71712759251,1128.71712759251
1975,"SPRING",22.990490568286,2.1489,969.872519348785,969.872519348785
1976,"SPRING",33.7634239661522,3.1607,968.22615136369,968.22615136369
1977,"SPRING",81.9686955223952,8.2128,898.060290307754,898.060290307754
1978,"SPRING",43.6324399935432,4.5926,850.059661053503,850.059661053503
1979,"SPRING",50.0796530341341,5.2582,852.410578413413,852.410578413413
1980,"SPRING",28.3301375967564,2.9963,845.504041543118,845.504041543118
1981,"SPRING",10.3208950325333,1.0757,859.458495169037,859.458495169037
1982,"SPRING",2.81231580038238,0.2916,864.443004246358,864.443004246358
1983,"SPRING",6.95211876146605,0.7372,843.043782076242,843.043782076242
1984,"SPRING",2.73918653302093,0.2864,856.419878848091,856.419878848091
1985,"SPRING",5.19223501311231,0.5361,868.519868142568,868.519868142568
1986,"SPRING",20.4890069579459,2.1747,842.153260585179,842.153260585179
1987,"SPRING",10.550229043034,1.0944,864.019466651501,864.019466651501
1988,"SPRING",23.8075715546157,2.4685,864.454995123179,864.454995123179
1989,"SPRING",9.16638092591916,0.7877,1063.68933933213,1063.68933933213
1990,"SPRING",9.76966968860667,1.0013,875.698560731716,875.698560731716
1991,"SPRING",11.2056909491652,1.1456,878.150397098913,878.150397098913
1992,"SPRING",18.5716877198372,1.9402,857.204809805029,857.204809805029
1993,"SPRING",16.3229709390392,1.7335,841.619321548264,841.619321548264
1994,"SPRING",3.07223210088679,0.3264,841.247579928551,841.247579928551
1995,"SPRING",6.98471179567328,0.7406,843.115284319914,843.115284319914
1996,"SPRING",3.86437671387957,0.4063,851.11413090809,851.11413090809
1997,"SPRING",19.2325674060852,2.0367,844.300456919782,844.300456919782
1998,"SPRING",4.71058539381986,0.5,842.117078763971,842.117078763971
1999,"SPRING",16.4410015243007,1.733,848.701761356069,848.701761356069
2000,"SPRING",30.8579564472204,3.1081,892.823797407432,892.823797407432
2001,"SPRING",22.2458440843428,2.3515,846.027815621635,846.027815621635
2002,"SPRING",34.516362784903,3.1195,1006.47099807351,1006.47099807351
2003,"SPRING",89.2351035604544,9.5054,838.783255417493,838.783255417493
2004,"SPRING",22.4299955400503,2.3613,849.900289673076,849.900289673076
2005,"SPRING",23.8097061976628,2.4397,875.927622152837,875.927622152837
2006,"SPRING",5.18477821701107,0.5436,853.785543968188,853.785543968188
2007,"SPRING",9.50050162167606,1.0004,849.670294049986,849.670294049986
2008,"SPRING",6.22633804236753,0.6142,913.73136476189,913.73136476189
2009,"SPRING",2.14102788001143,0.7559,183.242211934308,183.242211934308
2010,"SPRING",3.33096745230079,1.522,118.854628929092,118.854628929092
2011,"SPRING",1.49761098161098,0.625,139.617757057757,139.617757057757
2012,"SPRING",3.943892995893,1.5202,159.432508610248,159.432508610248
2013,"SPRING",10.0297370284037,4.293,133.630026284735,133.630026284735
2014,"SPRING",7.56228229739144,3.9341,92.2239469609679,92.2239469609679
2015,"SPRING",2.74007903207903,1.2712,115.550584650648,115.550584650648
2016,"SPRING",4.75719672919673,1.8158,161.989025729526,161.989025729526
2017,"SPRING",5.93801554001554,2.4203,145.342128662378,145.342128662378
2018,"SPRING",6.3610821030821,3.0354,109.563224058842,109.563224058842
2019,"SPRING",5.44357844624511,2.9081,87.186769583065,87.186769583065
2020,"SPRING",10.7550147155041,5.0578,112.642151044013,112.642151044013
