"YEAR","SEASON","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1968,"SPRING",1.30303820089367,0.1675,677.933254264875,677.933254264875
1969,"SPRING",1.9781278166291,0.2533,680.942683232967,680.942683232967
1970,"SPRING",0.550779254465287,0.0705,681.247169454307,681.247169454307
1971,"SPRING",0.504684034092504,0.0691,630.367632550657,630.367632550657
1972,"SPRING",2.03055185975721,0.2617,675.908238348188,675.908238348188
1973,"SPRING",2.27489627395863,0.3051,645.623164194896,645.623164194896
1974,"SPRING",6.71001737038935,1.0017,569.862969989952,569.862969989952
1975,"SPRING",6.21718783814088,0.8535,628.434427433026,628.434427433026
1976,"SPRING",7.04511843472231,1.0826,550.75913862205,550.75913862205
1977,"SPRING",9.59752927386088,1.4662,554.585273077403,554.585273077403
1978,"SPRING",6.01982860239104,0.9255,550.44069177645,550.44069177645
1979,"SPRING",9.1729517499021,1.4221,545.028602060481,545.028602060481
1980,"SPRING",2.69525973865911,0.4167,546.810592430792,546.810592430792
1981,"SPRING",2.30768852715238,0.358,544.605733841447,544.605733841447
1982,"SPRING",0.3639774992011,0.0551,560.576223595463,560.576223595463
1983,"SPRING",1.01742691440874,0.1575,545.985342481742,545.985342481742
1984,"SPRING",0.77476233798096,0.1191,550.514137683426,550.514137683426
1985,"SPRING",1.11729034566419,0.1705,555.302255521522,555.302255521522
1986,"SPRING",3.45570755913025,0.5357,545.082613240667,545.082613240667
1987,"SPRING",1.31699724732381,0.1996,559.818260182272,559.818260182272
1988,"SPRING",3.34287286614435,0.5062,560.385789439816,560.385789439816
1989,"SPRING",1.16313123979254,0.1774,555.654588383622,555.654588383622
1990,"SPRING",1.09751766077829,0.1667,558.37892068284,558.37892068284
1991,"SPRING",0.54713417185505,0.085,543.687261005941,543.687261005941
1992,"SPRING",2.39231796780033,0.3688,548.676238557573,548.676238557573
1993,"SPRING",1.50044972197482,0.2329,544.246338331826,544.246338331826
1994,"SPRING",0.607643858883738,0.0943,544.373127130157,544.373127130157
1995,"SPRING",1.11779713953823,0.1746,540.204547272754,540.204547272754
1996,"SPRING",0.890721103471852,0.1379,545.918131596702,545.918131596702
1997,"SPRING",2.49612829019263,0.387,544.994390230653,544.994390230653
1998,"SPRING",0.776587254320606,0.1213,540.220325078818,540.220325078818
1999,"SPRING",2.91727848090923,0.4512,546.559947010025,546.559947010025
2000,"SPRING",1.12159028796092,0.1749,541.275178937061,541.275178937061
2001,"SPRING",3.06464771015848,0.4733,547.506382877346,547.506382877346
2002,"SPRING",7.69910710037701,1.1805,552.190351577891,552.190351577891
2003,"SPRING",15.497296881343,2.4103,542.961327691285,542.961327691285
2004,"SPRING",5.89660561425433,0.9064,550.552252234591,550.552252234591
2005,"SPRING",6.02151445994622,0.9009,568.388773442804,568.388773442804
2006,"SPRING",2.02847117262655,0.3122,549.734520380061,549.734520380061
2007,"SPRING",1.60759308790822,0.2472,550.320828441836,550.320828441836
2008,"SPRING",0.825420085425173,0.1275,547.388302294253,547.388302294253
2009,"SPRING",0.310905964366112,0.1345,131.156850829823,131.156850829823
2010,"SPRING",0.822649700941034,0.3847,113.841877031722,113.841877031722
2011,"SPRING",0.295617133385133,0.1409,109.806340230755,109.806340230755
2012,"SPRING",0.715368006808007,0.3128,128.698211895143,128.698211895143
2013,"SPRING",2.14048669155536,0.9787,118.707131046833,118.707131046833
2014,"SPRING",2.57504258908068,1.3003,98.0344988910776,98.0344988910776
2015,"SPRING",0.89331848951049,0.4262,109.600771823203,109.600771823203
2016,"SPRING",2.59171664614398,0.9536,171.782366416105,171.782366416105
2017,"SPRING",1.60883842638843,0.6932,132.088636236068,132.088636236068
2018,"SPRING",1.15397161460761,0.5989,92.6818524975146,92.6818524975146
2019,"SPRING",1.41244723461723,0.7805,80.9669743263594,80.9669743263594
2020,"SPRING",2.50160499379244,1.2505,100.048380151335,100.048380151335
