"YEAR","SEASON","LENGTH","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1985,"FALL",7,0.0260990611848495,0.0225,15.9958274882199,15.9958274882199
1985,"FALL",8,0.0546390417610877,0.0471,16.0064580914814,16.0064580914814
1985,"FALL",9,0.0202784072515377,0.01748,16.0091948028474,16.0091948028474
1985,"FALL",10,0.0484428617675623,0.04176,16.0030214740477,16.0030214740477
1985,"FALL",11,0.131621884104888,0.11347,15.9970777341044,15.9970777341044
1985,"FALL",12,0.445937196503723,0.38443,15.9995828899209,15.9995828899209
1985,"FALL",13,0.198653285853027,0.17125,16.001918746293,16.001918746293
1985,"FALL",14,0.35515377144707,0.30617,15.9988801799883,15.9988801799883
1985,"FALL",15,1.22214956296536,1.05358,15.9996927585339,15.9996927585339
1985,"FALL",16,2.40036257688572,2.06928,15.9998925658066,15.9998925658066
1985,"FALL",17,3.39916801553901,2.93032,15.9998913271932,15.9998913271932
1985,"FALL",18,1.63710585950146,1.4113,15.9998483314289,15.9998483314289
1985,"FALL",19,1.70704758821625,1.47159,16.0002166511224,16.0002166511224
1985,"FALL",20,2.0025865976044,1.72637,15.9998492562083,15.9998492562083
1985,"FALL",21,1.05992230495306,0.91373,15.9995080552307,15.9995080552307
1985,"FALL",22,1.20543865328585,1.03917,16.0001398506359,16.0001398506359
1985,"FALL",23,0.641961799935254,0.55342,15.9990242375147,15.9990242375147
1985,"FALL",24,0.388575590806086,0.33498,15.9996390250421,15.9996390250421
1985,"FALL",25,0.256484299125931,0.22111,15.9985071348789,15.9985071348789
1985,"FALL",26,0.134438329556491,0.1159,15.9951074689308,15.9951074689308
1985,"FALL",27,0.172272580123017,0.14851,16.0006599710573,16.0006599710573
1985,"FALL",28,0.204849465846552,0.17659,16.0028687052224,16.0028687052224
1985,"FALL",29,0.199873745548721,0.1723,16.0033346191069,16.0033346191069
1985,"FALL",30,0.189359015862739,0.16324,16.000377274405,16.000377274405
1985,"FALL",31,0.163072191647782,0.14058,15.9995672555004,15.9995672555004
1985,"FALL",32,0.330275169957915,0.28472,15.9999894485513,15.9999894485513
1985,"FALL",33,0.521511816121722,0.44958,15.9997811561285,15.9997811561285
1985,"FALL",34,0.287934606668825,0.24822,15.999760965605,15.999760965605
1985,"FALL",35,0.191893816769181,0.16543,15.9969877103192,15.9969877103192
1985,"FALL",36,0.141385561670443,0.12188,16.0039068513649,16.0039068513649
1985,"FALL",37,0.0917222402071868,0.07907,16.0013155522787,16.0013155522787
1985,"FALL",38,0.0920977662674005,0.07939,16.006759374481,16.006759374481
1985,"FALL",39,0.0512593072191648,0.04419,15.9975270856863,15.9975270856863
1985,"FALL",40,0.0636516672062156,0.05487,16.0044964574733,16.0044964574733
1985,"FALL",41,0.00582065393331175,0.00502,15.9492815400747,15.9492815400747
1985,"FALL",43,0.0256296536095824,0.02209,16.0237827504861,16.0237827504861
1985,"FALL",45,0.0024409193913888,0.0021,16.2342567328,16.2342567328
1985,"FALL",47,0.0024409193913888,0.0021,16.2342567328,16.2342567328
1985,"FALL",48,0.0161476205891874,0.01392,16.0030214740477,16.0030214740477
1985,"FALL",49,0.0223438005827129,0.01926,16.0114256630989,16.0114256630989
1985,"FALL",50,0.0745419229524118,0.06426,16.0005025714469,16.0005025714469
1985,"FALL",51,0.0422466817740369,0.03642,15.9985770841211,15.9985770841211
1985,"FALL",52,0.0769828423438006,0.06636,16.007899855034,16.007899855034
1985,"FALL",53,0.0401812884428618,0.03464,15.9967911168065,15.9967911168065
1985,"FALL",54,0.0480673357073487,0.04144,15.9926054714012,15.9926054714012
1985,"FALL",55,0.0140822272580123,0.01214,15.9985770841211,15.9985770841211
1985,"FALL",56,0.0319197151181612,0.02752,15.987336911923,15.987336911923
1985,"FALL",57,0.0140822272580123,0.01214,15.9985770841211,15.9985770841211
1985,"FALL",60,0.0116413078666235,0.01004,15.9492815400747,15.9492815400747
1985,"FALL",61,0.0140822272580123,0.01214,15.9985770841211,15.9985770841211
1985,"FALL",62,0.0024409193913888,0.0021,16.2342567328,16.2342567328
1985,"FALL",64,0.00582065393331175,0.00502,15.9492815400747,15.9492815400747
1985,"FALL",65,0.0256296536095824,0.02209,16.0237827504861,16.0237827504861
1985,"FALL",66,0.00582065393331175,0.00502,15.9492815400747,15.9492815400747
1985,"FALL",72,0.00582065393331175,0.00502,15.9492815400747,15.9492815400747
1985,"FALL",74,0.0256296536095824,0.02209,16.0237827504861,16.0237827504861
1985,"FALL",78,0.0223438005827129,0.01926,16.0114256630989,16.0114256630989
1986,"FALL",5,0.0308100929614874,0.02656,16.0018560296965,16.0018560296965
1986,"FALL",6,0.0924302788844621,0.07968,16.0018560296965,16.0018560296965
1986,"FALL",7,0.0385126162018592,0.0332,16.0018560296965,16.0018560296965
1986,"FALL",8,0.0816467463479416,0.07039,15.9919681033408,15.9919681033408
1986,"FALL",9,0.196029216467463,0.16899,16.0004831454308,16.0004831454308
1986,"FALL",10,0.117848605577689,0.10159,16.0041397555756,16.0041397555756
1986,"FALL",11,0.429030544488712,0.36985,16.0012287383295,16.0012287383295
1986,"FALL",12,1.81028552456839,1.56059,16.0000720604639,16.0000720604639
1986,"FALL",13,4.00444555112882,3.45211,15.9999406487284,15.9999406487284
1986,"FALL",14,3.17767596281541,2.73938,15.9998234204603,15.9998234204603
1986,"FALL",15,3.81024568393094,3.28469,16.0001608654376,16.0001608654376
1986,"FALL",16,15.5751759628154,13.42688,15.9999639738748,15.9999639738748
1986,"FALL",17,7.19579349269588,6.20327,16.0000047184128,16.0000047184128
1986,"FALL",18,1.73258632138114,1.49361,15.9999143940615,15.9999143940615
