"YEAR","SEASON","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1985,"FALL",1.52613794492554,3.451,-55.7769358178632,55.7769358178632
1986,"FALL",1.7305026251245,3.9132,-55.7778129120796,55.7778129120796
1987,"FALL",1.19538313129003,2.7031,-55.7773248755123,55.7773248755123
1988,"FALL",0.876623736886246,1.9823,-55.7774435309365,55.7774435309365
1989,"FALL",4.03833829658525,9.1319,-55.7776771911075,55.7776771911075
1990,"FALL",1.11148045255956,2.5134,-55.7778128208974,55.7778128208974
1991,"FALL",0.91226749531301,2.0629,-55.7774252114494,55.7774252114494
1992,"FALL",0.602857153550393,1.3632,-55.7763238299301,55.7763238299301
1993,"FALL",0.325382147456798,0.7358,-55.7784523706444,55.7784523706444
1994,"FALL",0.739848926531672,1.673,-55.7771113848373,55.7771113848373
1995,"FALL",0.908215808811542,2.0537,-55.7766076441767,55.7766076441767
1996,"FALL",1.00113679497332,2.2639,-55.7782236417985,55.7782236417985
1997,"FALL",0.604686998554913,1.3674,-55.778338558219,55.778338558219
1998,"FALL",0.593534396474149,1.3422,-55.7789899810647,55.7789899810647
1999,"FALL",1.22854369181214,2.7781,-55.7775568981629,55.7775568981629
2000,"FALL",0.463453277777778,1.048,-55.77735899067,55.77735899067
2001,"FALL",0.741897054023884,1.6776,-55.7762843333403,55.7762843333403
2002,"FALL",0.762400441416776,1.724,-55.7772365767531,55.7772365767531
2003,"FALL",1.33024406253645,3.0081,-55.7779308355292,55.7779308355292
2004,"FALL",1.17539758317409,2.6579,-55.7772082029387,55.7772082029387
2005,"FALL",1.48411497872126,3.356,-55.7772652347657,55.7772652347657
2006,"FALL",1.45624843897538,3.293,-55.7774540244341,55.7774540244341
2007,"FALL",0.842736661868275,1.9057,-55.7781045354319,55.7781045354319
2008,"FALL",1.02364226528978,2.3148,-55.7783711210567,55.7783711210567
