"YEAR","SEASON","LENGTH","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1989,"FALL",68,0.000777810390372762,0.00077,1.01433641204702,1.01433641204702
1989,"FALL",70,0.000606594266705802,6e-04,1.09904445096697,1.09904445096697
1997,"FALL",46,0.0127694618030325,0.01915,-33.3187373209791,33.3187373209791
1997,"FALL",50,0.0127694618030325,0.01915,-33.3187373209791,33.3187373209791
2009,"FALL",13,0.014764367631469,0.00221,568.070933550635,568.070933550635
2009,"FALL",14,0.0098429117543127,0.00147,569.585833626714,569.585833626714
2009,"FALL",23,0.0014134729673295,0.00021,573.082365395,573.082365395
2009,"FALL",27,0.010108473342114,0.00151,569.435320669801,569.435320669801
2009,"FALL",29,0.0226776746228062,0.00339,568.957953475108,568.957953475108
2009,"FALL",30,0.040433893368456,0.00604,569.435320669801,569.435320669801
2009,"FALL",31,0.0327861479649202,0.0049,569.105060508575,569.105060508575
2009,"FALL",32,0.0149678220737362,0.00224,568.206342577508,568.206342577508
2009,"FALL",33,0.0109308576140148,0.00163,570.604761596,570.604761596
2009,"FALL",34,0.010108473342114,0.00151,569.435320669801,569.435320669801
2009,"FALL",35,0.00198100377996937,3e-04,560.334593323125,560.334593323125
2009,"FALL",36,0.0125692012806922,0.00188,568.57453620703,568.57453620703
2009,"FALL",39,0.0166168738689539,0.00248,570.035236651368,570.035236651368
2009,"FALL",40,0.002398620793044,0.00036,566.283553623333,566.283553623333
2009,"FALL",41,0.0125499266493195,0.00188,567.54928985742,567.54928985742
2009,"FALL",42,0.01284975424845,0.00192,569.258033773437,569.258033773437
2009,"FALL",43,0.0210754708899526,0.00315,569.062567935002,569.062567935002
2009,"FALL",44,0.0287232162934884,0.00429,569.538841340056,569.538841340056
2009,"FALL",45,0.0658756036707465,0.00985,568.787854525345,568.787854525345
2009,"FALL",46,0.0646829858545622,0.00967,568.903679985131,568.903679985131
2009,"FALL",47,0.0447104522042683,0.00668,569.318146770483,569.318146770483
2009,"FALL",48,0.0375333290500819,0.00561,569.043298575435,569.043298575435
2009,"FALL",49,0.0472011629027595,0.00706,568.571712503675,568.571712503675
2009,"FALL",50,0.0537909452065063,0.00804,569.041607046098,569.041607046098
2009,"FALL",51,0.0519657446967993,0.00777,568.799803047611,568.799803047611
2009,"FALL",52,0.071046826646107,0.01062,568.990834709106,568.990834709106
2009,"FALL",53,0.0672609678006575,0.01006,568.598089469756,568.598089469756
2009,"FALL",54,0.111311531583625,0.01664,568.939492690055,568.939492690055
2009,"FALL",55,0.0770460556608522,0.01152,568.802566500453,568.802566500453
2009,"FALL",56,0.125285639328815,0.01873,568.90357356548,568.90357356548
2009,"FALL",57,0.115934766080932,0.01733,568.983070288125,568.983070288125
2009,"FALL",58,0.104436109951064,0.01561,569.033375727507,569.033375727507
2009,"FALL",59,0.128587223061026,0.01922,569.028215718135,569.028215718135
2009,"FALL",60,0.179915031000032,0.0269,568.829111524283,568.829111524283
2009,"FALL",61,0.130384047030101,0.01949,568.97920487481,568.97920487481
2009,"FALL",62,0.0996940152269588,0.0149,569.087350516502,569.087350516502
2009,"FALL",63,0.132747330998961,0.01984,569.089369954442,569.089369954442
2009,"FALL",64,0.0980628995470461,0.01466,568.91473088026,568.91473088026
2009,"FALL",65,0.13797718097808,0.02063,568.818133679498,568.818133679498
2009,"FALL",66,0.0915464679238009,0.01369,568.710503460927,568.710503460927
2009,"FALL",67,0.0606776103740349,0.00907,568.992396626625,568.992396626625
2009,"FALL",68,0.0705638900489362,0.01055,568.852038378542,568.852038378542
2009,"FALL",69,0.0713964470429503,0.01067,569.132587094192,569.132587094192
2009,"FALL",70,0.0362403225288316,0.00542,568.640637063314,568.640637063314
2009,"FALL",71,0.031967779241222,0.00478,568.781992494184,568.781992494184
2009,"FALL",73,0.0136903423388694,0.00205,567.821577505826,567.821577505826
2009,"FALL",74,0.00705665670810712,0.00105,572.06254362925,572.06254362925
2010,"FALL",26,0.00705665670810712,0.00105,572.06254362925,572.06254362925
2010,"FALL",27,0.0095173846466853,0.00142,570.238355400373,570.238355400373
2010,"FALL",28,0.0006424877124225,1e-04,542.4877124225,542.4877124225
2010,"FALL",34,0.00198100377996937,3e-04,560.334593323125,560.334593323125
2010,"FALL",35,0.0090376604880765,0.00135,569.456332450111,569.456332450111
2010,"FALL",36,0.00396200755993875,0.00059,571.526705074364,571.526705074364
2010,"FALL",37,0.0056110593551565,0.00084,567.98325656625,567.98325656625
2010,"FALL",38,0.0146165954576119,0.00219,567.424450119264,567.424450119264
2010,"FALL",39,0.0189640956450041,0.00283,570.109386749262,570.109386749262
2010,"FALL",40,0.0244466574576761,0.00365,569.771437196606,569.771437196606
2010,"FALL",41,0.0126677160632636,0.00189,570.249527156805,570.249527156805
2010,"FALL",42,0.0162013984815874,0.00242,569.479276098652,569.479276098652
2010,"FALL",43,0.0307109126537955,0.00459,569.083064352843,569.083064352843
2010,"FALL",44,0.0340411406298521,0.00509,568.784688209275,568.784688209275
2010,"FALL",45,0.025185518326962,0.00377,568.050884004297,568.050884004297
2010,"FALL",46,0.0306787882681744,0.00459,568.383186670466,568.383186670466
2010,"FALL",47,0.0367203143906539,0.00549,568.858185622112,568.858185622112
2010,"FALL",48,0.0165654748519601,0.00248,567.962695643553,567.962695643553
2010,"FALL",49,0.0326959319819675,0.00489,568.628465888906,568.628465888906
2010,"FALL",50,0.0396693329906732,0.00593,568.960084159751,568.960084159751
2010,"FALL",51,0.0478225020613147,0.00715,568.84618267573,568.84618267573
2010,"FALL",52,0.0749761744139977,0.01121,568.832956413895,568.832956413895
2010,"FALL",53,0.127521879001207,0.01906,569.054979019974,569.054979019974
2010,"FALL",54,0.109113688200713,0.01631,568.99870141455,568.99870141455
2010,"FALL",55,0.0519772559349802,0.00777,568.947952831149,568.947952831149
2010,"FALL",56,0.0800732435992162,0.01197,568.949403502224,568.949403502224
2010,"FALL",57,0.0586334286356773,0.00877,568.568171444439,568.568171444439
2010,"FALL",58,0.0713064987632111,0.01066,568.916498716802,568.916498716802
2010,"FALL",59,0.114532001242143,0.01712,568.995334358311,568.995334358311
2010,"FALL",60,0.0759741719939606,0.01136,568.786725298949,568.786725298949
2010,"FALL",61,0.118247721845653,0.01768,568.821956140571,568.821956140571
2010,"FALL",62,0.0816816045059805,0.01221,568.97300987699,568.97300987699
2010,"FALL",63,0.10904500320479,0.0163,568.987749722637,568.987749722637
2010,"FALL",64,0.112791509677854,0.01686,568.988788124873,568.988788124873
2010,"FALL",65,0.0746312197017327,0.01116,568.738527793304,568.738527793304
2010,"FALL",66,0.0712765160032981,0.01066,568.635234552515,568.635234552515
2010,"FALL",67,0.116602685598638,0.01743,568.976968437395,568.976968437395
2010,"FALL",68,0.0429246040669472,0.00642,568.607539983601,568.607539983601
2010,"FALL",69,0.0247143606711855,0.00369,569.765871847845,569.765871847845
2010,"FALL",70,0.0262938096308908,0.00393,569.053680175339,569.053680175339
2010,"FALL",71,0.005396896784349,0.00081,566.283553623333,566.283553623333
2010,"FALL",72,0.00199171190850975,3e-04,563.90396950325,563.90396950325
2010,"FALL",73,0.0127466885112489,0.00191,567.365890641303,567.365890641303
2010,"FALL",74,0.00452953837257862,0.00068,566.108584202739,566.108584202739
2010,"FALL",76,0.00113506162527975,0.00017,567.683308988088,567.683308988088
2010,"FALL",80,0.00113506162527975,0.00017,567.683308988088,567.683308988088
2010,"FALL",87,0.000995855954254875,0.00015,563.90396950325,563.90396950325
2011,"FALL",31,0.0024414533072055,0.00036,578.18147422375,578.18147422375
2011,"FALL",32,0.00846798804972855,0.00127,566.770712577051,566.770712577051
2011,"FALL",35,0.0169359760994571,0.00253,569.406169939016,569.406169939016
2011,"FALL",36,0.0024414533072055,0.00036,578.18147422375,578.18147422375
2011,"FALL",38,0.00498998789981475,0.00075,565.3317199753,565.3317199753
2011,"FALL",39,0.0104489918296979,0.00156,569.80716857038,569.80716857038
2011,"FALL",40,0.0096030496750083,0.00144,566.878449653354,566.878449653354
2011,"FALL",41,0.0127191150802574,0.0019,569.427109487233,569.427109487233
2011,"FALL",42,0.0136143146262328,0.00204,567.368364031018,567.368364031018
2011,"FALL",43,0.0353411074346536,0.00528,569.339155959349,569.339155959349
2011,"FALL",44,0.0114319980297043,0.00171,568.537896473938,568.537896473938
2011,"FALL",45,0.0135008084637048,0.00202,568.356854638851,568.356854638851
2011,"FALL",46,0.010478974589611,0.00157,567.450610803247,567.450610803247
2011,"FALL",47,0.0176739191291538,0.00264,569.466633680068,569.466633680068
2011,"FALL",48,0.0172905681274084,0.00258,570.177059201875,570.177059201875
2011,"FALL",49,0.0136421557604377,0.00204,568.733125511654,568.733125511654
2011,"FALL",50,0.0650993025948855,0.00973,569.05758062575,569.05758062575
2011,"FALL",51,0.0165495656324144,0.00247,570.02290009775,570.02290009775
2011,"FALL",52,0.0229839270990609,0.00344,568.137415670375,568.137415670375
2011,"FALL",53,0.0852752524441303,0.01275,568.825509365728,568.825509365728
2011,"FALL",54,0.0548641673894653,0.0082,569.07521206665,569.07521206665
2011,"FALL",55,0.0282813912612493,0.00423,568.590809958611,568.590809958611
2011,"FALL",56,0.103516090492865,0.01547,569.14085645032,569.14085645032
2011,"FALL",57,0.0799566779713909,0.01195,569.093539509548,569.093539509548
2011,"FALL",58,0.133472844950888,0.01995,569.036816796431,569.036816796431
2011,"FALL",59,0.100413486734923,0.01501,568.977260059449,568.977260059449
2011,"FALL",60,0.118661514527106,0.01774,568.892415598118,568.892415598118
2011,"FALL",61,0.211411805558742,0.0316,569.024701135261,569.024701135261
2011,"FALL",62,0.189761499382753,0.02837,568.880857887743,568.880857887743
2011,"FALL",63,0.254780185067056,0.03809,568.88995817027,568.88995817027
2011,"FALL",64,0.177199640818774,0.02649,568.930316416663,568.930316416663
2011,"FALL",65,0.165806192051815,0.02479,568.843049825797,568.843049825797
2011,"FALL",66,0.346100940938552,0.05174,568.923349320743,568.923349320743
2011,"FALL",67,0.133257458593962,0.01992,568.963145552016,568.963145552016
2011,"FALL",68,0.0937863789545501,0.01402,568.94706814943,568.94706814943
2011,"FALL",69,0.0532805881516087,0.00797,568.514280446785,568.514280446785
2011,"FALL",70,0.060430558551282,0.00903,569.219917511428,569.219917511428
2011,"FALL",71,0.0651880270885057,0.00975,568.5951496257,568.5951496257
2011,"FALL",72,0.0400386104520513,0.00599,568.424214558452,568.424214558452
2011,"FALL",73,0.0295651428999754,0.00442,568.894635746049,568.894635746049
2011,"FALL",74,0.002312955764721,0.00035,560.844504206,560.844504206
2011,"FALL",76,0.00198100377996937,3e-04,560.334593323125,560.334593323125
2011,"FALL",85,0.0229689357191044,0.00343,569.648271694005,569.648271694005
2012,"FALL",17,0.002398620793044,0.00036,566.283553623333,566.283553623333
2012,"FALL",18,0.0108666088427725,0.00162,570.778323627935,570.778323627935
