"YEAR","SEASON","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1975,"FALL",0.00186670153113106,0.0019,-1.75255099310205,1.75255099310205
1978,"FALL",0.0035587902030855,0.0036,-1.14471658095819,1.14471658095819
1980,"FALL",0.000823296677721534,8e-04,2.91208471519172,2.91208471519172
1984,"FALL",0.000823763990161405,8e-04,2.97049877017567,2.97049877017567
1986,"FALL",0.000273104971091548,3e-04,-8.96500963615058,8.96500963615058
2001,"FALL",0.00165482632222028,0.0017,-2.65727516351277,2.65727516351277
2007,"FALL",0.00135535605334263,0.0014,-3.18885333266925,3.18885333266925
2008,"FALL",0.00235204392922514,0.0024,-1.99816961561927,1.99816961561927
2009,"FALL",0.00316329643510852,0.0038,-16.7553569708285,16.7553569708285
2013,"FALL",0.000361718818094657,4e-04,-9.57029547633577,9.57029547633577
2015,"FALL",0.00457586289549377,0.0045,1.68584212208371,1.68584212208371
