"YEAR","SEASON","AGE","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1968,"FALL",0,0.0742397004266713,0.0974,-23.778541656395,23.778541656395
1968,"FALL",2,0.681479245503601,1.0271,-33.6501562161814,33.6501562161814
1968,"FALL",3,0.083886419560302,0.1429,-41.2971171726368,41.2971171726368
1968,"FALL",4,0.232876824019495,0.3266,-28.6966246112998,28.6966246112998
1968,"FALL",5,2.69086464451308,3.8183,-29.5271548984344,29.5271548984344
1968,"FALL",6,0.776673657378734,1.3157,-40.9687879167945,40.9687879167945
1968,"FALL",7,0.140854895743349,0.2609,-46.0119219074938,46.0119219074938
1968,"FALL",8,0.108390367092242,0.1816,-40.3136745086773,40.3136745086773
1968,"FALL",9,0.191001176170871,0.2673,-28.5442663034526,28.5442663034526
1968,"FALL",10,0.030850277583395,0.034,-9.26388946060306,9.26388946060306
1968,"FALL",11,0.0353917435260773,0.0498,-28.9322419155074,28.9322419155074
1968,"FALL",13,0.00929316008031982,0.0118,-21.2444060989846,21.2444060989846
1969,"FALL",3,0.360315116387415,0.5639,-36.1030118128365,36.1030118128365
1969,"FALL",4,0.0817745538179791,0.1294,-36.8048270340192,36.8048270340192
1969,"FALL",5,0.0767323137039739,0.1644,-53.325843245758,53.325843245758
1969,"FALL",6,1.0807740862891,1.6511,-34.5421787723881,34.5421787723881
1969,"FALL",7,0.395220645728322,0.4025,-1.80853522277705,1.80853522277705
1969,"FALL",8,0.0424019383815535,0.0981,-56.776821221658,56.776821221658
1969,"FALL",9,0.0354787396711865,0.0738,-51.9258270038123,51.9258270038123
1969,"FALL",10,0.0456097203329354,0.0723,-36.9160161370188,36.9160161370188
1969,"FALL",12,0.0145069824339669,0.0175,-17.1029575201893,17.1029575201893
1969,"FALL",14,0.0857799395252795,0.1318,-34.916586096146,34.916586096146
1970,"FALL",1,2.7784230668152,4.1749,-33.449350479887,33.449350479887
1970,"FALL",2,0.168966528987364,0.1961,-13.8365481961428,13.8365481961428
1970,"FALL",3,0.0170140986625902,0.0151,12.6761500833789,12.6761500833789
1970,"FALL",4,0.139512506300403,0.2509,-44.3951748503776,44.3951748503776
