"YEAR","SEASON","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
2009,"FALL",41.541370724871,32.1133,29.3587726109464,29.3587726109464
2010,"FALL",177.083413344465,75.4812,134.605985787806,134.605985787806
2011,"FALL",255.119782744853,115.507,120.869542750529,120.869542750529
2012,"FALL",135.874199208541,70.6332,92.3659117929542,92.3659117929542
2013,"FALL",2005.336392144,790.8784,153.558118687272,153.558118687272
2014,"FALL",952.096368480252,409.5392,132.479911197818,132.479911197818
2015,"FALL",630.778515085329,311.2367,102.668424091802,102.668424091802
2016,"FALL",1284.98617751787,557.6782,130.417143348595,130.417143348595
2017,"FALL",260.245974802291,145.4259,78.9543504989767,78.9543504989767
2018,"FALL",135.781590661069,68.4529,98.3576892448222,98.3576892448222
2019,"FALL",43.2122407092664,26.373,63.8503041340249,63.8503041340249
