"YEAR","SEASON","AGE","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1968,"SPRING",2,2.10003843754375,3.1594,-33.5304666220247,33.5304666220247
1968,"SPRING",3,0.33652485951836,0.4815,-30.1090634437467,30.1090634437467
1968,"SPRING",4,0.416318534465094,0.699,-40.4408391323184,40.4408391323184
1968,"SPRING",5,4.47783691440699,6.5804,-31.9519039206281,31.9519039206281
1968,"SPRING",6,1.17009124108026,1.7178,-31.884314758397,31.884314758397
1968,"SPRING",7,0.148307523771643,0.2468,-39.9078104652986,39.9078104652986
1968,"SPRING",8,0.255324372707163,0.3583,-28.7400578545457,28.7400578545457
1968,"SPRING",9,0.181649509523204,0.2705,-32.8467617289451,32.8467617289451
1968,"SPRING",10,0.0672674179816732,0.1251,-46.2290823487824,46.2290823487824
1969,"SPRING",2,0.0560449093602661,0.0892,-37.1693841252622,37.1693841252622
1969,"SPRING",3,0.381704016951083,0.5718,-33.2451876615804,33.2451876615804
1969,"SPRING",4,0.0987152853337893,0.1352,-26.98573569986,26.98573569986
1969,"SPRING",5,0.346871863928199,0.4993,-30.5283669280594,30.5283669280594
1969,"SPRING",6,2.70693203704868,4.1146,-34.2115384958761,34.2115384958761
1969,"SPRING",7,0.651253462548523,0.9907,-34.2633024580072,34.2633024580072
1969,"SPRING",8,0.213617087211121,0.2802,-23.7626383971732,23.7626383971732
1969,"SPRING",9,0.149064373451329,0.196,-23.9467482391178,23.9467482391178
1969,"SPRING",10,0.176377599524188,0.229,-22.9792141815772,22.9792141815772
1969,"SPRING",11,0.0335765988937565,0.0863,-61.0931646654038,61.0931646654038
1969,"SPRING",12,0.0363759459897298,0.0373,-2.4773565958987,2.4773565958987
1969,"SPRING",13,0.00905778148320127,0.0115,-21.2366827547716,21.2366827547716
1970,"SPRING",1,0.481017118847955,0.7178,-32.9873058166683,32.9873058166683
1970,"SPRING",2,0.142279743752549,0.2111,-32.6007845795601,32.6007845795601
1970,"SPRING",4,0.269177506232895,0.3649,-26.2325277520156,26.2325277520156
1970,"SPRING",5,0.284226441014786,0.4677,-39.2288986498212,39.2288986498212
1970,"SPRING",6,0.167583047559061,0.2614,-35.890188385975,35.890188385975
1970,"SPRING",7,1.29399674242775,1.9007,-31.9199904020757,31.9199904020757
1970,"SPRING",8,0.853159700715213,1.3259,-35.6542951417744,35.6542951417744
1970,"SPRING",9,0.272442619683032,0.3826,-28.7917878507497,28.7917878507497
1970,"SPRING",10,0.163459601543542,0.1855,-11.8816164185755,11.8816164185755
1970,"SPRING",11,0.095028996579393,0.1762,-46.0675388312185,46.0675388312185
1971,"SPRING",2,0.835991819247427,1.2837,-34.8763870649352,34.8763870649352
1971,"SPRING",3,0.173324462573294,0.198,-12.4623926397504,12.4623926397504
1971,"SPRING",4,0,0.0073,-100,100
1971,"SPRING",5,0.116424379318179,0.1217,-4.33493893329609,4.33493893329609
1971,"SPRING",6,0.0125941000555631,0.1175,-89.2816169739888,89.2816169739888
1971,"SPRING",7,0.058362607552658,0.1042,-43.989820007046,43.989820007046
1971,"SPRING",8,0.645802326148227,0.7243,-10.8377293734326,10.8377293734326
1971,"SPRING",9,0.0794281250968665,0.2437,-67.4074168662838,67.4074168662838
1971,"SPRING",10,0.0125911855505851,0.0493,-74.4600698771094,74.4600698771094
1971,"SPRING",11,0,0.0335,-100,100
1972,"SPRING",1,2.84971077202386,4.271,-33.2776686484697,33.2776686484697
1972,"SPRING",2,0.093359166809473,0.114,-18.1059940267781,18.1059940267781
1972,"SPRING",3,0.365470226795471,0.6474,-43.5480032753366,43.5480032753366
1972,"SPRING",4,0.114402083735791,0.0863,32.5632488247873,32.5632488247873
1972,"SPRING",5,0.0216725365697656,0.0271,-20.0275403329684,20.0275403329684
1972,"SPRING",6,0.034478477537128,0.1314,-73.7606715851385,73.7606715851385
1972,"SPRING",7,0.0785647031022603,0.0951,-17.3872732888956,17.3872732888956
1972,"SPRING",8,0.0241552114299261,0.0217,11.3143383867564,11.3143383867564
1972,"SPRING",9,0.607518666784979,0.8646,-29.7341352319016,29.7341352319016
1972,"SPRING",10,0.148314004732934,0.2238,-33.729220405302,33.729220405302
1972,"SPRING",11,0.0710682699754651,0.0895,-20.5941117592569,20.5941117592569
1972,"SPRING",12,0.0124288943874296,0.0583,-78.6811417025221,78.6811417025221
1972,"SPRING",13,0.0537083812706058,0.0371,44.7665263358648,44.7665263358648
1973,"SPRING",1,20.7009090751557,30.6977,-32.5652766325956,32.5652766325956
1973,"SPRING",2,3.12875976374565,4.8188,-35.0718070111719,35.0718070111719
1973,"SPRING",4,0.340714027155779,0.5376,-36.6231348296543,36.6231348296543
1973,"SPRING",5,0.0796250721433161,0.0898,-11.3306546288239,11.3306546288239
1973,"SPRING",7,0.108394205014205,0.1869,-42.0041706719076,42.0041706719076
1973,"SPRING",8,0.0110450235379772,0.0125,-11.6398116961823,11.6398116961823
1973,"SPRING",10,0.705579054122408,0.9854,-28.3966862063722,28.3966862063722
1973,"SPRING",11,0.0320274122943825,0.065,-50.7270580086423,50.7270580086423
1973,"SPRING",13,0.0449275134910145,0.0735,-38.8741313047422,38.8741313047422
1973,"SPRING",14,0.0751548026890396,0.1217,-38.2458482423668,38.2458482423668
1974,"SPRING",1,1.44576509207959,2.1492,-32.7300813288858,32.7300813288858
1974,"SPRING",2,9.0361548412264,13.3536,-32.331694515139,32.331694515139
1974,"SPRING",3,1.80368556859689,2.8018,-35.6240428083059,35.6240428083059
1974,"SPRING",5,0.130699567550143,0.2131,-38.667495283837,38.667495283837
