"YEAR","SEASON","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1999,"SPRING",16.6773245263109,17.1611,-2.81902368548108,2.81902368548108
2009,"SPRING",26.92187360229,19.528,37.8629332358152,37.8629332358152
2010,"SPRING",32.4869876305772,25.7629,26.0998863892542,26.0998863892542
2011,"SPRING",161.107427058175,66.1762,143.452218559202,143.452218559202
2012,"SPRING",183.120896240636,84.5205,116.65855767611,116.65855767611
2013,"SPRING",101.977991492812,55.0498,85.2467974321655,85.2467974321655
2014,"SPRING",1648.14613554929,673.658,144.656210651294,144.656210651294
2015,"SPRING",880.036375495721,394.4098,123.127411006451,123.127411006451
2016,"SPRING",299.951704833468,151.7412,97.67321257079,97.67321257079
2017,"SPRING",248.593056839378,132.7463,87.2692925071192,87.2692925071192
2018,"SPRING",179.403583739714,96.408,86.0878596586528,86.0878596586528
2019,"SPRING",81.6418527795171,50.0854,63.0052925194111,63.0052925194111
