"YEAR","SEASON","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1999,"SPRING",7.75849484855864,8.3178,-6.72419571811488,6.72419571811488
2009,"SPRING",25.5399175661707,29.0751,-12.1587971626213,12.1587971626213
2010,"SPRING",37.8733619253859,43.1156,-12.1585645905754,12.1585645905754
2011,"SPRING",18.3659597033997,20.9081,-12.158638501826,12.158638501826
2012,"SPRING",41.0122137946729,46.6889,-12.1585349094263,12.1585349094263
2013,"SPRING",41.8134502103605,47.6011,-12.1586471523546,12.1586471523546
2014,"SPRING",184.461395750403,209.9937,-12.1586048770023,12.1586048770023
2015,"SPRING",163.277210114016,185.8773,-12.1586067185095,12.1586067185095
2016,"SPRING",100.917277815236,114.8858,-12.1586150636228,12.1586150636228
2017,"SPRING",98.2593581644485,111.86,-12.1586284959337,12.1586284959337
2018,"SPRING",74.5906114009538,84.9151,-12.158601472584,12.158601472584
2019,"SPRING",50.6119230089777,57.6174,-12.1586135282438,12.1586135282438
