"YEAR","SEASON","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
2009,"FALL",4.04422108164623,2.0167,100.536573691983,100.536573691983
2010,"FALL",5.52969002471248,2.6616,107.758116347779,107.758116347779
2011,"FALL",8.01188269719065,4.8983,63.5645570338822,63.5645570338822
2012,"FALL",10.4938875084299,5.3967,94.4500807610178,94.4500807610178
2013,"FALL",80.6672505329477,36.0881,123.52867159243,123.52867159243
2014,"FALL",91.6569593239824,51.8186,76.8804238709313,76.8804238709313
2015,"FALL",120.336742331663,64.3718,86.9401544335613,86.9401544335613
2016,"FALL",141.429005933711,81.4336,73.6740189967173,73.6740189967173
2017,"FALL",101.503845879669,60.0296,69.0896589010575,69.0896589010575
2018,"FALL",70.8921463196057,47.5698,49.0276316478221,49.0276316478221
2019,"FALL",39.11749833666,26.2224,49.1758890744555,49.1758890744555
