"YEAR","SEASON","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
2009,"SPRING",2.13034737574943,1.5307,39.174715865253,39.174715865253
2010,"SPRING",2.07095978111804,1.63,27.052747307855,27.052747307855
2011,"SPRING",2.35557821431966,1.233,91.044461826412,91.044461826412
2012,"SPRING",5.55467873776257,2.9775,86.5551213354348,86.5551213354348
2013,"SPRING",27.8872821250922,12.3797,125.266219093292,125.266219093292
2014,"SPRING",22.0047965293902,11.0478,99.1780854956661,99.1780854956661
2015,"SPRING",156.393984989205,86.1234,81.5929062127195,81.5929062127195
2016,"SPRING",93.5816818743465,53.8793,73.6876349068131,73.6876349068131
2017,"SPRING",77.764495413934,45.697,70.1741808301071,70.1741808301071
2018,"SPRING",69.510621613915,42.7001,62.7879597797547,62.7879597797547
2019,"SPRING",29.229505275164,19.7138,48.2692594789637,48.2692594789637
