"YEAR","SEASON","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
2009,"SPRING",2.26028499818545,2.5731,-12.1571257166279,12.1571257166279
2010,"SPRING",3.26190955503958,3.7134,-12.1584112931658,12.1584112931658
2011,"SPRING",1.10583558274607,1.2589,-12.1585842603803,12.1585842603803
2012,"SPRING",2.56998619309001,2.9257,-12.158246126055,12.158246126055
2013,"SPRING",5.46500571419519,6.2214,-12.1579433215162,12.1579433215162
2014,"SPRING",7.59443337406819,8.6456,-12.1583999483183,12.1583999483183
2015,"SPRING",79.3580308133733,90.3424,-12.158597941417,12.158597941417
2016,"SPRING",48.3499788704903,55.0424,-12.1586651917607,12.1586651917607
2017,"SPRING",41.5509991813991,47.3023,-12.1586071260825,12.1586071260825
2018,"SPRING",43.5866472887558,49.6197,-12.1585836094216,12.1585836094216
2019,"SPRING",23.6689510215963,26.9451,-12.1586076073339,12.1586076073339
