"YEAR","SEASON","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1968,"FALL",0.184435231653211,0.1937,-4.78305025647334,4.78305025647334
1969,"FALL",0.133362426358281,0.1351,-1.28613889098401,1.28613889098401
1970,"FALL",0.0913411884500691,0.1094,-16.5071403564268,16.5071403564268
1971,"FALL",0.0492399447232526,0.0609,-19.1462319815228,19.1462319815228
1972,"FALL",0.674299949087206,0.6893,-2.17612808832058,2.17612808832058
1973,"FALL",0.0874936359007928,0.1023,-14.4734741927734,14.4734741927734
1974,"FALL",0.196621572477998,0.2175,-9.59927702160992,9.59927702160992
1975,"FALL",0.261502654738526,0.2687,-2.6785802982782,2.6785802982782
1989,"FALL",0.209711822101203,0.2017,3.97214779434935,3.97214779434935
2009,"FALL",0.690239326496472,0.134,415.103974997367,415.103974997367
2010,"FALL",0.578887337260892,0.1239,367.221418289662,367.221418289662
2011,"FALL",0.4090276383737,0.0827,394.592065748126,394.592065748126
2012,"FALL",0.362380173103498,0.0746,385.764307109247,385.764307109247
2013,"FALL",0.313870063277329,0.0615,410.357826467202,410.357826467202
2014,"FALL",0.348787039057386,0.0642,443.281992301224,443.281992301224
2015,"FALL",0.231451414648338,0.0445,420.115538535591,420.115538535591
2016,"FALL",0.311516510291658,0.0609,411.521363368896,411.521363368896
2017,"FALL",0.203352139163141,0.043,372.911951542187,372.911951542187
2018,"FALL",0.441218743181322,0.1012,335.986900376801,335.986900376801
2019,"FALL",0.253944905084006,0.0534,375.552256711622,375.552256711622
