"YEAR","SEASON","LENGTH","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
2009,"SPRING",9,0.00683060109289617,0.00077,787.091051025477,787.091051025477
2009,"SPRING",11,0.0417425622343655,0.0047,788.139622007777,788.139622007777
2009,"SPRING",12,0.0174559805707347,0.00196,790.611253608912,790.611253608912
2009,"SPRING",13,0.0411353976927747,0.00463,788.453513882824,788.453513882824
2009,"SPRING",14,0.0698239222829387,0.00786,788.34506721296,788.34506721296
2009,"SPRING",15,0.0491803278688525,0.00553,789.336851154656,789.336851154656
2009,"SPRING",17,0.0491803278688525,0.00553,789.336851154656,789.336851154656
2009,"SPRING",18,0.0459927140255009,0.00747,515.698982938433,515.698982938433
2009,"SPRING",19,0.121584699453552,0.0258,371.258525013767,371.258525013767
2009,"SPRING",20,0.0802975106253795,0.01704,371.22952244941,371.22952244941
2009,"SPRING",21,0.0317243472981178,0.00673,371.387032661483,371.387032661483
2009,"SPRING",24,0.01183970856102,0.00251,371.701536295619,371.701536295619
2009,"SPRING",25,0.0874013357619915,0.01855,371.166230522865,371.166230522865
2009,"SPRING",26,0.0814814814814815,0.01729,371.263629158366,371.263629158366
2009,"SPRING",27,0.123102610807529,0.02612,371.296366031887,371.296366031887
2009,"SPRING",28,0.167547055251973,0.03556,371.16719699655,371.16719699655
2009,"SPRING",29,0.0742258652094718,0.01575,371.275334663313,371.275334663313
2009,"SPRING",30,0.13554948391014,0.02877,371.148710149947,371.148710149947
2009,"SPRING",31,0.0576806314511233,0.01224,371.246988979765,371.246988979765
2009,"SPRING",32,0.0812082574377656,0.01723,371.318963655053,371.318963655053
2009,"SPRING",33,0.0376442015786278,0.00799,371.141446541024,371.141446541024
2009,"SPRING",34,0.0535822707953856,0.01137,371.260077356073,371.260077356073
2009,"SPRING",35,0.00683060109289617,0.00145,371.075937441116,371.075937441116
2009,"SPRING",36,0.0812082574377656,0.01723,371.318963655053,371.318963655053
2009,"SPRING",37,0.0660291438979964,0.01401,371.300099200545,371.300099200545
2009,"SPRING",38,0.106709168184578,0.02265,371.1221553403,371.1221553403
2009,"SPRING",39,0.0761991499696418,0.01617,371.237785835756,371.237785835756
2009,"SPRING",40,0.0349119611414693,0.00741,371.146574108898,371.146574108898
2009,"SPRING",41,0.0349119611414693,0.00741,371.146574108898,371.146574108898
2009,"SPRING",44,0.0174559805707347,0.0037,371.783258668505,371.783258668505
2009,"SPRING",51,0.0174559805707347,0.0037,371.783258668505,371.783258668505
2010,"SPRING",6,0.0246999781802313,0.00278,788.488423749327,788.488423749327
2010,"SPRING",7,0.0908284238853735,0.01022,788.732131950817,788.732131950817
2010,"SPRING",10,0.0440759327951124,0.00496,788.627677320814,788.627677320814
2010,"SPRING",11,0.0410211651756491,0.00462,787.904008130934,787.904008130934
2010,"SPRING",13,0.0828787548185323,0.00933,788.303910166477,788.303910166477
2010,"SPRING",14,0.0516037530002182,0.00581,788.188519797215,788.188519797215
2010,"SPRING",15,0.170085097097971,0.01914,788.636870940286,788.636870940286
2010,"SPRING",16,0.13350061822678,0.01502,788.819029472571,788.819029472571
2010,"SPRING",17,0.215906611389919,0.02429,788.870363894275,788.870363894275
2010,"SPRING",18,0.16393919557786,0.02663,515.618458797823,515.618458797823
2010,"SPRING",19,0.224779983998836,0.0477,371.236863729217,371.236863729217
2010,"SPRING",20,0.340315659320678,0.07222,371.220796622373,371.220796622373
2010,"SPRING",21,0.159611608116954,0.03387,371.247735804411,371.247735804411
2010,"SPRING",22,0.20016001163721,0.04248,371.186468072528,371.186468072528
2010,"SPRING",23,0.208124227216525,0.04417,371.189103954098,371.189103954098
2010,"SPRING",24,0.126954687613645,0.02694,371.249768424813,371.249768424813
2010,"SPRING",25,0.282165975707324,0.05988,371.219064307489,371.219064307489
2010,"SPRING",26,0.183831551385555,0.03901,371.242120957589,371.242120957589
2010,"SPRING",27,0.225289111935414,0.04781,371.217552678129,371.217552678129
2010,"SPRING",28,0.310749872718016,0.06595,371.190102680843,371.190102680843
2010,"SPRING",29,0.155247654374864,0.03295,371.161318284867,371.161318284867
