"YEAR","SEASON","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1970,"SPRING",0.272659829805804,0.2783,-2.02665116571899,2.02665116571899
1971,"SPRING",0.146628845734235,0.1547,-5.21729428944072,5.21729428944072
1974,"SPRING",1.04610517128518,1.06,-1.31083289762413,1.31083289762413
1975,"SPRING",0.628239801667794,0.6436,-2.3866063288077,2.3866063288077
2009,"SPRING",0.374359137826351,0.07,434.798768323358,434.798768323358
2010,"SPRING",0.353692341261183,0.0653,441.642176510234,441.642176510234
2011,"SPRING",0.838737871845225,0.1562,436.964066482218,436.964066482218
2012,"SPRING",0.400976216452106,0.0696,476.11525352314,476.11525352314
2013,"SPRING",0.148471416102989,0.0278,434.069842097084,434.069842097084
2014,"SPRING",0.31813088315112,0.0555,473.208798470487,473.208798470487
2015,"SPRING",0.283094697796203,0.0508,457.273027157881,457.273027157881
2016,"SPRING",0.517752672921667,0.0918,464.000733030138,464.000733030138
2017,"SPRING",0.288954105753146,0.0503,474.461442849196,474.461442849196
2018,"SPRING",0.265018546803404,0.049,440.854177149804,440.854177149804
2019,"SPRING",0.315584587970034,0.0564,459.547141790841,459.547141790841
2020,"SPRING",0.368858287122612,0.0682,440.847928332276,440.847928332276
