"YEAR","SEASON","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1968,"FALL",5.3755295235393,0.9937,440.961006696116,440.961006696116
1969,"FALL",23.3622131442993,4.3189,440.929707663971,440.929707663971
1970,"FALL",25.1629774953411,4.6518,440.929908752334,440.929908752334
1971,"FALL",35.2926102395419,6.5244,440.932656482465,440.932656482465
1972,"FALL",52.1415254699181,9.6391,440.937696153356,440.937696153356
1973,"FALL",39.5479026760925,7.311,440.936980934106,440.936980934106
1974,"FALL",15.9901773950611,2.956,440.939695367424,440.939695367424
1975,"FALL",44.4581761765129,8.2188,440.932693051454,440.932693051454
1976,"FALL",39.2351678778478,7.2532,440.935971403626,440.935971403626
1977,"FALL",72.1855138934044,13.3446,440.934264746822,440.934264746822
1978,"FALL",77.7685458998159,14.3767,440.934608775421,440.934608775421
1979,"FALL",36.8644859264503,6.815,440.931561650042,440.931561650042
1980,"FALL",91.6304957922909,16.9393,440.934370323985,440.934370323985
1981,"FALL",97.0856576667139,17.9478,440.93347188354,440.93347188354
1982,"FALL",41.1836072507445,7.6134,440.935813838029,440.935813838029
1983,"FALL",57.9039557175692,10.7044,440.936023668484,440.936023668484
1984,"FALL",56.7041171382637,10.4826,440.935618436874,440.935618436874
1985,"FALL",129.229758104136,18.2367,608.624685958181,608.624685958181
1986,"FALL",61.0521077715112,8.6156,608.622821063086,608.622821063086
1987,"FALL",61.1302919990707,8.6266,608.625553509734,608.625553509734
1988,"FALL",48.1964996155816,6.8014,608.626159549234,608.626159549234
1989,"FALL",198.787788171803,28.0526,608.625183304943,608.625183304943
1990,"FALL",102.463272079522,14.4595,608.622511701799,608.622511701799
1991,"FALL",95.2777851679562,13.3639,612.948953284267,612.948953284267
1992,"FALL",75.9568653431659,10.7189,608.625561794269,608.625561794269
1993,"FALL",84.9938205167275,11.9942,608.624339403441,608.624339403441
1994,"FALL",155.808708638262,21.9875,608.624030191074,608.624030191074
1995,"FALL",178.786261179217,25.23,608.625688383738,608.625688383738
1996,"FALL",93.0860086287443,13.1362,608.622041600648,608.622041600648
1997,"FALL",91.0262460952868,12.8455,608.623612123209,608.623612123209
1998,"FALL",151.076417197842,21.3197,608.623560358926,608.623560358926
1999,"FALL",118.776581145925,16.7616,608.623169303197,608.623169303197
2000,"FALL",175.677419302351,24.7913,608.625281055656,608.625281055656
2001,"FALL",155.269623786855,21.9114,608.624842715914,608.624842715914
2002,"FALL",173.177261838836,24.4385,608.624759452652,608.624759452652
2003,"FALL",111.063412503467,15.6731,608.624410636483,608.624410636483
2004,"FALL",68.4340329288186,9.6573,608.624904774819,608.624904774819
2005,"FALL",84.8558425942293,12.1296,599.576594399068,599.576594399068
2006,"FALL",169.929238790024,23.9802,608.623109023376,608.623109023376
2007,"FALL",131.331158231154,18.5332,608.626455394395,608.626455394395
2008,"FALL",90.5627871436988,12.7801,608.623462599658,608.623462599658
2009,"FALL",42.7287825592027,13.172,224.391000297622,224.391000297622
2010,"FALL",35.890321358035,11.2817,218.128662861404,218.128662861404
2011,"FALL",45.9696391316269,16.476,179.009705824393,179.009705824393
2012,"FALL",38.6091364221006,14.0995,173.833372971386,173.833372971386
2013,"FALL",63.1974046565969,19.5451,223.341423971209,223.341423971209
2014,"FALL",103.128521539774,38.6259,166.993187316733,166.993187316733
2015,"FALL",106.042388323935,33.7288,214.397157099971,214.397157099971
2016,"FALL",82.4993912507004,28.2477,192.057021459094,192.057021459094
2017,"FALL",94.3331393084648,29.1259,223.880598740175,223.880598740175
2018,"FALL",86.0793388362327,28.8422,198.449282080537,198.449282080537
2019,"FALL",92.9203482711619,30.8881,200.828954423101,200.828954423101
