"YEAR","SEASON","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1968,"FALL",1.80123550029208,0.2564,602.509945511732,602.509945511732
1969,"FALL",4.59201441625636,0.6699,585.477596097382,585.477596097382
1970,"FALL",4.07379621129934,0.6002,578.73978862035,578.73978862035
1971,"FALL",9.43531602806357,1.3324,608.144403186998,608.144403186998
1972,"FALL",16.5136558338599,2.3359,606.9504616576,606.9504616576
1973,"FALL",11.0156757191736,1.5621,605.183773073016,605.183773073016
1974,"FALL",4.79840743136109,0.6752,610.66460772528,610.66460772528
1975,"FALL",12.5016113452391,1.7626,609.271039670889,609.271039670889
1976,"FALL",12.1226428064758,1.6973,614.231002561471,614.231002561471
1977,"FALL",31.4773379305748,3.4858,803.016177938344,803.016177938344
1978,"FALL",27.5855528137729,3.0579,802.107747597138,802.107747597138
1979,"FALL",15.1865569199142,1.823,733.053040039178,733.053040039178
1980,"FALL",33.9584217820484,3.7584,803.533998032364,803.533998032364
1981,"FALL",22.7557304097471,2.8074,710.562456712515,710.562456712515
1982,"FALL",11.9334109333461,1.6708,614.233357274722,614.233357274722
1983,"FALL",29.3864961373851,4.1147,614.18320016976,614.18320016976
1984,"FALL",25.2962922622525,3.5417,614.241529837436,614.241529837436
1985,"FALL",43.7344489216867,4.7342,823.798084611691,823.798084611691
1986,"FALL",26.6422502861196,2.8403,838.008319055016,838.008319055016
1987,"FALL",20.2664994456432,2.252,799.933367923767,799.933367923767
1988,"FALL",22.9478850395203,2.544,802.039506270451,802.039506270451
1989,"FALL",53.2065863991846,4.6713,1039.01026265032,1039.01026265032
1990,"FALL",37.8200220252501,3.3202,1039.08867011777,1039.08867011777
1991,"FALL",29.1380542226488,2.5577,1039.22876891929,1039.22876891929
1992,"FALL",20.6027346627961,2.2892,799.997145849908,799.997145849908
1993,"FALL",22.6750211162242,1.9908,1038.99041170505,1038.99041170505
1994,"FALL",33.2365568185882,3.6938,799.793080799941,799.793080799941
1995,"FALL",29.4727377475233,3.2759,799.683682271232,799.683682271232
1996,"FALL",22.8005666062636,2.5334,799.998681860884,799.998681860884
1997,"FALL",26.2435105834456,2.9171,799.643844346975,799.643844346975
1998,"FALL",43.5793215645866,4.8422,799.990119461952,799.990119461952
1999,"FALL",29.8853838771593,3.3214,799.782738518676,799.782738518676
2000,"FALL",50.9661830748322,5.6631,799.969682238212,799.969682238212
2001,"FALL",43.9661511365804,4.8851,800.005140868772,800.005140868772
2002,"FALL",48.3639421785029,5.3738,799.995202249858,799.995202249858
2003,"FALL",31.9385042827041,3.5487,800.005756550401,800.005756550401
2004,"FALL",13.9980814873154,1.5554,799.966663708073,799.966663708073
2005,"FALL",10.5009945401819,1.1846,786.459103510208,786.459103510208
2006,"FALL",19.6807792718256,2.1867,800.021917584742,800.021917584742
2007,"FALL",21.8043844625124,2.4227,800.003486296792,800.003486296792
2008,"FALL",17.191672285142,1.9102,799.993314058321,799.993314058321
2009,"FALL",7.17535715072363,2.4876,188.444973095499,188.444973095499
2010,"FALL",6.56278181799216,2.2371,193.361129050653,193.361129050653
2011,"FALL",8.85196900122396,2.8693,208.506221072176,208.506221072176
2012,"FALL",7.46073005168367,2.4444,205.217233336756,205.217233336756
2013,"FALL",10.3474395065629,3.3897,205.261218000498,205.261218000498
2014,"FALL",16.5723558234615,5.5585,198.144388296511,198.144388296511
2015,"FALL",20.3908036375441,6.8353,198.316147609382,198.316147609382
2016,"FALL",16.2181403066547,5.4648,196.77463597304,196.77463597304
2017,"FALL",17.1077106189787,5.8915,190.379540337414,190.379540337414
2018,"FALL",16.9195519908237,5.7282,195.372926762748,195.372926762748
2019,"FALL",14.9189408425825,4.8821,205.584499346235,205.584499346235
