"YEAR","SEASON","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1968,"SPRING",28.9019467139858,2.4156,1096.47072006896,1096.47072006896
1969,"SPRING",28.4734076976005,2.3798,1096.46221100935,1096.46221100935
1970,"SPRING",17.4490379057378,1.4584,1096.4507615015,1096.4507615015
1971,"SPRING",33.1109480061659,2.7674,1096.46411816745,1096.46411816745
1972,"SPRING",85.2782033329626,7.1275,1096.46725125167,1096.46725125167
1973,"SPRING",195.566158650558,16.3453,1096.46723309182,1096.46723309182
1974,"SPRING",117.480280933005,9.819,1096.45871201757,1096.45871201757
1975,"SPRING",172.234856065006,14.3953,1096.46590251684,1096.46590251684
1976,"SPRING",169.047595910597,14.1289,1096.46678729835,1096.46678729835
1977,"SPRING",114.718430720292,9.5881,1096.46677360783,1096.46677360783
1978,"SPRING",104.153197639927,8.7051,1096.46181709489,1096.46181709489
1979,"SPRING",85.447526669644,7.1417,1096.45919976538,1096.45919976538
1980,"SPRING",172.621569939374,14.4277,1096.45937979979,1096.45937979979
1981,"SPRING",323.275617322081,27.0193,1096.46185253534,1096.46185253534
1982,"SPRING",102.29624947578,8.5499,1096.46135598989,1096.46135598989
1983,"SPRING",157.06845475806,13.1277,1096.46590612263,1096.46590612263
1984,"SPRING",114.606781313912,9.5788,1096.4628274305,1096.4628274305
1985,"SPRING",160.297836714007,10.2272,1467.36777137444,1467.36777137444
1986,"SPRING",159.418367085525,10.1711,1467.36603794599,1467.36603794599
1987,"SPRING",183.160087261212,11.6858,1467.37311319047,1467.37311319047
1988,"SPRING",114.528532185424,7.3071,1467.35958431421,1467.35958431421
1989,"SPRING",125.361221042333,7.9982,1467.36792081135,1467.36792081135
1990,"SPRING",96.9471362805878,6.1853,1467.37969509301,1467.37969509301
1991,"SPRING",124.288886278026,7.9298,1467.36470375074,1467.36470375074
1992,"SPRING",147.775415447935,9.4283,1467.36013330011,1467.36013330011
1993,"SPRING",200.037880213407,12.7627,1467.36333388238,1467.36333388238
1994,"SPRING",126.773582620313,8.0883,1467.36993707347,1467.36993707347
1995,"SPRING",131.705069198476,8.4029,1467.37637242471,1467.37637242471
1996,"SPRING",154.93621272078,9.8851,1467.37122255495,1467.37122255495
1997,"SPRING",172.21565063892,10.9876,1467.36367030944,1467.36367030944
1998,"SPRING",188.102021056563,12.0011,1467.37316626445,1467.37316626445
1999,"SPRING",178.519003173794,11.3897,1467.37230281565,1467.37230281565
2000,"SPRING",251.033279631483,16.0162,1467.37103452431,1467.37103452431
2001,"SPRING",298.597529040647,19.0509,1467.36704848929,1467.36704848929
2002,"SPRING",344.710610741614,21.993,1467.36511954537,1467.36511954537
2003,"SPRING",90.4924216972524,5.7735,1467.37545158487,1467.37545158487
2004,"SPRING",154.206626641447,9.8386,1467.36351352272,1467.36351352272
2005,"SPRING",100.195582235581,6.5141,1438.13392848714,1438.13392848714
2006,"SPRING",98.8960597148229,6.3097,1467.36548036868,1467.36548036868
2007,"SPRING",249.317804672926,15.9068,1467.3661872465,1467.3661872465
2008,"SPRING",358.336395793393,22.8623,1467.36809416985,1467.36809416985
2009,"SPRING",38.5895755669498,11.4616,236.685764351834,236.685764351834
2010,"SPRING",55.083547128273,17.0632,222.820731915895,222.820731915895
2011,"SPRING",40.8238623764619,12.7678,219.740772697426,219.740772697426
2012,"SPRING",31.5327136724116,9.6742,225.946472808207,225.946472808207
2013,"SPRING",33.9357838783515,10.3288,228.554951962972,228.554951962972
2014,"SPRING",82.6019666253383,25.3484,225.866589707194,225.866589707194
2015,"SPRING",117.733815117051,36.7846,220.062784744297,220.062784744297
2016,"SPRING",74.3666909073569,23.1029,221.893316022477,221.893316022477
2017,"SPRING",78.381438403479,24.082,225.477279310186,225.477279310186
2018,"SPRING",90.1593472697433,28.0284,221.671402112655,221.671402112655
2019,"SPRING",63.1379712529258,18.5823,239.774792425727,239.774792425727
