"YEAR","SEASON","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1968,"SPRING",12.2897269130913,1.1379,980.03576000451,980.03576000451
1969,"SPRING",6.35446970044388,0.6394,893.817594689378,893.817594689378
1970,"SPRING",5.75422907589689,0.5408,964.021648649572,964.021648649572
1971,"SPRING",6.80773544250545,0.6481,950.414356195873,950.414356195873
1972,"SPRING",17.0032992854078,1.5604,989.675678377837,989.675678377837
1973,"SPRING",46.973347893999,4.3114,989.514957879089,989.514957879089
1974,"SPRING",26.318096859867,2.431,982.603737551092,982.603737551092
1975,"SPRING",46.4086592824205,4.2535,991.069925530047,991.069925530047
1976,"SPRING",36.8624661348678,3.3711,993.484801247895,993.484801247895
1977,"SPRING",29.038995005064,2.6558,993.417991003236,993.417991003236
1978,"SPRING",28.1094477368984,2.5708,993.41246837165,993.41246837165
1979,"SPRING",26.0625035484765,2.0407,1177.13547059717,1177.13547059717
1980,"SPRING",52.9585876794055,3.8829,1263.8926492932,1263.8926492932
1981,"SPRING",87.9341636671151,6.3529,1284.15784393136,1284.15784393136
1982,"SPRING",29.4255308480563,2.127,1283.42881279061,1283.42881279061
1983,"SPRING",40.4409330888855,3.6984,993.471043934822,993.471043934822
1984,"SPRING",32.6109516398873,2.9821,993.55660909719,993.55660909719
1985,"SPRING",53.9177846394824,3.9131,1277.87903808956,1277.87903808956
1986,"SPRING",44.8918244522547,3.2595,1277.26106618361,1277.26106618361
1987,"SPRING",47.8178438637874,2.941,1525.90424562351,1525.90424562351
1988,"SPRING",27.5032242751873,1.9962,1277.77899384768,1277.77899384768
1989,"SPRING",28.8016184179143,1.6514,1644.07281203308,1644.07281203308
1990,"SPRING",23.2160390816921,1.3311,1644.12433939539,1644.12433939539
1991,"SPRING",28.2595562322458,1.6212,1643.12584704206,1643.12584704206
1992,"SPRING",34.3872352619417,2.5011,1274.88446131469,1274.88446131469
1993,"SPRING",38.9077301606966,2.8238,1277.85006589335,1277.85006589335
1994,"SPRING",27.7396035973273,1.5904,1644.19036703517,1644.19036703517
1995,"SPRING",27.1674572087066,1.973,1276.96184534752,1276.96184534752
1996,"SPRING",24.6784660133564,1.7921,1277.06969551679,1277.06969551679
1997,"SPRING",24.9503130036224,1.8109,1277.78524510588,1277.78524510588
1998,"SPRING",34.6865180627136,2.5188,1277.10489370786,1277.10489370786
1999,"SPRING",31.9968094454573,2.3223,1277.80689167882,1277.80689167882
2000,"SPRING",43.8692838589119,3.1864,1276.76637769621,1276.76637769621
2001,"SPRING",49.3183807967424,3.5793,1277.8778195944,1277.8778195944
2002,"SPRING",61.448540459879,4.4596,1277.89354336441,1277.89354336441
2003,"SPRING",17.3723100690782,0.996,1644.20783826086,1644.20783826086
2004,"SPRING",24.4152880713912,1.7719,1277.91568775841,1277.91568775841
2005,"SPRING",15.1533429648091,1.1157,1258.19153579001,1258.19153579001
2006,"SPRING",12.5701357124169,0.9123,1277.85111393367,1277.85111393367
2007,"SPRING",28.3324183512988,2.0562,1277.90187488079,1277.90187488079
2008,"SPRING",48.0665282107547,3.4884,1277.89611887269,1277.89611887269
2009,"SPRING",5.60123794763993,1.7765,215.29625373712,215.29625373712
2010,"SPRING",9.04529419599393,2.7884,224.390123224571,224.390123224571
2011,"SPRING",6.57450129369782,2.1809,201.458172942263,201.458172942263
2012,"SPRING",5.73013577040026,1.7273,231.739464505313,231.739464505313
2013,"SPRING",4.63319531487398,1.3514,242.844110912682,242.844110912682
2014,"SPRING",10.1444427684259,3.0214,235.753053830208,235.753053830208
2015,"SPRING",20.8486872126385,6.2656,232.748455257893,232.748455257893
2016,"SPRING",15.2812856531873,4.4592,242.69119243782,242.69119243782
2017,"SPRING",15.2689871798706,4.6641,227.372637376355,227.372637376355
2018,"SPRING",17.2449053520265,5.2483,228.58078524525,228.58078524525
2019,"SPRING",9.82976070688436,2.9888,228.886533287084,228.886533287084
