"YEAR","SEASON","LENGTH","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1968,"FALL",3,0.0100863245327796,0.00496,103.353317193137,103.353317193137
1968,"FALL",4,0.0219981353561893,0.01083,103.122210121785,103.122210121785
1968,"FALL",14,0.043023133825863,0.02117,103.226895729159,103.226895729159
1968,"FALL",15,0.0195744091763077,0.00963,103.26489279655,103.26489279655
1968,"FALL",16,0.0234646777132686,0.01155,103.157382798863,103.157382798863
1968,"FALL",17,0.169104754370848,0.08322,103.20206004668,103.20206004668
1968,"FALL",18,0.285423099923248,0.14046,103.205966056705,103.205966056705
1968,"FALL",19,0.292092392159079,0.14374,103.208843856323,103.208843856323
1968,"FALL",20,0.474050188112425,0.23329,103.202103867472,103.202103867472
1968,"FALL",21,0.957336516412162,0.47112,103.204388778265,103.204388778265
1968,"FALL",22,0.853882493537314,0.42149,102.586655326891,102.586655326891
1968,"FALL",23,0.849997694622198,0.41957,102.587814815692,102.587814815692
1968,"FALL",24,1.2778008626332,0.63266,101.972759876268,101.972759876268
1968,"FALL",25,1.10400231809128,0.54329,103.206817370333,103.206817370333
1968,"FALL",26,1.22724930711531,0.60394,103.207157518182,103.207157518182
1968,"FALL",27,1.21997134852359,0.60164,102.774308311214,102.774308311214
1968,"FALL",28,1.55196622734528,0.76374,103.20609465856,103.20609465856
1968,"FALL",29,2.11945772579377,1.04301,103.205887363857,103.205887363857
1968,"FALL",30,2.52554290564243,1.24285,103.205769452664,103.205769452664
1968,"FALL",31,2.58320912874989,1.27123,103.205488286926,103.205488286926
1968,"FALL",32,2.49710839278063,1.22885,103.206932724143,103.206932724143
1968,"FALL",33,2.34514235660842,1.15407,103.206248893778,103.206248893778
1968,"FALL",34,1.79007761108992,0.88092,103.205468270663,103.205468270663
1968,"FALL",35,1.38090255070089,0.67956,103.205390355655,103.205390355655
1968,"FALL",36,1.1037976060987,0.54319,103.206540271121,103.206540271121
1968,"FALL",37,0.82793910854958,0.40744,103.205161140187,103.205161140187
1968,"FALL",38,0.555524364679126,0.27338,103.205927529126,103.205927529126
1968,"FALL",39,0.490716353773785,0.24149,103.203591773483,103.203591773483
1968,"FALL",40,0.522262169861517,0.25701,103.206945201166,103.206945201166
1968,"FALL",41,0.207324363737387,0.10203,103.199415600693,103.199415600693
1968,"FALL",42,0.226197920639629,0.11131,103.214374844694,103.214374844694
1968,"FALL",43,0.138444675170573,0.06813,103.206627286911,103.206627286911
1968,"FALL",44,0.191169322842358,0.09408,103.198684994002,103.198684994002
1968,"FALL",45,0.0182774250964106,0.00899,103.308399292665,103.308399292665
1968,"FALL",46,0.149620764880658,0.07363,103.206254082111,103.206254082111
1968,"FALL",47,0.0663305599110998,0.03264,103.218627178615,103.218627178615
1968,"FALL",48,0.0200689541514223,0.00988,103.127066309942,103.127066309942
1968,"FALL",51,0.0219981353561893,0.01083,103.122210121785,103.122210121785
1969,"FALL",3,0.0195744091763077,0.00963,103.26489279655,103.26489279655
1969,"FALL",4,0.332764955997231,0.16376,103.202830970464,103.202830970464
1969,"FALL",5,2.13588869771581,1.05109,103.207022968139,103.207022968139
1969,"FALL",6,1.74212241669139,0.85732,103.205619452642,103.205619452642
1969,"FALL",7,0.86127400375754,0.42384,103.207343279903,103.207343279903
1969,"FALL",8,0.0391488183526154,0.01927,103.159410236717,103.159410236717
1969,"FALL",9,0.0195744091763077,0.00963,103.26489279655,103.26489279655
1969,"FALL",10,0.0610013250271927,0.03002,103.202281902707,103.202281902707
1969,"FALL",12,0.0218525066745773,0.01075,103.279131856533,103.279131856533
1969,"FALL",14,0.0195744091763077,0.00963,103.26489279655,103.26489279655
1969,"FALL",16,0.094761198457431,0.04663,103.219383352844,103.219383352844
1969,"FALL",17,0.232303386023647,0.11432,103.204501420265,103.204501420265
1969,"FALL",18,0.204531381107768,0.10065,103.210512774732,103.210512774732
1969,"FALL",19,0.599191945303782,0.29487,103.20546183192,103.20546183192
1969,"FALL",20,0.694410882739331,0.34173,103.204542398774,103.204542398774
1969,"FALL",21,0.706746931107062,0.3478,103.20498306701,103.20498306701
1969,"FALL",22,1.06486272972553,0.52403,103.206444235164,103.206444235164
1969,"FALL",23,1.1025732084587,0.54259,103.205589571998,103.205589571998
1969,"FALL",24,0.8437551468407,0.41522,103.206769144237,103.206769144237
1969,"FALL",25,0.768397830703526,0.37814,103.204588433788,103.204588433788
1969,"FALL",26,0.97626476953285,0.48043,103.206454537154,103.206454537154
1969,"FALL",27,0.955906153324575,0.47041,103.207022241146,103.207022241146
1969,"FALL",28,1.01536259505681,0.49967,103.20663539072,103.20663539072
