"YEAR","SEASON","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1968,"FALL",80.2916067762013,14.8508,440.655094514782,440.655094514782
1969,"FALL",95.1215060304944,17.5847,440.933345638506,440.933345638506
1970,"FALL",82.0715632097583,15.1722,440.9338343138,440.9338343138
1971,"FALL",94.3056052635245,17.4338,440.935454482239,440.935454482239
1972,"FALL",138.012253905006,25.5137,440.933905725182,440.933905725182
1973,"FALL",103.842935292546,19.197,440.933142118798,440.933142118798
1974,"FALL",119.266124559478,22.0482,440.933611630327,440.933611630327
1975,"FALL",183.250879109883,33.8767,440.934858206033,440.934858206033
1976,"FALL",107.911860252932,19.9492,440.933271774968,440.933271774968
1977,"FALL",68.7709976166122,12.7134,440.933169857097,440.933169857097
1978,"FALL",63.4307821737515,11.7261,440.93673236414,440.93673236414
1979,"FALL",91.490044137259,16.9133,440.935501275676,440.935501275676
1980,"FALL",130.926647915538,24.2038,440.934266171172,440.934266171172
1981,"FALL",101.217784420472,18.7117,440.933129648682,440.933129648682
1982,"FALL",84.685198601972,15.6554,440.93283213442,440.93283213442
1983,"FALL",159.405470149268,29.4685,440.935134632803,440.935134632803
1984,"FALL",41.280635562959,7.6314,440.931356801622,440.931356801622
1985,"FALL",288.36410075843,40.6935,608.624475059726,608.624475059726
1986,"FALL",52.9220313994952,7.4683,608.622195138053,608.622195138053
1987,"FALL",38.6800033715672,5.4585,608.61964590212,608.61964590212
1988,"FALL",56.8859338215837,8.0277,608.62057403221,608.62057403221
1989,"FALL",67.6659336743169,9.5036,612.003174316227,612.003174316227
1990,"FALL",71.9881763463965,10.1589,608.621763639729,608.621763639729
1991,"FALL",81.5867509612286,11.5134,608.624306992101,608.624306992101
1992,"FALL",31.3585681868487,4.4253,608.620165567278,608.620165567278
1993,"FALL",70.5402717103137,9.9545,608.626969815799,608.626969815799
1994,"FALL",72.3699917853813,10.2127,608.6274127839,608.6274127839
1995,"FALL",66.1570220572813,9.336,608.622772678677,608.622772678677
1996,"FALL",23.3942204997292,3.3014,608.615148110779,608.615148110779
1997,"FALL",28.725094974687,4.0477,609.664623729204,609.664623729204
1998,"FALL",28.099616822856,3.9654,608.619983428053,608.619983428053
1999,"FALL",126.535674419968,17.8565,608.62528726216,608.62528726216
2000,"FALL",18.6283557911307,2.6288,608.625828938325,608.625828938325
2001,"FALL",79.7161167407344,11.2494,608.625497721962,608.625497721962
2002,"FALL",60.6423182464334,8.5578,608.62041934181,608.62041934181
2003,"FALL",48.2129536960927,6.8037,608.628447698939,608.628447698939
2004,"FALL",46.4232431280944,6.5512,608.621979608231,608.621979608231
2005,"FALL",74.2025064787275,10.4713,608.627452930654,608.627452930654
2006,"FALL",71.2857763767806,10.0597,608.627259031389,608.627259031389
2007,"FALL",100.071130238737,14.1219,608.623699634875,608.623699634875
2008,"FALL",47.8567442219425,6.7535,608.621369985082,608.621369985082
2009,"FALL",26.2311617399108,9.4887,176.446317618966,176.446317618966
2010,"FALL",51.1554510224934,14.3939,255.396737663131,255.396737663131
2011,"FALL",24.2770929153848,7.3847,228.748532985561,228.748532985561
2012,"FALL",19.469669632915,5.8155,234.789263741982,234.789263741982
2013,"FALL",19.5860755925573,17.3393,12.9577064388836,12.9577064388836
2014,"FALL",29.4668315566565,66.5398,-55.7154792219746,55.7154792219746
2015,"FALL",15.5196170288724,8.2589,87.913850862372,87.913850862372
2016,"FALL",19.6586788767447,12.3224,59.5361202099001,59.5361202099001
2017,"FALL",32.4291856348002,23.3253,39.0300902230634,39.0300902230634
2018,"FALL",28.4451434504386,8.3902,239.028193016121,239.028193016121
2019,"FALL",44.6631001929281,16.4602,171.33996058935,171.33996058935
