"YEAR","SEASON","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1968,"FALL",21.9141106920371,3.0737,612.955418291867,612.955418291867
1969,"FALL",25.1964213093344,3.5524,609.278834290463,609.278834290463
1970,"FALL",16.1460981654062,2.2567,615.473840803219,615.473840803219
1971,"FALL",18.2751292186953,2.5681,611.620622977895,611.620622977895
1972,"FALL",27.3563345809822,3.8477,610.97888559353,610.97888559353
1973,"FALL",16.7147672329828,2.3515,610.812980352233,610.812980352233
1974,"FALL",6.37651858672327,0.9129,598.490369889722,598.490369889722
1975,"FALL",36.9694343411773,4.8839,656.965423968085,656.965423968085
1976,"FALL",23.8273851837868,3.3367,614.100314196267,614.100314196267
1977,"FALL",22.718072473648,2.5129,804.057959872974,804.057959872974
1978,"FALL",16.9836314040192,1.8786,804.057883744237,804.057883744237
1979,"FALL",21.5148113396541,2.38,803.983669733366,803.983669733366
1980,"FALL",28.3265626844995,3.1342,803.789250350952,803.789250350952
1981,"FALL",20.9485594856049,2.3185,803.539335156561,803.539335156561
1982,"FALL",22.1051400409143,3.0953,614.151779824712,614.151779824712
1983,"FALL",43.1520700435726,6.0413,614.284509022438,614.284509022438
1984,"FALL",8.44454864556987,1.1822,614.307955131946,614.307955131946
1985,"FALL",22.2207876001187,2.0238,997.973495410547,997.973495410547
1986,"FALL",9.66123101164632,0.958,908.479228773102,908.479228773102
1987,"FALL",6.83379943519172,0.7596,799.657640230611,799.657640230611
1988,"FALL",6.93038697137926,0.7701,799.933381558143,799.933381558143
1989,"FALL",13.5120607931562,1.1806,1044.50794453296,1044.50794453296
1990,"FALL",13.8629095513692,1.2169,1039.1987469282,1039.1987469282
1991,"FALL",18.3207866369762,1.6082,1039.21070992266,1039.21070992266
1992,"FALL",5.66068563613291,0.6295,799.235208281637,799.235208281637
1993,"FALL",10.2768457670743,0.9034,1037.57424917803,1037.57424917803
1994,"FALL",7.22552429919532,0.8029,799.928297321624,799.928297321624
1995,"FALL",4.17726020466953,0.4645,799.30251984274,799.30251984274
1996,"FALL",3.53802994987807,0.3944,797.066417311883,797.066417311883
1997,"FALL",5.394864139124,0.5983,801.69883655758,801.69883655758
1998,"FALL",4.49376627229193,0.5001,798.573539750437,798.573539750437
1999,"FALL",4.84854700327854,0.5398,798.211745698136,798.211745698136
2000,"FALL",4.28410626158179,0.4763,799.455440180934,799.455440180934
2001,"FALL",4.96248428305171,0.5514,799.979013973831,799.979013973831
2002,"FALL",5.41158043587975,0.6013,799.980115729212,799.980115729212
2003,"FALL",4.99104877645787,0.5546,799.936670836255,799.936670836255
2004,"FALL",3.60646042929186,0.4007,800.040037257764,800.040037257764
2005,"FALL",5.70641165754686,0.634,800.064930212439,800.064930212439
2006,"FALL",7.36230170526225,0.818,800.036883283894,800.036883283894
2007,"FALL",4.95270466603998,0.5503,800.00084790841,800.00084790841
2008,"FALL",6.54760310266713,0.7275,800.014172187922,800.014172187922
2009,"FALL",3.6079938990908,1.0622,239.671803717831,239.671803717831
2010,"FALL",4.91918373821702,1.3923,253.313491217196,253.313491217196
2011,"FALL",2.92035469165179,0.8066,262.057363209991,262.057363209991
2012,"FALL",2.73896234037889,0.8118,237.39373495675,237.39373495675
2013,"FALL",2.58812912949472,0.7239,257.525781115447,257.525781115447
2014,"FALL",2.88509880332759,0.8088,256.713501895103,256.713501895103
2015,"FALL",2.03195520064826,0.5707,256.046118915062,256.046118915062
2016,"FALL",2.9809816186187,0.8682,243.35194870061,243.35194870061
2017,"FALL",4.36675870366356,1.3279,228.846954112776,228.846954112776
2018,"FALL",3.25400673300792,0.9108,257.269074770303,257.269074770303
2019,"FALL",4.65322458667276,1.2681,266.944608995565,266.944608995565
