"YEAR","SEASON","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1968,"SPRING",74.6790371783952,6.2416,1096.47265410144,1096.47265410144
1969,"SPRING",68.2679224800842,5.7058,1096.46539451233,1096.46539451233
1970,"SPRING",113.761963044905,9.5082,1096.46161255448,1096.46161255448
1971,"SPRING",292.696052333036,24.4634,1096.46513703343,1096.46513703343
1972,"SPRING",214.0381473652,17.8892,1096.46572996668,1096.46572996668
1973,"SPRING",256.501163333431,21.4383,1096.46223503464,1096.46223503464
1974,"SPRING",169.369805822825,14.1559,1096.46088078345,1096.46088078345
1975,"SPRING",160.852790148703,13.444,1096.46526442058,1096.46526442058
1976,"SPRING",282.418934984728,23.6045,1096.46226348674,1096.46226348674
1977,"SPRING",144.308851405072,12.0613,1096.4618358309,1096.4618358309
1978,"SPRING",398.84285775009,33.3351,1096.46516059676,1096.46516059676
1979,"SPRING",103.784829505355,8.6743,1096.46345532614,1096.46345532614
1980,"SPRING",176.91739229905,14.7867,1096.46298564961,1096.46298564961
1981,"SPRING",331.264363537025,27.687,1096.4617457183,1096.4617457183
1982,"SPRING",211.41575740264,17.6701,1096.46044675831,1096.46044675831
1983,"SPRING",144.711662510231,12.0949,1096.46844959637,1096.46844959637
1984,"SPRING",87.8885252904059,7.3457,1096.46221994372,1096.46221994372
1985,"SPRING",111.185134631316,7.0937,1467.37858425527,1467.37858425527
1986,"SPRING",177.312904967736,11.3128,1467.36532925302,1467.36532925302
1987,"SPRING",69.3699903046035,4.4259,1467.36461069169,1467.36461069169
1988,"SPRING",95.6338781202268,6.1016,1467.3573836408,1467.3573836408
1989,"SPRING",61.4298211231795,3.9193,1467.36716054345,1467.36716054345
1990,"SPRING",75.3760614909627,4.8091,1467.36315508022,1467.36315508022
1991,"SPRING",74.5770486852162,4.7581,1467.37035130023,1467.37035130023
1992,"SPRING",50.7063960487159,3.2351,1467.38264810101,1467.38264810101
1993,"SPRING",51.9769653398529,3.3162,1467.36521741309,1467.36521741309
1994,"SPRING",93.1319363843414,5.9419,1467.37636756494,1467.37636756494
1995,"SPRING",51.5332233363634,3.2879,1467.35981436064,1467.35981436064
1996,"SPRING",53.5254790817283,3.415,1467.36395554109,1467.36395554109
1997,"SPRING",122.121907370409,7.7915,1467.3735143478,1467.3735143478
1998,"SPRING",28.8524837571106,1.8408,1467.38829623591,1467.38829623591
1999,"SPRING",50.7538433202016,3.2488,1462.23354223718,1462.23354223718
2000,"SPRING",54.0309806434964,3.4472,1467.38746355002,1467.38746355002
2001,"SPRING",63.3371119530078,4.041,1467.36233489255,1467.36233489255
2002,"SPRING",57.9794452637651,3.6992,1467.3509208414,1467.3509208414
2003,"SPRING",29.2539732007614,1.8664,1467.40105019082,1467.40105019082
2004,"SPRING",27.1905499371889,1.7348,1467.3593461603,1467.3593461603
2005,"SPRING",45.6876814961055,2.9149,1467.38418114191,1467.38418114191
2006,"SPRING",51.7652349152449,3.3027,1467.36109592893,1467.36109592893
2007,"SPRING",119.938103997496,7.6522,1467.36760666861,1467.36760666861
2008,"SPRING",64.9892252380562,4.1464,1467.36506941096,1467.36506941096
2009,"SPRING",31.5406194090539,9.6241,227.725391559252,227.725391559252
2010,"SPRING",27.3866448953663,8.0532,240.071585150826,240.071585150826
2011,"SPRING",40.3826914309857,12.4863,223.415995378821,223.415995378821
2012,"SPRING",32.6037521890088,9.8137,232.226909208645,232.226909208645
2013,"SPRING",16.7292312453689,5.0451,231.59365018273,231.59365018273
2014,"SPRING",19.9922900322803,5.7412,248.2249361158,248.2249361158
2015,"SPRING",14.2978499449725,4.4351,222.379426506109,222.379426506109
2016,"SPRING",10.0372886811926,2.7224,268.692649176923,268.692649176923
2017,"SPRING",8.00706642643753,2.2954,248.830984858305,248.830984858305
2018,"SPRING",8.65755884129175,2.4423,254.483840694908,254.483840694908
2019,"SPRING",25.3894801085397,6.9862,263.423321813571,263.423321813571
2020,"SPRING",2.04366407982262,0.5617,263.83551358779,263.83551358779
