"YEAR","SEASON","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1968,"SPRING",14.0341702539169,1.2853,991.898409236514,991.898409236514
1969,"SPRING",11.7383561472185,1.0822,984.675304677372,984.675304677372
1970,"SPRING",18.6856731250196,1.7231,984.421863212789,984.421863212789
1971,"SPRING",38.0382481492069,3.4884,990.421056908808,990.421056908808
1972,"SPRING",39.188066747006,3.5898,991.650419160009,991.650419160009
1973,"SPRING",50.7478077005968,3.9924,1171.11030208889,1171.11030208889
1974,"SPRING",30.8233144631487,2.8377,986.207649263441,986.207649263441
1975,"SPRING",34.5013319545214,3.159,992.159922586938,992.159922586938
1976,"SPRING",69.4997550074681,5.3138,1207.91062906899,1207.91062906899
1977,"SPRING",30.0489463693144,2.3004,1206.24875540404,1206.24875540404
1978,"SPRING",83.6058271210164,7.6476,993.229603026,993.229603026
1979,"SPRING",20.1329930589714,1.5137,1230.05173145084,1230.05173145084
1980,"SPRING",31.1083690720866,2.3797,1207.23910879886,1207.23910879886
1981,"SPRING",63.8406971193021,4.6125,1284.08015434801,1284.08015434801
1982,"SPRING",46.251549581556,3.3421,1283.90681252973,1283.90681252973
1983,"SPRING",24.1275003738632,2.2068,993.325193667898,993.325193667898
1984,"SPRING",14.5345276235191,1.3308,992.164684664793,992.164684664793
1985,"SPRING",19.1756511192175,1.3923,1277.26431941518,1277.26431941518
1986,"SPRING",23.8719748717008,1.7339,1276.77921862281,1276.77921862281
1987,"SPRING",12.076401203631,0.8775,1276.22805739385,1276.22805739385
1988,"SPRING",13.840877552168,1.0059,1275.96953496054,1275.96953496054
1989,"SPRING",8.47839347868206,0.4873,1639.87143005993,1639.87143005993
1990,"SPRING",12.3178858885728,0.7069,1642.52169876543,1642.52169876543
1991,"SPRING",10.6469434437489,0.6108,1643.11451272903,1643.11451272903
1992,"SPRING",6.37153172669549,0.4648,1270.8114730412,1270.8114730412
1993,"SPRING",5.79232172527745,0.4235,1267.7264994752,1267.7264994752
1994,"SPRING",11.7595847791681,0.6747,1642.93534595645,1642.93534595645
1995,"SPRING",7.08397993852346,0.5156,1273.9293907144,1273.9293907144
1996,"SPRING",6.20724085429453,0.4529,1270.55439485417,1270.55439485417
1997,"SPRING",15.980294784795,1.1609,1276.54361140452,1276.54361140452
1998,"SPRING",2.92680180989793,0.2136,1270.22556643161,1270.22556643161
1999,"SPRING",6.27763004604341,0.4568,1274.26226927395,1274.26226927395
2000,"SPRING",5.79645691610605,0.4229,1270.64481345615,1270.64481345615
2001,"SPRING",8.84487530371923,0.6419,1277.9210630502,1277.9210630502
2002,"SPRING",7.46795163353063,0.542,1277.85085489495,1277.85085489495
2003,"SPRING",3.58639059132569,0.2056,1644.35340045024,1644.35340045024
2004,"SPRING",2.12717945252495,0.1544,1277.70689930372,1277.70689930372
2005,"SPRING",5.18255322814812,0.3761,1277.97214255467,1277.97214255467
2006,"SPRING",5.23636735909381,0.38,1277.99141028784,1277.99141028784
2007,"SPRING",11.8134707701635,0.8574,1277.82490904636,1277.82490904636
2008,"SPRING",6.52270657480247,0.4734,1277.84253798109,1277.84253798109
2009,"SPRING",4.56971668499658,1.4357,218.291891411616,218.291891411616
2010,"SPRING",2.83027063017983,0.9392,201.349087540442,201.349087540442
2011,"SPRING",5.41490846334686,1.7927,202.053241666027,202.053241666027
2012,"SPRING",3.35366285266531,1.0641,215.164256429406,215.164256429406
2013,"SPRING",1.953533095801,0.6398,205.334963394967,205.334963394967
2014,"SPRING",2.38029805583091,0.7334,224.556593377545,224.556593377545
2015,"SPRING",1.79896216044412,0.58,210.165889731745,210.165889731745
2016,"SPRING",1.0852146481983,0.3143,245.27987534149,245.27987534149
2017,"SPRING",0.771966808377028,0.2519,206.457645246934,206.457645246934
2018,"SPRING",0.822266197995706,0.2508,227.857335723966,227.857335723966
2019,"SPRING",2.056581546276,0.6457,218.504188675236,218.504188675236
2020,"SPRING",0.198367450110865,0.058,242.012845018732,242.012845018732
