"YEAR","SEASON","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1984,"FALL",51.0054622800966,59.96,-14.9341856569437,14.9341856569437
1985,"FALL",63.7070176597162,74.7062,-14.7232523408818,14.7232523408818
1986,"FALL",65.7777270545428,77.3559,-14.9674077160982,14.9674077160982
1987,"FALL",68.2629196516365,80.4548,-15.1537016416218,15.1537016416218
1988,"FALL",54.4964818045637,64.2155,-15.1350035356516,15.1350035356516
1989,"FALL",173.195602759327,202.9916,-14.6784385367043,14.6784385367043
1990,"FALL",74.3109345527551,87.4628,-15.0370962823566,15.0370962823566
1991,"FALL",139.771725264702,164.2405,-14.8981370218053,14.8981370218053
1992,"FALL",35.8438140980475,42.1497,-14.9606898790561,14.9606898790561
1993,"FALL",48.3760428133124,56.8589,-14.9191369982317,14.9191369982317
1994,"FALL",37.0259360577701,43.5242,-14.9302317842255,14.9302317842255
1995,"FALL",30.3937346772606,35.7411,-14.9613898921393,14.9613898921393
1996,"FALL",23.5850809069082,27.7294,-14.9455779536947,14.9455779536947
1997,"FALL",40.5457378508834,47.6592,-14.925685175405,14.925685175405
1998,"FALL",57.4349732292589,67.4958,-14.905856024732,14.905856024732
1999,"FALL",91.2546185048436,107.2823,-14.939725840289,14.939725840289
2000,"FALL",104.685567626971,123.2634,-15.0716533642826,15.0716533642826
2001,"FALL",82.8922403473771,97.4644,-14.9512639000732,14.9512639000732
2002,"FALL",191.174630305422,224.6864,-14.9149079314892,14.9149079314892
2003,"FALL",54.3997728815007,64.0218,-15.0292980180178,15.0292980180178
2004,"FALL",66.8802155183049,78.6854,-15.0030176903149,15.0030176903149
2005,"FALL",30.97339475416,36.427,-14.971326888956,14.971326888956
2006,"FALL",142.950472333349,168.0116,-14.9163079612663,14.9163079612663
2007,"FALL",132.088239965163,155.2119,-14.8981231689303,14.8981231689303
2008,"FALL",116.16327752515,136.4991,-14.8981366725858,14.8981366725858
2009,"FALL",183.924976683455,75.0123,145.193090577751,145.193090577751
2010,"FALL",108.158282785506,49.3596,119.123094161027,119.123094161027
2011,"FALL",117.159811965688,41.5169,182.197880780327,182.197880780327
2012,"FALL",136.831354192658,78.6733,73.9234965263412,73.9234965263412
2013,"FALL",53.2681841801176,20.8063,156.019494961226,156.019494961226
2014,"FALL",138.930278744758,39.7864,249.190373456152,249.190373456152
2015,"FALL",491.805347180333,180.1286,173.030128019833,173.030128019833
2016,"FALL",159.621196334599,81.4548,95.9629099016862,95.9629099016862
2017,"FALL",0.0421502748930971,0.1026,-58.9178607279755,58.9178607279755
2018,"FALL",170.267004847419,51.3243,231.747349398665,231.747349398665
2019,"FALL",36.7493764893317,27.341,34.4112376626009,34.4112376626009
