"YEAR","SEASON","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1984,"FALL",1.75453665373872,2.0626,-14.9356805130068,14.9356805130068
1985,"FALL",3.24033426337136,3.7998,-14.7235574669361,14.7235574669361
1986,"FALL",2.23429882773382,2.6276,-14.9680762774462,14.9680762774462
1987,"FALL",2.28574009692373,2.694,-15.1544136256969,15.1544136256969
1988,"FALL",1.7343855617708,2.0437,-15.1350216875861,15.1350216875861
1989,"FALL",6.01386548448471,7.0485,-14.6787900335574,14.6787900335574
1990,"FALL",3.29928664728721,3.8832,-15.0369116376387,15.0369116376387
1991,"FALL",5.05944674055042,5.9452,-14.8986284641321,14.8986284641321
1992,"FALL",1.77878803383818,2.0917,-14.959696235685,14.959696235685
1993,"FALL",1.69893763027847,1.9968,-14.9169856631373,14.9169856631373
1994,"FALL",1.33599357117745,1.5705,-14.9319598104142,14.9319598104142
1995,"FALL",1.24665298804603,1.466,-14.9622791237363,14.9622791237363
1996,"FALL",0.809092901889411,0.9513,-14.9487120898338,14.9487120898338
1997,"FALL",1.73268858272022,2.0367,-14.9266665331067,14.9266665331067
1998,"FALL",2.3009665323951,2.704,-14.9050838611278,14.9050838611278
1999,"FALL",3.45303611354951,4.0595,-14.9393739734079,14.9393739734079
2000,"FALL",5.28600197410167,6.2176,-14.983241538509,14.983241538509
2001,"FALL",2.92069908405564,3.4341,-14.950086367443,14.950086367443
2002,"FALL",8.3818761195644,9.8512,-14.9151766326498,14.9151766326498
2003,"FALL",2.17791000113475,2.5631,-15.0282860155768,15.0282860155768
2004,"FALL",3.38633932693149,3.9841,-15.0036563607467,15.0036563607467
2005,"FALL",0.965056113095797,1.135,-14.9730296831897,14.9730296831897
2006,"FALL",3.26854717180334,3.8416,-14.9170353029119,14.9170353029119
2007,"FALL",4.7063459321058,5.5303,-14.8989036380341,14.8989036380341
2008,"FALL",3.99502366540928,4.6944,-14.8980984703203,14.8980984703203
2009,"FALL",5.06746029870614,4.0704,24.4953886278042,24.4953886278042
2010,"FALL",5.88363319373863,4.8779,20.6181593255013,20.6181593255013
2011,"FALL",3.07110935853458,2.4332,26.21688963236,26.21688963236
2012,"FALL",6.16261405190283,5.1141,20.5024159070576,20.5024159070576
2013,"FALL",2.06856767260905,1.7166,20.5037674827598,20.5037674827598
2014,"FALL",2.72711115293958,2.2632,20.498018422569,20.498018422569
2015,"FALL",13.0006176723668,10.7889,20.4999367161324,20.4999367161324
2016,"FALL",7.09500937290807,5.888,20.4994798387919,20.4994798387919
2017,"FALL",0.0063386682956628,0.0199,-68.1473954991819,68.1473954991819
2018,"FALL",5.45861201213914,4.5231,20.682983178332,20.682983178332
2019,"FALL",2.91446680896825,2.4186,20.5022247981581,20.5022247981581
