"YEAR","SEASON","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1977,"SPRING",30.2677485820452,42.4555,-28.7071202034007,28.7071202034007
1978,"SPRING",28.1227468631788,39.853,-29.4338020646406,29.4338020646406
1979,"SPRING",15.3740149572507,22.4157,-31.4140760393356,31.4140760393356
1980,"SPRING",6.40049701989422,9.3112,-31.2602347721645,31.2602347721645
1981,"SPRING",10.085027244174,14.72,-31.4875866564264,31.4875866564264
1982,"SPRING",5.39717218347355,7.8769,-31.4810117752726,31.4810117752726
1983,"SPRING",0.550508855692802,0.8044,-31.5627976513175,31.5627976513175
1984,"SPRING",5.85302765149991,8.5236,-31.3315072093961,31.3315072093961
1985,"SPRING",10.1731854426959,14.6727,-30.6658935117879,30.6658935117879
1986,"SPRING",8.05526443555273,11.7453,-31.417124845234,31.417124845234
1987,"SPRING",7.55109490087077,10.8228,-30.2297473771042,30.2297473771042
1988,"SPRING",17.7745506974172,25.4102,-30.0495442876591,30.0495442876591
1989,"SPRING",1.14957357530829,1.6323,-29.5733887576864,29.5733887576864
1990,"SPRING",0.859344915304149,1.1724,-26.702071366074,26.702071366074
1991,"SPRING",8.65051480805612,12.6132,-31.4169694601202,31.4169694601202
1992,"SPRING",4.63696095478001,6.786,-31.6687156678454,31.6687156678454
1993,"SPRING",2.0114912074109,2.9291,-31.3273289607423,31.3273289607423
1994,"SPRING",1.05888132319695,1.537,-31.1072658947984,31.1072658947984
1995,"SPRING",1.99581522156773,2.9038,-31.2688469740433,31.2688469740433
1996,"SPRING",0.362904867014199,0.5369,-32.4073631934814,32.4073631934814
1997,"SPRING",0.739719342226595,0.9091,-18.6316860382142,18.6316860382142
1998,"SPRING",27.4213060059859,40.0413,-31.5174432249056,31.5174432249056
1999,"SPRING",1.16896649145787,1.7025,-31.3382383872027,31.3382383872027
2000,"SPRING",4.60328278173439,6.7057,-31.3526882840808,31.3526882840808
2001,"SPRING",8.95103130248483,13.0272,-31.2896761968433,31.2896761968433
2002,"SPRING",106.017288976231,154.8632,-31.5413287493539,31.5413287493539
2003,"SPRING",4.11235521235521,6.006,-31.529217243503,31.529217243503
2004,"SPRING",39.5803505022273,57.5797,-31.2598875954072,31.2598875954072
2005,"SPRING",13.1534889302448,19.2203,-31.5646013316921,31.5646013316921
2006,"SPRING",3.91448076169028,5.7091,-31.434363355165,31.434363355165
2007,"SPRING",7.28384352548232,10.6018,-31.2961617321368,31.2961617321368
2008,"SPRING",6.62564637146577,9.6816,-31.5645516085588,31.5645516085588
2009,"SPRING",9.08916536734572,9.5799,-5.12254441752295,5.12254441752295
2010,"SPRING",26.9971843505,27.2971,-1.09870883537092,1.09870883537092
2011,"SPRING",19.8481054247003,11.3087,75.5118220900746,75.5118220900746
2012,"SPRING",45.0957333144379,26.4648,70.398919751662,70.398919751662
2013,"SPRING",23.0331746596996,18.6857,23.2663194833459,23.2663194833459
2014,"SPRING",60.0498579818257,92.3081,-34.9462745069764,34.9462745069764
2015,"SPRING",15.7371452554161,10.1922,54.4038113009566,54.4038113009566
2016,"SPRING",136.951890598365,114.9218,19.169635872711,19.169635872711
2017,"SPRING",45.238514693663,41.2736,9.60641837315615,9.60641837315615
2018,"SPRING",11.2394537145377,12.426,-9.54889977033918,9.54889977033918
2019,"SPRING",16.370537939956,13.8754,17.9824577306309,17.9824577306309
2020,"SPRING",60.9977264372759,51.6467,18.1057578456627,18.1057578456627
