"YEAR","SEASON","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1977,"SPRING",3.17639162671006,4.4792,-29.0857379284235,29.0857379284235
1978,"SPRING",2.46183973444681,3.4887,-29.4338941598071,29.4338941598071
1979,"SPRING",1.33602065046856,1.9453,-31.3205854897158,31.3205854897158
1980,"SPRING",0.898029595224671,1.3064,-31.259216532098,31.259216532098
1981,"SPRING",0.794604795019228,1.1598,-31.4877741835465,31.4877741835465
1982,"SPRING",0.797478158574049,1.1639,-31.4822443015681,31.4822443015681
1983,"SPRING",0.0195080003608432,0.0285,-31.5508759268661,31.5508759268661
1984,"SPRING",0.351495219321184,0.5119,-31.335178878456,31.335178878456
1985,"SPRING",0.554800493758625,0.8002,-30.6672714623063,30.6672714623063
1986,"SPRING",0.891269329717121,1.2995,-31.4144417301177,31.4144417301177
1987,"SPRING",0.84588623045489,1.2124,-30.2304329878844,30.2304329878844
1988,"SPRING",0.878597962300968,1.256,-30.047932937821,30.047932937821
1989,"SPRING",0.0846499145546008,0.1202,-29.5757782407647,29.5757782407647
1990,"SPRING",0.275981709637523,0.3945,-30.0426591539867,30.0426591539867
1991,"SPRING",0.51071780147662,0.7447,-31.4196587247724,31.4196587247724
1992,"SPRING",0.271341465465344,0.3971,-31.6692355917038,31.6692355917038
1993,"SPRING",0.228760009420631,0.3336,-31.4268556892592,31.4268556892592
1994,"SPRING",0.0598478534122914,0.0849,-29.5078287252163,29.5078287252163
1995,"SPRING",0.151922826337542,0.2195,-30.7868672721904,30.7868672721904
1996,"SPRING",0.0208246841685061,0.03,-30.5843861049797,30.5843861049797
1997,"SPRING",0.0791140882609619,0.1121,-29.4254342007477,29.4254342007477
1998,"SPRING",0.597513652506031,0.8725,-31.5170598846956,31.5170598846956
1999,"SPRING",0.0837054147222287,0.1217,-31.2198728658761,31.2198728658761
2000,"SPRING",0.223977880184332,0.3263,-31.3582959900914,31.3582959900914
2001,"SPRING",0.546624035844554,0.7955,-31.2854763237518,31.2854763237518
2002,"SPRING",9.21495516218372,13.4607,-31.5417833977154,31.5417833977154
2003,"SPRING",0.19230508950509,0.2809,-31.5396619775402,31.5396619775402
2004,"SPRING",1.95177871072801,2.8374,-31.212422967223,31.212422967223
2005,"SPRING",0.376302146292949,0.5499,-31.568985944181,31.568985944181
2006,"SPRING",1.43983589849715,2.1013,-31.4788036692928,31.4788036692928
2007,"SPRING",0.249052228707747,0.3626,-31.3148845262694,31.3148845262694
2008,"SPRING",0.987153529302359,1.4425,-31.566479771067,31.566479771067
2009,"SPRING",0.751133522906389,1.4169,-46.9875416115189,46.9875416115189
2010,"SPRING",3.98517901115237,6.5933,-39.5571411713046,39.5571411713046
2011,"SPRING",0.682749239032745,1.3086,-47.8259789826727,47.8259789826727
2012,"SPRING",1.84735314912657,3.4747,-46.8341684425542,46.8341684425542
2013,"SPRING",1.60942702987183,3.0847,-47.8254925966277,47.8254925966277
2014,"SPRING",16.8637258609536,33.0125,-48.9171499857521,48.9171499857521
2015,"SPRING",1.5518572810001,2.9743,-47.8244534512287,47.8244534512287
2016,"SPRING",16.561244391856,28.4357,-41.7589706184267,41.7589706184267
2017,"SPRING",2.94034841786641,5.6339,-47.8097158652726,47.8097158652726
2018,"SPRING",1.24779049024097,2.3804,-47.5806381179228,47.5806381179228
2019,"SPRING",2.59328120734889,4.9686,-47.8066013092442,47.8066013092442
2020,"SPRING",4.9941373667455,8.1332,-38.595665091901,38.595665091901
