"YEAR","SEASON","AGE","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1973,"FALL",0,24.377430651724,5.506,342.743019464657,342.743019464657
1973,"FALL",1,28.8979518047112,6.7466,328.333557713681,328.333557713681
1973,"FALL",2,34.8552504791446,7.9754,337.034512114058,337.034512114058
1973,"FALL",3,13.2550482160142,3.0408,335.90661062925,335.90661062925
1973,"FALL",4,1.44617867172439,0.4469,223.602298439111,223.602298439111
1973,"FALL",5,1.73736052505775,0.2994,480.280736492235,480.280736492235
1973,"FALL",6,0.406156526722488,0.1097,270.242959637637,270.242959637637
1973,"FALL",7,0.0374289315347178,0.0068,450.425463745849,450.425463745849
1973,"FALL",10,0.0892930362956348,0.0197,353.264143632664,353.264143632664
1973,"FALL",11,0.122116430227031,0.0313,290.148339383486,290.148339383486
1973,"FALL",13,0.11947167988863,0.0119,903.963696543111,903.963696543111
1975,"FALL",0,76.1186384993649,17.4477,336.26746504906,336.26746504906
1975,"FALL",1,71.2142332176349,16.5716,329.736616969001,329.736616969001
1975,"FALL",2,133.276084101808,30.5178,336.715897285546,336.715897285546
1975,"FALL",3,31.8075402568533,7.2413,339.251795352399,339.251795352399
1975,"FALL",4,10.004529694857,2.278,339.180408027083,339.180408027083
1975,"FALL",5,3.75579828687507,0.8738,329.823562242512,329.823562242512
1975,"FALL",6,1.95063534661197,0.4104,375.301010383034,375.301010383034
1975,"FALL",7,0.285872532663244,0.0892,220.484902088839,220.484902088839
1975,"FALL",8,0.13803035303668,0.0535,158.000659881645,158.000659881645
1975,"FALL",9,0.193089880730499,0.0205,841.901857221947,841.901857221947
1976,"FALL",0,34.5176206711694,7.7731,344.065053468621,344.065053468621
1976,"FALL",1,30.3436790170412,7.226,319.923595585957,319.923595585957
1976,"FALL",2,69.4343463217702,15.7714,340.254805038045,340.254805038045
1976,"FALL",3,71.2653316536056,16.5343,331.015111940667,331.015111940667
1976,"FALL",4,27.3669816025325,6.2235,339.736187073713,339.736187073713
1976,"FALL",5,3.92263905713206,0.9615,307.970780772965,307.970780772965
1976,"FALL",6,3.69781437839704,0.7651,383.311250607377,383.311250607377
1976,"FALL",7,1.38130995058157,0.3011,358.754550176542,358.754550176542
1976,"FALL",10,0,0.0092,-100,100
1977,"FALL",0,13.3920577436039,3.0803,334.764722384311,334.764722384311
1977,"FALL",1,24.4954910724199,5.5169,344.008248697999,344.008248697999
1977,"FALL",2,21.5335981468924,5.3615,301.633836554926,301.633836554926
1977,"FALL",3,39.7968841888144,9.1868,333.196370758201,333.196370758201
1977,"FALL",4,26.8478843796558,5.817,361.541763446033,361.541763446033
1977,"FALL",5,4.76418055132293,0.9959,378.37941071623,378.37941071623
1977,"FALL",6,0.372914037967599,0.1809,106.143746803537,106.143746803537
1977,"FALL",7,0.169971404015509,0.0419,305.659675454675,305.659675454675
1977,"FALL",9,0.116657386829492,0.0182,540.974652909298,540.974652909298
1978,"FALL",0,59.5098297119398,13.734,333.302968632152,333.302968632152
1978,"FALL",1,46.3761543387733,10.5631,339.039243581651,339.039243581651
1978,"FALL",2,15.3744831839739,3.6418,322.167147673511,322.167147673511
1978,"FALL",3,9.68877960113486,2.2905,322.998454535467,322.998454535467
1978,"FALL",4,14.5886295424036,3.2791,344.897366423825,344.897366423825
1978,"FALL",5,19.7337588106622,4.4424,344.213911639253,344.213911639253
1978,"FALL",6,4.0639421116756,0.9353,334.50680120556,334.50680120556
1978,"FALL",7,0.560553725787378,0.1193,369.869007365782,369.869007365782
1978,"FALL",8,0.741519643345436,0.1855,299.741047625572,299.741047625572
1979,"FALL",0,4.87660806297755,1.0438,367.197553456366,367.197553456366
1979,"FALL",1,111.739423342429,25.333,341.082474805308,341.082474805308
1979,"FALL",2,70.1120223217562,16.755,318.454326002723,318.454326002723
1979,"FALL",3,8.58599369992482,1.8878,354.814794995488,354.814794995488
1979,"FALL",4,3.90939327781784,0.8787,344.906484331153,344.906484331153
1979,"FALL",5,4.93437852748161,1.0567,366.961155245728,366.961155245728
1979,"FALL",6,5.94538822645532,1.3335,345.848385935907,345.848385935907
1979,"FALL",7,1.13555799828739,0.2358,381.576759239773,381.576759239773
1979,"FALL",8,0.0919947312062161,0.0164,460.943482964732,460.943482964732
1979,"FALL",9,0.0572166343715423,0.0152,276.425226128567,276.425226128567
1979,"FALL",12,0.0304886863488327,0.0022,1285.84937949239,1285.84937949239
1980,"FALL",0,25.0833528961851,5.6575,343.364611510121,343.364611510121
1980,"FALL",1,16.4896354946709,3.764,338.088084343011,338.088084343011
1980,"FALL",2,54.64953965723,12.7464,328.74489783178,328.74489783178
1980,"FALL",3,54.0351226192592,12.5202,331.583541950282,331.583541950282
1980,"FALL",4,12.3493770493069,2.8771,329.230025001108,329.230025001108
1980,"FALL",5,4.89671662593809,1.0777,354.367321697884,354.367321697884
1980,"FALL",6,3.97029812636669,0.8886,346.803750435144,346.803750435144
1980,"FALL",7,8.24336255590407,1.7128,381.279925029429,381.279925029429
1980,"FALL",8,1.40239521966621,0.4021,248.767774102516,248.767774102516
1980,"FALL",9,0.217905222491464,0.028,678.232937469516,678.232937469516
1980,"FALL",10,0.316203054080731,0.0471,571.344063865672,571.344063865672
1981,"FALL",0,6.19420277702251,1.4223,335.50606602141,335.50606602141
1981,"FALL",1,32.6281380949016,7.6265,327.825845340609,327.825845340609
1981,"FALL",2,20.8934080864549,4.7776,337.320162559757,337.320162559757
1981,"FALL",3,24.570484792533,5.4659,349.52313054635,349.52313054635
1981,"FALL",4,19.8478621143743,4.5391,337.264261954448,337.264261954448
1981,"FALL",5,2.78956291629431,0.7177,288.680913514603,288.680913514603
1981,"FALL",6,1.66772237338851,0.3735,346.512014294113,346.512014294113
1981,"FALL",7,1.45649115476094,0.3235,350.229105026564,350.229105026564
1981,"FALL",8,1.93548987776589,0.449,331.066787921133,331.066787921133
1981,"FALL",9,0.160481990367124,0.0622,158.009630815313,158.009630815313
1982,"FALL",0,42.8743445845842,9.9648,330.257953843371,330.257953843371
1982,"FALL",1,66.7559464710333,15.2684,337.216384631221,337.216384631221
1982,"FALL",2,37.2467556782289,8.5314,336.584331741905,336.584331741905
1982,"FALL",3,13.8038894428731,3.0824,347.829270791369,347.829270791369
1982,"FALL",4,13.793896011816,3.1926,332.058385385454,332.058385385454
1982,"FALL",5,13.1171731874129,2.9364,346.709344347258,346.709344347258
1982,"FALL",6,1.62133698568353,0.3518,360.868955566666,360.868955566666
1982,"FALL",7,0.240051119043068,0.0928,158.675774830892,158.675774830892
1982,"FALL",8,0.0914682869555059,0.1148,-20.3237918506046,20.3237918506046
1982,"FALL",9,0.462824192804095,0.1042,344.169090982816,344.169090982816
1983,"FALL",0,5.78446216068171,1.3291,335.216474357212,335.216474357212
1983,"FALL",1,174.072091402037,40.0738,334.378799619795,334.378799619795
1983,"FALL",2,120.014847691968,27.7332,332.747925562026,332.747925562026
1983,"FALL",3,5.8324577497695,1.1413,411.036340118242,411.036340118242
1983,"FALL",4,2.94694323169591,0.5892,400.160086845877,400.160086845877
1983,"FALL",5,2.60759003675611,0.6035,332.07788512943,332.07788512943
1983,"FALL",6,1.27938053551731,0.2707,372.619333401297,372.619333401297
1983,"FALL",7,0.28587176397798,0.07,308.388234254257,308.388234254257
1983,"FALL",8,0,0.0271,-100,100
1983,"FALL",9,0,0.0091,-100,100
1984,"FALL",0,36.6175019638927,8.393,336.286214272521,336.286214272521
1984,"FALL",1,26.6589307548063,6,344.315512580105,344.315512580105
1984,"FALL",2,31.8329210202229,7.3298,334.294537643905,334.294537643905
1984,"FALL",3,8.95055044689265,2.2319,301.028291898949,301.028291898949
1984,"FALL",4,2.21527607620961,0.507,336.938082092625,336.938082092625
1984,"FALL",5,1.0977163255192,0.1861,489.852942245677,489.852942245677
1984,"FALL",6,0.373694500618365,0.1021,266.008325777047,266.008325777047
1984,"FALL",9,0.0548704956097405,0.0091,502.972479227918,502.972479227918
1985,"FALL",0,153.19436530372,35.2574,334.502729366657,334.502729366657
1985,"FALL",1,171.658976820868,39.6357,333.091825856154,333.091825856154
1985,"FALL",2,16.1418875575479,3.6013,348.223906854412,348.223906854412
1985,"FALL",3,29.734107335032,6.7198,342.485004539302,342.485004539302
1985,"FALL",4,6.17284944536474,1.3461,358.572873142021,358.572873142021
1985,"FALL",5,0.395380738464773,0.0993,298.167913861805,298.167913861805
1985,"FALL",6,0.0195004015846135,0.0023,747.843547157107,747.843547157107
1985,"FALL",7,0.104026159414514,0.022,372.846179156882,372.846179156882
1986,"FALL",0,34.6890167365731,8.406,312.669720872865,312.669720872865
1986,"FALL",1,349.903229820173,79.918,337.827810781268,337.827810781268
1986,"FALL",2,94.3941980461101,21.8795,331.427583107978,331.427583107978
1986,"FALL",3,13.3187876637805,2.9739,347.855935430933,347.855935430933
1986,"FALL",4,12.4987889171282,2.8369,340.579115130185,340.579115130185
1986,"FALL",5,1.83884299882678,0.3484,427.796497941098,427.796497941098
1987,"FALL",0,7.96319626639485,1.8237,336.650560201505,336.650560201505
1987,"FALL",1,13.414846206257,3.2975,306.818687073753,306.818687073753
1987,"FALL",2,180.543687173248,41.4954,335.093256537468,335.093256537468
1987,"FALL",3,44.5162741980867,10.0586,342.569285965112,342.569285965112
1987,"FALL",4,5.13664294068541,1.0918,370.474715212073,370.474715212073
1987,"FALL",5,3.78414828279046,0.855,342.590442431632,342.590442431632
1987,"FALL",6,0.226126513972159,0.0802,181.953259316906,181.953259316906
1987,"FALL",7,0.0833195031570177,0.0183,355.297831459113,355.297831459113
1988,"FALL",0,164.355371727475,37.9116,333.522646703053,333.522646703053
1988,"FALL",1,18.167471264516,3.917,363.81085689344,363.81085689344
1988,"FALL",2,27.3218445858028,6.0845,349.040095090851,349.040095090851
1988,"FALL",3,73.8483256156281,17.3532,325.560274852063,325.560274852063
1988,"FALL",4,5.89867068028168,1.2662,365.856158606988,365.856158606988
1988,"FALL",5,0.814220587477926,0.1662,389.904083921737,389.904083921737
1989,"FALL",0,65.3439188754504,15.0491,334.204828697068,334.204828697068
1989,"FALL",1,234.122284698072,53.922,334.186945399043,334.186945399043
1989,"FALL",2,54.1885928430081,12.5997,330.07843712952,330.07843712952
1989,"FALL",3,59.2863154499125,13.4654,340.286329777894,340.286329777894
1989,"FALL",4,6.59992983374891,1.3407,392.274918605871,392.274918605871
1989,"FALL",5,0.359352268776045,0.0672,434.750399964352,434.750399964352
1989,"FALL",6,0.053937754445452,0.0084,542.116124350619,542.116124350619
1990,"FALL",0,74.2895376954157,16.9855,337.370331726565,337.370331726565
1990,"FALL",1,92.408092363162,21.1812,336.274112718647,336.274112718647
1990,"FALL",2,235.403671464218,54.5088,331.86361003034,331.86361003034
1990,"FALL",3,60.6145236948519,13.838,338.029510730249,338.029510730249
1990,"FALL",4,28.5263647852749,6.2661,355.249114844558,355.249114844558
1990,"FALL",5,2.91253921068608,0.7146,307.576155987417,307.576155987417
1991,"FALL",0,100.147197051774,22.8504,338.273277718437,338.273277718437
