"YEAR","SEASON","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1968,"FALL",152.410761638437,8.0397,1795.72697536521,1795.72697536521
1969,"FALL",296.576758275901,15.6444,1795.73750527921,1795.73750527921
1970,"FALL",315.068624630985,16.6199,1795.73116944738,1795.73116944738
1971,"FALL",569.705482780797,30.052,1795.7323398802,1795.7323398802
1972,"FALL",926.881158675601,48.8931,1795.7299878216,1795.7299878216
1973,"FALL",458.666412993556,24.1947,1795.7309369141,1795.7309369141
1974,"FALL",502.315342482004,26.4972,1795.72989780808,1795.72989780808
1975,"FALL",1431.35334475008,75.504,1795.73180857978,1795.73180857978
1976,"FALL",1053.36201242781,55.5649,1795.7327601198,1795.7327601198
1977,"FALL",572.505887820767,30.1997,1795.73369212531,1795.73369212531
1978,"FALL",742.956331015857,39.191,1795.73200738909,1795.73200738909
1979,"FALL",920.51599882643,48.5573,1795.73143240343,1795.73143240343
1980,"FALL",790.921117700866,41.7212,1795.72955164489,1795.72955164489
1981,"FALL",488.274297550416,25.7565,1795.73232989892,1795.73232989892
1982,"FALL",827.293464671733,43.6398,1795.73156767843,1795.73156767843
1983,"FALL",1362.03414846825,71.8474,1795.73199373707,1795.73199373707
1984,"FALL",469.367563735741,24.7592,1795.72992558621,1795.72992558621
1985,"FALL",1643.29144223973,86.6838,1795.73073889208,1795.73073889208
1986,"FALL",2205.92303065101,116.3626,1795.73198832873,1795.73198832873
1987,"FALL",1113.17952168231,58.7203,1795.73200695895,1795.73200695895
1988,"FALL",1264.42730802398,66.6987,1795.73006374035,1795.73006374035
1989,"FALL",1828.48116032374,96.4525,1795.7322623299,1795.7322623299
1990,"FALL",2151.54969099605,113.4944,1795.7320281847,1795.7320281847
1991,"FALL",1884.51666081631,99.2123,1799.47885576316,1799.47885576316
1992,"FALL",1922.38920173338,101.4062,1795.73142641513,1795.73142641513
1993,"FALL",1768.37703751927,93.282,1795.73233584107,1795.73233584107
1994,"FALL",1570.71150004248,82.8552,1795.73074477219,1795.73074477219
1995,"FALL",2497.64821484184,131.7511,1795.73234291163,1795.73234291163
1996,"FALL",1183.04029404124,62.4055,1795.73081545896,1795.73081545896
1997,"FALL",1260.96832369869,66.5162,1795.73115075529,1795.73115075529
1998,"FALL",4875.88491087171,257.2033,1795.73186303275,1795.73186303275
1999,"FALL",3389.93171120568,178.8192,1795.73139305269,1795.73139305269
2000,"FALL",3081.15864527219,162.5314,1795.7313142397,1795.7313142397
2001,"FALL",1683.15222228989,88.7864,1795.73202910568,1795.73202910568
2002,"FALL",1950.69268176568,102.8992,1795.73163033889,1795.73163033889
2003,"FALL",2296.71169039731,121.1517,1795.73211964612,1795.73211964612
2004,"FALL",705.130573004605,37.1957,1795.7314232683,1795.7314232683
2005,"FALL",292.583165970145,15.4338,1795.72993021903,1795.72993021903
2006,"FALL",1279.71844907853,67.5053,1795.73033388272,1795.73033388272
2007,"FALL",1565.36974912748,82.5734,1795.73125138056,1795.73125138056
2008,"FALL",1303.166735219,68.7422,1795.73033045058,1795.73033045058
2009,"FALL",563.495843475768,111.0881,407.251310874674,407.251310874674
2010,"FALL",980.599670018638,197.261,397.107725307404,397.107725307404
2011,"FALL",608.8549159921,122.0937,398.678405185607,398.678405185607
2012,"FALL",1258.52071916697,254.6516,394.212767234515,394.212767234515
2013,"FALL",937.804447504335,206.4618,354.226616015328,354.226616015328
2014,"FALL",886.644785055946,197.7652,348.332054909532,348.332054909532
2015,"FALL",770.041077786785,203.3293,278.716239020537,278.716239020537
2016,"FALL",999.970862243337,221.6461,351.156533881416,351.156533881416
2017,"FALL",910.534288390034,189.9084,379.459722892739,379.459722892739
2018,"FALL",824.245163751027,179.5898,358.959898474762,358.959898474762
2019,"FALL",708.714905838827,161.4115,339.073365800347,339.073365800347
