"YEAR","SEASON","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1968,"FALL",42.329077881715,2.2774,1758.65802589422,1758.65802589422
1969,"FALL",44.4827752340052,2.4069,1748.13557829595,1748.13557829595
1970,"FALL",56.680025043898,3.0264,1772.85306119145,1772.85306119145
1971,"FALL",50.1651216386582,2.6698,1778.98425495011,1778.98425495011
1972,"FALL",109.318346811666,5.7849,1789.71886828927,1789.71886828927
1973,"FALL",77.7577316711207,4.1208,1786.95718479714,1786.95718479714
1974,"FALL",64.7940067832175,3.4462,1780.15805186053,1780.15805186053
1975,"FALL",152.987295446384,8.0902,1791.01994322,1791.01994322
1976,"FALL",212.75744107486,11.2488,1791.3790010922,1791.3790010922
1977,"FALL",127.087819552595,6.7208,1790.96267635691,1790.96267635691
1978,"FALL",119.564907537667,6.3216,1791.37097471632,1791.37097471632
1979,"FALL",116.870706642251,6.1792,1791.35659377024,1791.35659377024
1980,"FALL",136.654170269366,7.2251,1791.38102267603,1791.38102267603
1981,"FALL",85.3922874861093,4.5175,1790.25539537597,1790.25539537597
1982,"FALL",118.779189424978,6.2821,1790.75610743188,1790.75610743188
1983,"FALL",165.595507930592,8.7556,1791.30965245776,1791.30965245776
1984,"FALL",63.4839125664176,3.3578,1790.64007881403,1790.64007881403
1985,"FALL",156.594967840954,8.2803,1791.17505212316,1791.17505212316
1986,"FALL",246.620070127958,13.0392,1791.3742417323,1791.3742417323
1987,"FALL",185.162379846317,9.7899,1791.36129936279,1791.36129936279
1988,"FALL",114.360373092517,6.0468,1791.25443362633,1791.25443362633
1989,"FALL",199.211221429093,10.5331,1791.28766867393,1791.28766867393
1990,"FALL",295.19265136469,15.6073,1791.37551892185,1791.37551892185
1991,"FALL",199.009570763045,10.5217,1791.42031005489,1791.42031005489
1992,"FALL",193.793834194468,10.2462,1791.37274496367,1791.37274496367
1993,"FALL",141.872490599667,7.501,1791.38102385905,1791.38102385905
1994,"FALL",129.422457866593,6.8436,1791.1458569553,1791.1458569553
1995,"FALL",243.882545471578,12.8947,1791.33942993306,1791.33942993306
1996,"FALL",143.114990900193,7.5667,1791.37921286945,1791.37921286945
1997,"FALL",107.007594997339,5.6586,1791.06130486938,1791.06130486938
1998,"FALL",357.642294783143,18.9091,1791.3766111721,1791.3766111721
1999,"FALL",210.811285182457,11.1474,1791.12515189602,1791.12515189602
2000,"FALL",255.468613261737,13.507,1791.37938299946,1791.37938299946
2001,"FALL",157.509114407848,8.3277,1791.38795114915,1791.38795114915
2002,"FALL",151.080716121496,7.9879,1791.36964811147,1791.36964811147
2003,"FALL",156.844201535872,8.2926,1791.37546168719,1791.37546168719
2004,"FALL",61.9954871285491,3.2778,1791.37492002407,1791.37492002407
2005,"FALL",32.4531716957581,1.7159,1791.32068860412,1791.32068860412
2006,"FALL",69.8532792500148,3.6933,1791.35134568042,1791.35134568042
2007,"FALL",121.853994149447,6.4426,1791.37916601135,1791.37916601135
2008,"FALL",99.7461855817772,5.2737,1791.38907373907,1791.38907373907
2009,"FALL",31.6834751641349,6.9349,356.869964442673,356.869964442673
2010,"FALL",69.2843357200479,14.1662,389.082010137142,389.082010137142
2011,"FALL",48.8481291272755,9.975,389.705555160657,389.705555160657
2012,"FALL",99.4943251044138,20.4325,386.941515254686,386.941515254686
2013,"FALL",79.5720627774268,16.7467,375.150702988808,375.150702988808
2014,"FALL",88.1249442453694,18.7679,369.551437536269,369.551437536269
2015,"FALL",91.6183869528956,19.4895,370.091007736964,370.091007736964
2016,"FALL",96.7105720432816,21.5068,349.674391556538,349.674391556538
2017,"FALL",72.3657579990635,15.7612,359.138631570334,359.138631570334
2018,"FALL",60.149173307063,13.2514,353.908064861547,353.908064861547
2019,"FALL",66.3096663495508,14.1607,368.265455447476,368.265455447476
