"YEAR","SEASON","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1968,"SPRING",20.6756276939501,0.5238,3847.23705497329,3847.23705497329
1969,"SPRING",249.808502587741,6.3281,3847.60674748725,3847.60674748725
1970,"SPRING",892.789346918593,22.616,3847.60057887599,3847.60057887599
1971,"SPRING",230.272395966005,5.8332,3847.61701923481,3847.61701923481
1972,"SPRING",1590.10094519672,40.2801,3847.60922936319,3847.60922936319
1973,"SPRING",1751.97694113825,18.8054,9216.35030968898,9216.35030968898
1974,"SPRING",4122.31532883584,44.2481,9216.3668696189,9216.3668696189
1975,"SPRING",12954.820256438,139.0546,9216.35505509203,9216.35505509203
1976,"SPRING",5195.1952004541,55.7642,9216.36282857837,9216.36282857837
1977,"SPRING",1827.36350607953,19.6146,9216.34346904617,9216.34346904617
1978,"SPRING",723.679230953337,7.7678,9216.39886394265,9216.39886394265
1979,"SPRING",2274.84080459554,24.4177,9216.35987253319,9216.35987253319
1980,"SPRING",3098.95124278767,33.2636,9216.34351900477,9216.34351900477
1981,"SPRING",2133.71013192433,22.9028,9216.37237335316,9216.37237335316
1982,"SPRING",783.805357022864,19.8552,3847.60746314751,3847.60746314751
1983,"SPRING",825.598926721876,20.9139,3847.60865607025,3847.60865607025
1984,"SPRING",431.755504826147,10.9371,3847.62327149013,3847.62327149013
1985,"SPRING",1555.47883244815,39.4031,3847.60522001606,3847.60522001606
1986,"SPRING",3292.66447829628,83.4091,3847.6082085723,3847.6082085723
1987,"SPRING",1610.00621868511,40.7843,3847.6127301072,3847.6127301072
1988,"SPRING",324.930109690519,8.2311,3847.59035475841,3847.59035475841
1989,"SPRING",4594.6797602744,116.3915,3847.60765199727,3847.60765199727
1990,"SPRING",1009.11572757957,25.5627,3847.61010213934,3847.61010213934
1991,"SPRING",1834.46308233809,46.4702,3847.61176482582,3847.61176482582
1992,"SPRING",6363.04733850213,161.1874,3847.60839774209,3847.60839774209
1993,"SPRING",2576.66108817348,65.2714,3847.61118678851,3847.61118678851
1994,"SPRING",3321.75477470523,84.146,3847.60865009059,3847.60865009059
1995,"SPRING",4114.14086856844,104.2186,3847.60711482254,3847.60711482254
1996,"SPRING",1530.25458646679,38.7641,3847.60767428315,3847.60767428315
1997,"SPRING",509.557079302984,12.908,3847.60675010059,3847.60675010059
1998,"SPRING",6923.58348211443,175.3868,3847.60807661376,3847.60807661376
1999,"SPRING",2978.56860991088,75.4525,3847.60758081028,3847.60758081028
2000,"SPRING",8322.98368327296,214.9745,3771.61439299683,3771.61439299683
2001,"SPRING",6445.89788284685,163.2861,3847.60967580636,3847.60967580636
2002,"SPRING",2368.58536292657,60.0005,3847.60937479949,3847.60937479949
2003,"SPRING",5187.19655603195,131.401,3847.60812781634,3847.60812781634
2004,"SPRING",2458.38395495265,62.2753,3847.60676376132,3847.60676376132
2005,"SPRING",633.272651942447,16.0419,3847.61625457363,3847.61625457363
2006,"SPRING",416.398477704514,10.5481,3847.61594699059,3847.61594699059
2007,"SPRING",3219.8849973548,81.5655,3847.60652157444,3847.60652157444
2008,"SPRING",1666.66647506173,42.2197,3847.60378463545,3847.60378463545
2009,"SPRING",309.952109004772,44.8905,590.462590090937,590.462590090937
2010,"SPRING",1363.84285793763,163.7152,733.058175378727,733.058175378727
2011,"SPRING",561.933088691122,97.7105,475.100003265895,475.100003265895
2012,"SPRING",1435.21115745653,178.0281,706.171136723096,706.171136723096
2013,"SPRING",995.224355717558,153.6342,547.788289142364,547.788289142364
2014,"SPRING",1237.66613853753,184.2075,571.886941920134,571.886941920134
2015,"SPRING",793.530460811547,145.6771,444.718738093734,444.718738093734
2016,"SPRING",723.60091473834,111.5069,548.929272303633,548.929272303633
2017,"SPRING",911.199513315159,165.2437,451.427687297706,451.427687297706
2018,"SPRING",1254.03995590976,184.7846,578.649603868375,578.649603868375
2019,"SPRING",727.847116202318,129.7174,461.102146822491,461.102146822491
