"YEAR","SEASON","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1968,"SPRING",0.953900704274235,0.068,1302.79515334446,1302.79515334446
1969,"SPRING",3.9367463203994,0.2343,1580.21609918882,1580.21609918882
1970,"SPRING",122.893896045287,5.8515,2000.21184389109,2000.21184389109
1971,"SPRING",8.87332334970563,0.455,1850.18095597926,1850.18095597926
1972,"SPRING",34.7802009070748,1.6858,1963.12735241872,1963.12735241872
1973,"SPRING",90.8868770486213,2.692,3276.18413999336,3276.18413999336
1974,"SPRING",91.6593134598331,2.7054,3288.01336067987,3288.01336067987
1975,"SPRING",298.653792680052,8.8054,3291.71182092866,3291.71182092866
1976,"SPRING",284.694163161869,8.3896,3293.41760229175,3293.41760229175
1977,"SPRING",123.628598795342,3.6435,3293.12745424294,3293.12745424294
1978,"SPRING",27.2729832901463,0.804,3292.16210076447,3292.16210076447
1979,"SPRING",58.5586851132425,1.7258,3293.13275659071,3293.13275659071
1980,"SPRING",135.822663116768,4.0026,3293.36089333853,3293.36089333853
1981,"SPRING",73.0164494950356,2.1529,3291.53929560294,3291.53929560294
1982,"SPRING",29.9848247886821,1.424,2005.67589808161,2005.67589808161
1983,"SPRING",32.2359181932225,1.5294,2007.74932609013,2007.74932609013
1984,"SPRING",23.334962860899,1.1079,2006.23367279529,2006.23367279529
1985,"SPRING",49.2596731958146,2.3386,2006.37446317517,2006.37446317517
1986,"SPRING",62.2407982606496,2.9538,2007.14328189619,2007.14328189619
1987,"SPRING",77.8781782134386,3.6949,2007.72086425718,2007.72086425718
1988,"SPRING",25.9976420382339,1.2343,2006.26606483302,2006.26606483302
1989,"SPRING",72.4057802711199,3.4363,2007.08553592876,2007.08553592876
1990,"SPRING",33.0908837940462,1.5714,2005.8218018357,2005.8218018357
1991,"SPRING",28.0438911755741,1.3319,2005.55531012645,2005.55531012645
1992,"SPRING",114.562543658156,5.4392,2006.23885237086,2006.23885237086
1993,"SPRING",54.2814169750015,2.5764,2006.87071009942,2006.87071009942
1994,"SPRING",110.846183862291,5.2592,2007.6624555501,2007.6624555501
1995,"SPRING",68.9131160951311,3.2703,2007.24141806963,2007.24141806963
1996,"SPRING",63.3399184768459,3.0076,2005.99542747858,2005.99542747858
1997,"SPRING",25.4328492134071,1.2069,2007.28719971888,2007.28719971888
1998,"SPRING",82.3015697242637,3.9055,2007.32479130108,2007.32479130108
1999,"SPRING",86.1358944520044,4.0896,2006.218076389,2006.218076389
2000,"SPRING",201.631096570749,9.6995,1978.77825218567,1978.77825218567
2001,"SPRING",219.742058522816,10.4256,2007.71618441927,2007.71618441927
2002,"SPRING",73.4472985278076,3.4847,2007.70793835359,2007.70793835359
2003,"SPRING",73.839633732156,3.5033,2007.71654531887,2007.71654531887
2004,"SPRING",64.4323363814401,3.057,2007.69827875172,2007.69827875172
2005,"SPRING",23.9918987448257,1.1383,2007.69557628268,2007.69557628268
2006,"SPRING",9.01167083682857,0.4276,2007.50019570359,2007.50019570359
2007,"SPRING",46.4529677544442,2.2039,2007.76204702773,2007.76204702773
2008,"SPRING",61.9543495612388,2.9394,2007.72094853503,2007.72094853503
2009,"SPRING",14.2814576394692,2.6711,434.665779621473,434.665779621473
2010,"SPRING",30.8319494520511,4.4386,594.632304151109,594.632304151109
2011,"SPRING",34.1888621183085,6.5659,420.703363108005,420.703363108005
2012,"SPRING",43.1008222615802,5.9637,622.719490611202,622.719490611202
2013,"SPRING",50.095872416661,9.3877,433.633077502062,433.633077502062
2014,"SPRING",65.5005669205978,11.5139,468.882541281389,468.882541281389
2015,"SPRING",63.7492773654046,12.6236,405.000771296655,405.000771296655
2016,"SPRING",51.5751965212623,9.1944,460.941404781848,460.941404781848
2017,"SPRING",68.7228723205096,14.2149,383.456600612805,383.456600612805
2018,"SPRING",63.8575810279841,11.9148,435.951766105886,435.951766105886
2019,"SPRING",44.2884255272847,8.8932,398.003255602985,398.003255602985
