"YEAR","SEASON","SAGA Shiny App","StockEff","Percent difference","Absolute percent difference"
1968,"FALL",1165.40908904943,61.4754,1795.73242150426,1795.73242150426
1969,"FALL",618.76201235427,32.6397,1795.73437364397,1795.73437364397
1970,"FALL",509.311259636935,26.8662,1795.73240591128,1795.73240591128
1971,"FALL",914.771703304713,48.2543,1795.73095725088,1795.73095725088
1972,"FALL",983.154036424089,51.8615,1795.73004333482,1795.73004333482
1973,"FALL",373.765583525357,19.7162,1795.72830223551,1795.72830223551
1974,"FALL",2141.47220088304,112.9628,1795.73222413311,1795.73222413311
1975,"FALL",1011.89420147445,53.3775,1795.73172492989,1795.73172492989
1976,"FALL",1501.06905123381,79.1815,1795.73202229538,1795.73202229538
1977,"FALL",1632.05531859097,86.0911,1795.73059072421,1795.73059072421
1978,"FALL",954.239140428356,50.3362,1795.73138303717,1795.73138303717
1979,"FALL",489.831203886717,25.8386,1795.73430405175,1795.73430405175
1980,"FALL",715.807480192471,37.7589,1795.73181473102,1795.73181473102
1981,"FALL",917.736433321161,48.4107,1795.73055816413,1795.73055816413
1982,"FALL",1153.94742579481,60.8708,1795.73231466451,1795.73231466451
1983,"FALL",714.7170767703,37.7014,1795.730866149,1795.730866149
1984,"FALL",572.951272339136,30.2232,1795.7333185736,1795.7333185736
1985,"FALL",2128.39300779316,112.2729,1795.73174630135,1795.73174630135
1986,"FALL",430.79151969234,22.7243,1795.73064821508,1795.73064821508
1987,"FALL",273.625588793666,14.4338,1795.72800505526,1795.72800505526
1988,"FALL",1057.64901781229,55.7911,1795.73071298521,1795.73071298521
1989,"FALL",561.706867114997,29.4895,1804.76904360873,1804.76904360873
1990,"FALL",782.251258634556,41.2638,1795.73247891507,1795.73247891507
1991,"FALL",1337.29292437943,70.5423,1795.73195710862,1795.73195710862
1992,"FALL",1425.51596299197,75.1961,1795.73124535976,1795.73124535976
1993,"FALL",282.824045514504,14.919,1795.73058190565,1795.73058190565
1994,"FALL",217.604244826133,11.4786,1795.7385467403,1795.7385467403
1995,"FALL",1750.42025293097,92.3348,1795.73189407566,1795.73189407566
1996,"FALL",109.211696571017,5.7609,1795.74018939779,1795.74018939779
1997,"FALL",730.852705685556,38.5525,1795.73362475989,1795.73362475989
1998,"FALL",591.455831993784,31.1993,1795.73430171121,1795.73430171121
1999,"FALL",722.907307608108,38.1334,1795.73263230687,1795.73263230687
2000,"FALL",1195.08519419635,63.0409,1795.72990581725,1795.72990581725
2001,"FALL",1157.8860525036,61.0786,1795.73116034684,1795.73116034684
2002,"FALL",551.16571931945,29.074,1795.73405558042,1795.73405558042
2003,"FALL",1935.69707528958,102.1082,1795.7312686832,1795.7312686832
2004,"FALL",552.010473147123,29.1186,1795.73150201975,1795.73150201975
2005,"FALL",244.179015119606,12.8805,1795.72621497307,1795.72621497307
2006,"FALL",545.559431912981,28.7783,1795.73196440714,1795.73196440714
2007,"FALL",286.060928287858,15.0897,1795.73635186821,1795.73635186821
2008,"FALL",338.624911488415,17.8625,1795.73078509959,1795.73078509959
2009,"FALL",108.206930127186,55.5635,94.7446257474525,94.7446257474525
2010,"FALL",219.693471510032,62.5429,251.268443756257,251.268443756257
2011,"FALL",157.71870800334,41.8227,277.112687615434,277.112687615434
2012,"FALL",201.684543705413,42.5088,374.45362773217,374.45362773217
2013,"FALL",296.344728614278,65.8946,349.725362342707,349.725362342707
2014,"FALL",63.7997864392109,18.5739,243.491600790415,243.491600790415
2015,"FALL",17.7880427147262,5.0809,250.096296221657,250.096296221657
2016,"FALL",50.1720467376652,11.8482,323.45712207479,323.45712207479
2017,"FALL",830.703439554881,236.6998,250.952320008247,250.952320008247
2018,"FALL",181.02246106015,59.1235,206.176835032009,206.176835032009
2019,"FALL",406.801898760457,273.5781,48.6968067840434,48.6968067840434
